hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
a87ed15d,sanity_70b_t0_s42_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.14954734296434788,0.009944614826540294,0.5206930400643981,0.8571428571428571,15.038022645707136
bf6a3aef,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06493606220173759,0.031055058578044015,-0.6311931010082403,0.2857142857142857,2.0909978977675316
51bc8bee,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.024967059277454302,,1.0,0.0
f66a422b,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08988075090204826,0.024789892094865196,0.8879001018705257,0.8571428571428571,3.6257015786150006
f729b38d,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025064949347157757,0.5179554997537269,0.7142857142857143,2.449618823068854
f729b38d,sanity_70b_t0_s42_informative_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.06285393610547087,0.027493099292273726,-0.7330322029267378,0.7142857142857143,2.2861713565750827
f17ea176,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.025687033456562244,0.5211003786738764,0.7142857142857143,2.3902943803882235
4937735d,sanity_70b_t0_s42_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08764964902023316,0.025164421318591926,-0.584733169164857,0.7142857142857143,3.4830782679463415
fdd0c8a5,sanity_70b_t0_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05446911745803746,0.031645533153766094,-0.37569701511845605,0.6428571428571429,1.7212260951133687
ffed221f,sanity_70b_t0_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.02514718101867039,,1.0,0.0
eee5e4fd,sanity_70b_t0_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05680402741764175,0.02447907686843666,-0.23133071299428787,0.6428571428571429,2.320513462290112
eee5e4fd,sanity_70b_t0_s123_informative_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.04871766493214938,0.02683411454926924,0.8954912660513671,0.9285714285714286,1.8155122965842778
d8bc9c3d,sanity_70b_t0_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05096143543145708,0.02436514680243888,-0.6276422622690919,0.2857142857142857,2.0915710397589717
d8bc9c3d,sanity_70b_t0_s123_informative_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.041666666666666664,0.026843078086356432,0.018882837743510524,0.8571428571428571,1.5522313250597233
0bafabd2,sanity_70b_t0_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.056804027417641755,0.02503471399264025,-0.252004530124736,0.6428571428571429,2.269010440236749
