bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,287a1160,7,5,0,0,<|begin_of_text|>,0.5781,2.3287,223
clean_check_or_call,287a1160,7,5,1,215,<|start_header_id|>,0.1011,2.3287,223
clean_check_or_call,287a1160,7,5,2,139,"']

",0.0165,2.3287,223
clean_check_or_call,287a1160,7,5,3,132,"',",0.0154,2.3287,223
clean_check_or_call,287a1160,7,5,4,134,B,0.0150,2.3287,223
clean_check_or_call,287a1160,7,5,5,195,ISE,0.0123,2.3287,223
clean_check_or_call,287a1160,7,5,6,179, CALL,0.0100,2.3287,223
clean_check_or_call,287a1160,7,5,7,154, BET,0.0093,2.3287,223
clean_check_or_call,287a1160,7,23,0,0,<|begin_of_text|>,0.2832,3.6467,223
clean_check_or_call,287a1160,7,23,1,126,OLD,0.0510,3.6467,223
clean_check_or_call,287a1160,7,23,2,215,<|start_header_id|>,0.0366,3.6467,223
clean_check_or_call,287a1160,7,23,3,115, call,0.0330,3.6467,223
clean_check_or_call,287a1160,7,23,4,139,"']

",0.0281,3.6467,223
clean_check_or_call,287a1160,7,23,5,195,ISE,0.0238,3.6467,223
clean_check_or_call,287a1160,7,23,6,130,_OR,0.0222,3.6467,223
clean_check_or_call,287a1160,7,23,7,127,"',",0.0199,3.6467,223
clean_check_or_call,287a1160,7,24,0,0,<|begin_of_text|>,0.1011,3.7968,223
clean_check_or_call,287a1160,7,24,1,215,<|start_header_id|>,0.0879,3.7968,223
clean_check_or_call,287a1160,7,24,2,134,B,0.0864,3.7968,223
clean_check_or_call,287a1160,7,24,3,216,assistant,0.0811,3.7968,223
clean_check_or_call,287a1160,7,24,4,218,"

",0.0603,3.7968,223
clean_check_or_call,287a1160,7,24,5,198,")

",0.0444,3.7968,223
clean_check_or_call,287a1160,7,24,6,86,"
",0.0381,3.7968,223
clean_check_or_call,287a1160,7,24,7,199,Choose,0.0366,3.7968,223
clean_check_or_call,287a1160,12,5,0,0,<|begin_of_text|>,0.5117,2.2036,215
clean_check_or_call,287a1160,12,5,1,131,"']

",0.1855,2.2036,215
clean_check_or_call,287a1160,12,5,2,207,<|start_header_id|>,0.0542,2.2036,215
clean_check_or_call,287a1160,12,5,3,177, RA,0.0259,2.2036,215
clean_check_or_call,287a1160,12,5,4,130,_CALL,0.0109,2.2036,215
clean_check_or_call,287a1160,12,5,5,55,CHECK,0.0095,2.2036,215
clean_check_or_call,287a1160,12,5,6,139, (,0.0093,2.2036,215
clean_check_or_call,287a1160,12,5,7,125,OLD,0.0081,2.2036,215
clean_check_or_call,287a1160,12,23,0,0,<|begin_of_text|>,0.2080,3.4266,215
clean_check_or_call,287a1160,12,23,1,131,"']

",0.1245,3.4266,215
clean_check_or_call,287a1160,12,23,2,125,OLD,0.1064,3.4266,215
clean_check_or_call,287a1160,12,23,3,129,_OR,0.0540,3.4266,215
clean_check_or_call,287a1160,12,23,4,126,"',",0.0339,3.4266,215
clean_check_or_call,287a1160,12,23,5,124,F,0.0266,3.4266,215
clean_check_or_call,287a1160,12,23,6,207,<|start_header_id|>,0.0255,3.4266,215
clean_check_or_call,287a1160,12,23,7,130,_CALL,0.0226,3.4266,215
clean_check_or_call,287a1160,12,24,0,131,"']

",0.1230,3.7643,215
clean_check_or_call,287a1160,12,24,1,0,<|begin_of_text|>,0.1191,3.7643,215
clean_check_or_call,287a1160,12,24,2,207,<|start_header_id|>,0.0479,3.7643,215
clean_check_or_call,287a1160,12,24,3,210,"

",0.0474,3.7643,215
clean_check_or_call,287a1160,12,24,4,166, Opp,0.0439,3.7643,215
clean_check_or_call,287a1160,12,24,5,208,assistant,0.0430,3.7643,215
clean_check_or_call,287a1160,12,24,6,159, You,0.0393,3.7643,215
clean_check_or_call,287a1160,12,24,7,177, RA,0.0334,3.7643,215
clean_check_or_call,287a1160,13,5,0,0,<|begin_of_text|>,0.5469,2.3346,206
clean_check_or_call,287a1160,13,5,1,198,<|start_header_id|>,0.0757,2.3346,206
clean_check_or_call,287a1160,13,5,2,133,B,0.0618,2.3346,206
clean_check_or_call,287a1160,13,5,3,138,"']

",0.0386,2.3346,206
clean_check_or_call,287a1160,13,5,4,178, CALL,0.0291,2.3346,206
clean_check_or_call,287a1160,13,5,5,128,CHECK,0.0124,2.3346,206
clean_check_or_call,287a1160,13,5,6,62,ET,0.0121,2.3346,206
clean_check_or_call,287a1160,13,5,7,162,ISE,0.0100,2.3346,206
clean_check_or_call,287a1160,13,23,0,0,<|begin_of_text|>,0.2227,3.4438,206
clean_check_or_call,287a1160,13,23,1,129,_OR,0.0703,3.4438,206
clean_check_or_call,287a1160,13,23,2,138,"']

",0.0598,3.4438,206
clean_check_or_call,287a1160,13,23,3,131,"',",0.0520,3.4438,206
clean_check_or_call,287a1160,13,23,4,128,CHECK,0.0452,3.4438,206
clean_check_or_call,287a1160,13,23,5,135,_OR,0.0381,3.4438,206
clean_check_or_call,287a1160,13,23,6,132, ',0.0378,3.4438,206
clean_check_or_call,287a1160,13,23,7,130,_CALL,0.0366,3.4438,206
clean_check_or_call,287a1160,13,24,0,133,B,0.0967,3.7190,206
clean_check_or_call,287a1160,13,24,1,0,<|begin_of_text|>,0.0908,3.7190,206
clean_check_or_call,287a1160,13,24,2,136,_RA,0.0801,3.7190,206
clean_check_or_call,287a1160,13,24,3,102,"
",0.0518,3.7190,206
clean_check_or_call,287a1160,13,24,4,198,<|start_header_id|>,0.0500,3.7190,206
clean_check_or_call,287a1160,13,24,5,201,"

",0.0493,3.7190,206
clean_check_or_call,287a1160,13,24,6,199,assistant,0.0457,3.7190,206
clean_check_or_call,287a1160,13,24,7,181,")

",0.0396,3.7190,206
clean_check_or_call,70382ab3,9,5,0,0,<|begin_of_text|>,0.4355,2.6143,217
clean_check_or_call,70382ab3,9,5,1,131,"']

",0.1787,2.6143,217
clean_check_or_call,70382ab3,9,5,2,179, RA,0.0349,2.6143,217
clean_check_or_call,70382ab3,9,5,3,209,<|start_header_id|>,0.0342,2.6143,217
clean_check_or_call,70382ab3,9,5,4,148,ISE,0.0205,2.6143,217
clean_check_or_call,70382ab3,9,5,5,128,CHECK,0.0157,2.6143,217
clean_check_or_call,70382ab3,9,5,6,147, RA,0.0132,2.6143,217
clean_check_or_call,70382ab3,9,5,7,180,ISE,0.0132,2.6143,217
clean_check_or_call,70382ab3,9,23,0,0,<|begin_of_text|>,0.1982,3.5377,217
clean_check_or_call,70382ab3,9,23,1,131,"']

",0.1128,3.5377,217
clean_check_or_call,70382ab3,9,23,2,125,OLD,0.0908,3.5377,217
clean_check_or_call,70382ab3,9,23,3,129,_OR,0.0613,3.5377,217
clean_check_or_call,70382ab3,9,23,4,126,"',",0.0359,3.5377,217
clean_check_or_call,70382ab3,9,23,5,114, call,0.0255,3.5377,217
clean_check_or_call,70382ab3,9,23,6,124,F,0.0236,3.5377,217
clean_check_or_call,70382ab3,9,23,7,209,<|start_header_id|>,0.0231,3.5377,217
clean_check_or_call,70382ab3,9,24,0,131,"']

",0.1250,3.7749,217
clean_check_or_call,70382ab3,9,24,1,0,<|begin_of_text|>,0.0913,3.7749,217
clean_check_or_call,70382ab3,9,24,2,212,"

",0.0747,3.7749,217
clean_check_or_call,70382ab3,9,24,3,210,assistant,0.0601,3.7749,217
clean_check_or_call,70382ab3,9,24,4,202,""":",0.0403,3.7749,217
clean_check_or_call,70382ab3,9,24,5,209,<|start_header_id|>,0.0361,3.7749,217
clean_check_or_call,70382ab3,9,24,6,179, RA,0.0342,3.7749,217
clean_check_or_call,70382ab3,9,24,7,193,Choose,0.0332,3.7749,217
clean_check_or_call,4ae94f71,9,5,0,0,<|begin_of_text|>,0.4180,2.7101,217
clean_check_or_call,4ae94f71,9,5,1,131,"']

",0.1562,2.7101,217
clean_check_or_call,4ae94f71,9,5,2,179, RA,0.0596,2.7101,217
clean_check_or_call,4ae94f71,9,5,3,209,<|start_header_id|>,0.0352,2.7101,217
clean_check_or_call,4ae94f71,9,5,4,148,ISE,0.0200,2.7101,217
clean_check_or_call,4ae94f71,9,5,5,128,CHECK,0.0181,2.7101,217
clean_check_or_call,4ae94f71,9,5,6,180,ISE,0.0140,2.7101,217
clean_check_or_call,4ae94f71,9,5,7,147, RA,0.0139,2.7101,217
clean_check_or_call,4ae94f71,9,23,0,0,<|begin_of_text|>,0.2012,3.5448,217
clean_check_or_call,4ae94f71,9,23,1,131,"']

",0.1060,3.5448,217
clean_check_or_call,4ae94f71,9,23,2,125,OLD,0.1025,3.5448,217
clean_check_or_call,4ae94f71,9,23,3,129,_OR,0.0532,3.5448,217
clean_check_or_call,4ae94f71,9,23,4,126,"',",0.0337,3.5448,217
clean_check_or_call,4ae94f71,9,23,5,114, call,0.0267,3.5448,217
clean_check_or_call,4ae94f71,9,23,6,209,<|start_header_id|>,0.0248,3.5448,217
clean_check_or_call,4ae94f71,9,23,7,128,CHECK,0.0223,3.5448,217
clean_check_or_call,4ae94f71,9,24,0,131,"']

",0.1147,3.7930,217
clean_check_or_call,4ae94f71,9,24,1,0,<|begin_of_text|>,0.0879,3.7930,217
clean_check_or_call,4ae94f71,9,24,2,212,"

",0.0684,3.7930,217
clean_check_or_call,4ae94f71,9,24,3,210,assistant,0.0586,3.7930,217
clean_check_or_call,4ae94f71,9,24,4,86,"
",0.0442,3.7930,217
