bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,a4f238cd,1,22,0,305, check,0.2539,3.3740,319
clean_check_or_call,a4f238cd,1,22,1,311, brings,0.0991,3.3740,319
clean_check_or_call,a4f238cd,1,22,2,306, and,0.0483,3.3740,319
clean_check_or_call,a4f238cd,1,22,3,307, see,0.0435,3.3740,319
clean_check_or_call,a4f238cd,1,22,4,312,".

",0.0415,3.3740,319
clean_check_or_call,a4f238cd,1,22,5,285,.,0.0376,3.3740,319
clean_check_or_call,a4f238cd,1,22,6,249,.,0.0303,3.3740,319
clean_check_or_call,a4f238cd,1,22,7,255, bet,0.0298,3.3740,319
clean_check_or_call,a4f238cd,1,9,0,313,JSON,0.2090,2.6852,319
clean_check_or_call,a4f238cd,1,9,1,0,<s>,0.1670,2.6852,319
clean_check_or_call,a4f238cd,1,9,2,312,".

",0.1084,2.6852,319
clean_check_or_call,a4f238cd,1,9,3,316,action,0.1069,2.6852,319
clean_check_or_call,a4f238cd,1,9,4,315," {""",0.0903,2.6852,319
clean_check_or_call,a4f238cd,1,9,5,314,:,0.0889,2.6852,319
clean_check_or_call,a4f238cd,1,9,6,318," """,0.0415,2.6852,319
clean_check_or_call,a4f238cd,1,9,7,317,""":",0.0266,2.6852,319
clean_check_or_call,a4f238cd,1,15,0,0,<s>,0.1289,4.0568,319
clean_check_or_call,a4f238cd,1,15,1,305, check,0.0898,4.0568,319
clean_check_or_call,a4f238cd,1,15,2,312,".

",0.0566,4.0568,319
clean_check_or_call,a4f238cd,1,15,3,306, and,0.0471,4.0568,319
clean_check_or_call,a4f238cd,1,15,4,316,action,0.0459,4.0568,319
clean_check_or_call,a4f238cd,1,15,5,7,.,0.0459,4.0568,319
clean_check_or_call,a4f238cd,1,15,6,311, brings,0.0439,4.0568,319
clean_check_or_call,a4f238cd,1,15,7,310, board,0.0364,4.0568,319
clean_check_or_call,49af524b,1,22,0,297, check,0.2656,3.2508,311
clean_check_or_call,49af524b,1,22,1,303, brings,0.0981,3.2508,311
clean_check_or_call,49af524b,1,22,2,298, and,0.0664,3.2508,311
clean_check_or_call,49af524b,1,22,3,304,".

",0.0532,3.2508,311
clean_check_or_call,49af524b,1,22,4,277,.,0.0408,3.2508,311
clean_check_or_call,49af524b,1,22,5,299, see,0.0378,3.2508,311
clean_check_or_call,49af524b,1,22,6,234, bet,0.0299,3.2508,311
clean_check_or_call,49af524b,1,22,7,250,.,0.0272,3.2508,311
clean_check_or_call,49af524b,1,9,0,305,JSON,0.1924,2.7526,311
clean_check_or_call,49af524b,1,9,1,0,<s>,0.1709,2.7526,311
clean_check_or_call,49af524b,1,9,2,308,action,0.1089,2.7526,311
clean_check_or_call,49af524b,1,9,3,304,".

",0.1011,2.7526,311
clean_check_or_call,49af524b,1,9,4,307," {""",0.0913,2.7526,311
clean_check_or_call,49af524b,1,9,5,306,:,0.0854,2.7526,311
clean_check_or_call,49af524b,1,9,6,310," """,0.0488,2.7526,311
clean_check_or_call,49af524b,1,9,7,309,""":",0.0245,2.7526,311
clean_check_or_call,49af524b,1,15,0,0,<s>,0.1289,4.0443,311
clean_check_or_call,49af524b,1,15,1,297, check,0.0913,4.0443,311
clean_check_or_call,49af524b,1,15,2,304,".

",0.0540,4.0443,311
clean_check_or_call,49af524b,1,15,3,298, and,0.0500,4.0443,311
clean_check_or_call,49af524b,1,15,4,308,action,0.0481,4.0443,311
clean_check_or_call,49af524b,1,15,5,7,.,0.0461,4.0443,311
clean_check_or_call,49af524b,1,15,6,303, brings,0.0452,4.0443,311
clean_check_or_call,49af524b,1,15,7,310," """,0.0369,4.0443,311
clean_check_or_call,49af524b,2,22,0,294, Checking,0.1816,3.0160,310
clean_check_or_call,49af524b,2,22,1,298, option,0.1328,3.0160,310
clean_check_or_call,49af524b,2,22,2,293,.,0.1099,3.0160,310
clean_check_or_call,49af524b,2,22,3,303,".

",0.1064,3.0160,310
clean_check_or_call,49af524b,2,22,4,282, betting,0.0669,3.0160,310
clean_check_or_call,49af524b,2,22,5,297, best,0.0608,3.0160,310
clean_check_or_call,49af524b,2,22,6,300, see,0.0425,3.0160,310
clean_check_or_call,49af524b,2,22,7,296, the,0.0245,3.0160,310
clean_check_or_call,49af524b,2,9,0,304,JSON,0.2158,2.6283,310
