bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,7ee803c6,1,26,0,0,<|im_start|>,0.0874,4.2224,291
clean_check_or_call,7ee803c6,1,26,1,268, check,0.0530,4.2224,291
clean_check_or_call,7ee803c6,1,26,2,240,",",0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,3,244, check,0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,4,284,".

",0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,5,275,.,0.0322,4.2224,291
clean_check_or_call,7ee803c6,1,26,6,247,.,0.0303,4.2224,291
clean_check_or_call,7ee803c6,1,26,7,166,0,0.0303,4.2224,291
clean_check_or_call,7ee803c6,1,30,0,245, or,0.2021,2.8808,291
clean_check_or_call,7ee803c6,1,30,1,268, check,0.1572,2.8808,291
clean_check_or_call,7ee803c6,1,30,2,244, check,0.1387,2.8808,291
clean_check_or_call,7ee803c6,1,30,3,276, Checking,0.0742,2.8808,291
clean_check_or_call,7ee803c6,1,30,4,174,_OR,0.0579,2.8808,291
clean_check_or_call,7ee803c6,1,30,5,0,<|im_start|>,0.0510,2.8808,291
clean_check_or_call,7ee803c6,1,30,6,275,.,0.0330,2.8808,291
clean_check_or_call,7ee803c6,1,30,7,240,",",0.0273,2.8808,291
clean_check_or_call,7ee803c6,1,2,0,289,""":",0.2793,2.2053,291
clean_check_or_call,7ee803c6,1,2,1,288,action,0.2041,2.2053,291
clean_check_or_call,7ee803c6,1,2,2,286,:,0.1406,2.2053,291
clean_check_or_call,7ee803c6,1,2,3,290," """,0.0962,2.2053,291
clean_check_or_call,7ee803c6,1,2,4,284,".

",0.0752,2.2053,291
clean_check_or_call,7ee803c6,1,2,5,285,JSON,0.0752,2.2053,291
clean_check_or_call,7ee803c6,1,2,6,0,<|im_start|>,0.0515,2.2053,291
clean_check_or_call,7ee803c6,1,2,7,287," {""",0.0178,2.2053,291
clean_check_or_call,7ee803c6,2,26,0,271, checking,0.0684,4.1646,306
clean_check_or_call,7ee803c6,2,26,1,288,",",0.0569,4.1646,306
clean_check_or_call,7ee803c6,2,26,2,261,.,0.0535,4.1646,306
clean_check_or_call,7ee803c6,2,26,3,299,".

",0.0535,4.1646,306
