bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,7ee803c6,1,26,0,0,<|im_start|>,0.0874,4.2224,291
clean_check_or_call,7ee803c6,1,26,1,268, check,0.0530,4.2224,291
clean_check_or_call,7ee803c6,1,26,2,240,",",0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,3,244, check,0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,4,284,".

",0.0469,4.2224,291
clean_check_or_call,7ee803c6,1,26,5,275,.,0.0322,4.2224,291
clean_check_or_call,7ee803c6,1,26,6,247,.,0.0303,4.2224,291
clean_check_or_call,7ee803c6,1,26,7,166,0,0.0303,4.2224,291
clean_check_or_call,7ee803c6,1,30,0,245, or,0.2021,2.8808,291
clean_check_or_call,7ee803c6,1,30,1,268, check,0.1572,2.8808,291
clean_check_or_call,7ee803c6,1,30,2,244, check,0.1387,2.8808,291
clean_check_or_call,7ee803c6,1,30,3,276, Checking,0.0742,2.8808,291
clean_check_or_call,7ee803c6,1,30,4,174,_OR,0.0579,2.8808,291
clean_check_or_call,7ee803c6,1,30,5,0,<|im_start|>,0.0510,2.8808,291
clean_check_or_call,7ee803c6,1,30,6,275,.,0.0330,2.8808,291
clean_check_or_call,7ee803c6,1,30,7,240,",",0.0273,2.8808,291
clean_check_or_call,7ee803c6,1,28,0,174,_OR,0.2354,2.8995,291
clean_check_or_call,7ee803c6,1,28,1,64,_OR,0.1426,2.8995,291
clean_check_or_call,7ee803c6,1,28,2,0,<|im_start|>,0.0981,2.8995,291
clean_check_or_call,7ee803c6,1,28,3,244, check,0.0635,2.8995,291
clean_check_or_call,7ee803c6,1,28,4,268, check,0.0525,2.8995,291
clean_check_or_call,7ee803c6,1,28,5,245, or,0.0435,2.8995,291
clean_check_or_call,7ee803c6,1,28,6,173,CHECK,0.0408,2.8995,291
clean_check_or_call,7ee803c6,1,28,7,176,"',",0.0361,2.8995,291
clean_check_or_call,7ee803c6,2,26,0,271, checking,0.0684,4.1646,306
clean_check_or_call,7ee803c6,2,26,1,288,",",0.0569,4.1646,306
clean_check_or_call,7ee803c6,2,26,2,261,.,0.0535,4.1646,306
clean_check_or_call,7ee803c6,2,26,3,299,".

",0.0535,4.1646,306
