target_idx,hand_id,decision_idx,tok_start_legal,tok_end_legal,n_tokens_masked,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,8f9b67e0,4,197,212,15,baseline,35616,CHECK,CHECK_CALL,10.3847,27.3848,17.0001,14.4868
0,8f9b67e0,4,197,212,15,masked,35616,CHECK,CHECK_CALL,-1.0589,25.4515,16.1257,14.8336
1,74b820aa,2,194,205,11,baseline,35616,CHECK,CHECK_CALL,11.5110,27.7611,16.2501,16.4053
1,74b820aa,2,194,205,11,masked,35616,CHECK,CHECK_CALL,-1.3431,26.5430,16.3752,15.6777
2,41c34167,4,196,211,15,baseline,35616,CHECK,CHECK_CALL,2.9538,25.0791,22.1253,18.6409
2,41c34167,4,196,211,15,masked,35616,CHECK,CHECK_CALL,-0.7022,23.0025,20.7508,18.7842
3,ac1aa527,1,193,208,15,baseline,35616,CHECK,CHECK_CALL,11.2535,28.0036,16.7501,13.7495
3,ac1aa527,1,193,208,15,masked,35616,CHECK,CHECK_CALL,-1.0911,25.7255,15.5631,14.3217
4,aacd55bf,5,197,208,11,baseline,35616,CHECK,CHECK_CALL,11.6309,28.2559,16.6251,15.8420
4,aacd55bf,5,197,208,11,masked,35616,CHECK,CHECK_CALL,-2.4708,26.2853,17.1252,14.9734
5,1b334027,9,201,216,15,baseline,35616,CHECK,CHECK_CALL,11.6281,27.6282,16.0001,13.9093
5,1b334027,9,201,216,15,masked,35616,CHECK,CHECK_CALL,-2.7414,25.1369,16.2502,15.1618
6,80a6c584,9,201,216,15,baseline,35616,CHECK,CHECK_CALL,10.1360,27.3861,17.2501,14.8111
6,80a6c584,9,201,216,15,masked,35616,CHECK,CHECK_CALL,-1.5825,25.3038,16.7502,15.6992
7,7dac81de,2,198,209,11,baseline,35616,CHECK,CHECK_CALL,9.6270,27.2522,17.6252,17.7824
7,7dac81de,2,198,209,11,masked,35616,CHECK,CHECK_CALL,-0.9938,26.0087,17.3755,15.4472
8,dc01946e,2,197,208,11,baseline,35616,CHECK,CHECK_CALL,5.3834,25.0088,19.6254,23.1316
8,dc01946e,2,197,208,11,masked,35616,CHECK,CHECK_CALL,-1.2290,23.1551,19.0007,18.6428
9,44c8e017,2,196,207,11,baseline,35616,CHECK,CHECK_CALL,9.6277,27.2528,17.6252,18.6423
9,44c8e017,2,196,207,11,masked,35616,CHECK,CHECK_CALL,-0.6213,26.1318,17.1254,15.8005
10,f1019530,4,198,213,15,baseline,35616,CHECK,CHECK_CALL,8.2730,27.1483,18.8752,15.2591
10,f1019530,4,198,213,15,masked,35616,CHECK,CHECK_CALL,-2.6368,25.0119,19.3757,15.7592
11,4294134d,2,196,207,11,baseline,35616,CHECK,CHECK_CALL,10.6266,27.5017,16.8751,16.5796
11,4294134d,2,196,207,11,masked,35616,CHECK,CHECK_CALL,-0.3702,26.5067,16.2504,15.3349
