target_idx,hand_id,decision_idx,tok_start_legal,tok_end_legal,n_tokens_masked,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,cf42b2d6,9,180,191,11,baseline,34516,CHECK,CHECK_CALL,28.1250,55.5000,27.3750,29.3750
0,cf42b2d6,9,180,191,11,masked,34516,CHECK,CHECK_CALL,-3.0000,53.2500,28.1250,27.2500
1,c6562698,5,174,185,11,baseline,34516,CHECK,CHECK_CALL,27.0000,55.7500,28.7500,29.7500
1,c6562698,5,174,185,11,masked,34516,CHECK,CHECK_CALL,-2.5000,54.0000,29.5000,28.3750
2,469e2d77,4,176,191,15,baseline,34516,CHECK,CHECK_CALL,23.8750,55.2500,31.3750,28.2500
2,469e2d77,4,176,191,15,masked,34516,CHECK,CHECK_CALL,0.3750,54.2500,30.0000,30.1250
3,707d6378,8,180,191,11,baseline,34516,CHECK,CHECK_CALL,29.5000,55.5000,26.0000,29.3750
3,707d6378,8,180,191,11,masked,34516,CHECK,CHECK_CALL,-4.0000,53.7500,28.2500,28.1250
4,5e3fe5b6,4,176,191,15,baseline,34516,CHECK,CHECK_CALL,22.7500,54.5000,31.7500,27.6250
4,5e3fe5b6,4,176,191,15,masked,34516,CHECK,CHECK_CALL,0.7500,53.0000,29.5000,28.5000
5,4a5b77ce,1,173,184,11,baseline,34516,CHECK,CHECK_CALL,30.6250,56.2500,25.6250,27.0000
5,4a5b77ce,1,173,184,11,masked,34516,CHECK,CHECK_CALL,-3.1250,54.5000,27.0000,25.2500
6,5aea9c50,2,176,187,11,baseline,34516,CHECK,CHECK_CALL,26.2500,56.2500,30.0000,34.0000
6,5aea9c50,2,176,187,11,masked,34516,CHECK,CHECK_CALL,-3.3750,54.0000,31.1250,29.2500
7,22ae7085,2,177,188,11,baseline,34516,CHECK,CHECK_CALL,19.2500,51.7500,32.5000,45.5000
7,22ae7085,2,177,188,11,masked,34516,CHECK,CHECK_CALL,-3.5000,49.7500,34.0000,41.7500
8,6feeea22,14,179,194,15,baseline,34516,CHECK,CHECK_CALL,18.7500,52.2500,33.5000,27.8750
8,6feeea22,14,179,194,15,masked,34516,CHECK,CHECK_CALL,0.7500,50.7500,31.2500,29.0000
9,4ea6573a,2,175,186,11,baseline,34516,CHECK,CHECK_CALL,29.1250,56.2500,27.1250,31.2500
9,4ea6573a,2,175,186,11,masked,34516,CHECK,CHECK_CALL,-2.5000,54.0000,27.3750,27.7500
10,9725ef71,1,171,182,11,baseline,34516,CHECK,CHECK_CALL,29.2500,56.0000,26.7500,27.7500
10,9725ef71,1,171,182,11,masked,34516,CHECK,CHECK_CALL,-2.5000,54.5000,27.7500,25.5000
11,f609facc,5,174,185,11,baseline,34516,CHECK,CHECK_CALL,26.8750,55.2500,28.3750,30.3750
11,f609facc,5,174,185,11,masked,34516,CHECK,CHECK_CALL,-2.3750,53.5000,29.0000,28.3750
12,d8ec4550,10,175,190,15,baseline,34516,CHECK,CHECK_CALL,21.5000,54.5000,33.0000,31.0000
12,d8ec4550,10,175,190,15,masked,34516,CHECK,CHECK_CALL,1.2500,53.2500,30.5000,31.2500
13,d196f8b2,1,171,186,15,baseline,34516,CHECK,CHECK_CALL,24.8750,55.5000,30.6250,28.8750
13,d196f8b2,1,171,186,15,masked,34516,CHECK,CHECK_CALL,-1.2500,54.0000,30.3750,33.2500
14,53989457,1,171,186,15,baseline,34516,CHECK,CHECK_CALL,24.7500,54.7500,30.0000,29.6250
14,53989457,1,171,186,15,masked,34516,CHECK,CHECK_CALL,-1.2500,52.7500,29.2500,32.2500
15,480983ce,1,171,182,11,baseline,34516,CHECK,CHECK_CALL,29.6250,56.2500,26.6250,27.3750
15,480983ce,1,171,182,11,masked,34516,CHECK,CHECK_CALL,-2.7500,54.5000,27.6250,25.2500
16,ac6bf826,4,177,192,15,baseline,34516,CHECK,CHECK_CALL,27.0000,52.7500,25.7500,34.5000
16,ac6bf826,4,177,192,15,masked,34516,CHECK,CHECK_CALL,0.2500,51.5000,24.2500,38.2500
17,6feeea22,7,175,186,11,baseline,34516,CHECK,CHECK_CALL,29.1250,55.7500,26.6250,29.2500
17,6feeea22,7,175,186,11,masked,34516,CHECK,CHECK_CALL,-3.2500,53.2500,27.3750,26.8750
18,d8ec4550,13,179,194,15,baseline,34516,CHECK,CHECK_CALL,21.2500,54.0000,32.7500,28.0000
18,d8ec4550,13,179,194,15,masked,34516,CHECK,CHECK_CALL,-0.2500,52.2500,31.2500,29.5000
19,d9570152,4,176,191,15,baseline,34516,CHECK,CHECK_CALL,23.3750,55.0000,31.6250,28.6250
19,d9570152,4,176,191,15,masked,34516,CHECK,CHECK_CALL,0.7500,54.2500,30.1250,30.5000
20,469e2d77,9,180,195,15,baseline,34516,CHECK,CHECK_CALL,21.6250,50.5000,28.8750,44.2500
20,469e2d77,9,180,195,15,masked,34516,CHECK,CHECK_CALL,-1.3750,48.5000,28.2500,41.7500
21,11cc20a7,1,171,182,11,baseline,34516,CHECK,CHECK_CALL,29.2500,56.0000,26.7500,27.2500
21,11cc20a7,1,171,182,11,masked,34516,CHECK,CHECK_CALL,-2.5000,54.5000,27.7500,25.5000
22,f59742c3,5,178,189,11,baseline,34516,CHECK,CHECK_CALL,25.3750,55.2500,29.8750,32.5000
22,f59742c3,5,178,189,11,masked,34516,CHECK,CHECK_CALL,-4.6250,53.0000,32.2500,28.2500
23,a38474c8,4,177,192,15,baseline,34516,CHECK,CHECK_CALL,24.2500,54.5000,30.2500,28.3750
23,a38474c8,4,177,192,15,masked,34516,CHECK,CHECK_CALL,1.1250,53.7500,28.3750,29.5000
24,1cbaaa25,4,174,189,15,baseline,34516,CHECK,CHECK_CALL,23.5000,54.5000,31.0000,26.5000
24,1cbaaa25,4,174,189,15,masked,34516,CHECK,CHECK_CALL,0.3750,53.5000,29.6250,27.5000
25,082e78e3,4,177,192,15,baseline,34516,CHECK,CHECK_CALL,23.8750,55.2500,31.3750,28.7500
25,082e78e3,4,177,192,15,masked,34516,CHECK,CHECK_CALL,0.6250,54.0000,29.5000,30.2500
26,b92e1ef1,2,174,185,11,baseline,34516,CHECK,CHECK_CALL,25.3750,55.0000,29.6250,31.2500
