source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,ac1aa527,4,8f9b67e0,7,37,F,33,B,BET_RAISE,4.4996,19.8862,19.7502
1,0,15,6ab6d301,1,8f9b67e0,7,37,F,33,B,BET_RAISE,5.2445,22.0064,21.1254
2,0,15,c89e73e6,3,8f9b67e0,7,37,F,33,B,BET_RAISE,4.4981,20.3848,20.2502
3,0,15,7a6f46ad,5,8f9b67e0,7,37,F,33,B,BET_RAISE,5.9935,21.8800,20.2501
4,0,15,470a3633,2,8f9b67e0,7,37,F,33,B,BET_RAISE,3.8643,21.5022,22.0014
5,0,15,b3fa6da5,1,8f9b67e0,7,37,F,33,B,BET_RAISE,4.8701,21.8821,21.3756
6,0,15,16ad502a,1,8f9b67e0,7,37,F,33,B,BET_RAISE,6.7389,24.0012,21.6258
7,0,15,92006cc8,6,8f9b67e0,7,37,F,33,B,BET_RAISE,6.4919,22.7535,20.6251
8,0,15,21ad4edc,2,8f9b67e0,7,37,F,33,B,BET_RAISE,4.2444,20.2562,20.3754
9,0,15,d2949d27,2,8f9b67e0,7,37,F,33,B,BET_RAISE,6.2415,22.5032,20.6253
0,1,15,ac1aa527,4,e0434ef1,5,37,F,33,B,BET_RAISE,4.3786,19.8868,19.7501
1,1,15,6ab6d301,1,e0434ef1,5,37,F,33,B,BET_RAISE,4.8731,21.8814,21.2502
2,1,15,c89e73e6,3,e0434ef1,5,37,F,33,B,BET_RAISE,4.2540,20.2622,20.2501
3,1,15,7a6f46ad,5,e0434ef1,5,37,F,33,B,BET_RAISE,6.1201,22.2533,20.3751
4,1,15,470a3633,2,e0434ef1,5,37,F,33,B,BET_RAISE,4.1175,21.8766,22.0011
5,1,15,b3fa6da5,1,e0434ef1,5,37,F,33,B,BET_RAISE,4.7480,21.8814,21.3754
6,1,15,16ad502a,1,e0434ef1,5,37,F,33,B,BET_RAISE,6.6176,24.0011,21.6254
7,1,15,92006cc8,6,e0434ef1,5,37,F,33,B,BET_RAISE,6.6194,23.0025,20.6251
8,1,15,21ad4edc,2,e0434ef1,5,37,F,33,B,BET_RAISE,3.7502,19.7586,20.2503
9,1,15,d2949d27,2,e0434ef1,5,37,F,33,B,BET_RAISE,6.1194,22.5027,20.6252
0,2,15,ac1aa527,4,842acc10,9,37,F,33,B,BET_RAISE,9.4492,19.0272,20.0001
1,2,15,6ab6d301,1,842acc10,9,37,F,33,B,BET_RAISE,10.0627,21.2658,21.6252
2,2,15,c89e73e6,3,842acc10,9,37,F,33,B,BET_RAISE,9.3274,19.4055,20.5001
3,2,15,7a6f46ad,5,842acc10,9,37,F,33,B,BET_RAISE,11.5556,21.7586,20.6251
4,2,15,470a3633,2,842acc10,9,37,F,33,B,BET_RAISE,8.5508,21.0046,22.8759
5,2,15,b3fa6da5,1,842acc10,9,37,F,33,B,BET_RAISE,9.9373,21.3906,21.8754
6,2,15,16ad502a,1,842acc10,9,37,F,33,B,BET_RAISE,11.7987,23.7524,22.3758
7,2,15,92006cc8,6,842acc10,9,37,F,33,B,BET_RAISE,12.0530,22.6310,21.0001
8,2,15,21ad4edc,2,842acc10,9,37,F,33,B,BET_RAISE,8.9408,19.0189,20.5002
9,2,15,d2949d27,2,842acc10,9,37,F,33,B,BET_RAISE,11.4281,22.1312,21.1252
0,3,15,ac1aa527,4,2faf1217,7,37,F,33,B,BET_RAISE,6.2324,19.6385,19.8751
1,3,15,6ab6d301,1,2faf1217,7,37,F,33,B,BET_RAISE,6.9746,21.7559,21.2503
2,3,15,c89e73e6,3,2faf1217,7,37,F,33,B,BET_RAISE,6.3556,20.1367,20.2502
3,3,15,7a6f46ad,5,2faf1217,7,37,F,33,B,BET_RAISE,7.9740,21.7550,20.2501
4,3,15,470a3633,2,2faf1217,7,37,F,33,B,BET_RAISE,5.8451,21.3771,22.0011
5,3,15,b3fa6da5,1,2faf1217,7,37,F,33,B,BET_RAISE,6.8500,21.7564,21.3755
6,3,15,16ad502a,1,2faf1217,7,37,F,33,B,BET_RAISE,8.5946,23.8762,21.7506
7,3,15,92006cc8,6,2faf1217,7,37,F,33,B,BET_RAISE,8.3479,22.5039,20.6251
8,3,15,21ad4edc,2,2faf1217,7,37,F,33,B,BET_RAISE,5.9760,19.8822,20.3753
9,3,15,d2949d27,2,2faf1217,7,37,F,33,B,BET_RAISE,7.9721,22.2533,20.7502
0,4,15,ac1aa527,4,b09a54c9,8,37,F,33,B,BET_RAISE,5.8862,19.3954,19.5001
1,4,15,6ab6d301,1,b09a54c9,8,37,F,33,B,BET_RAISE,6.6268,21.7610,21.1252
2,4,15,c89e73e6,3,b09a54c9,8,37,F,33,B,BET_RAISE,5.8885,19.7727,19.8751
3,4,15,7a6f46ad,5,b09a54c9,8,37,F,33,B,BET_RAISE,7.8720,21.8811,20.0001
4,4,15,470a3633,2,b09a54c9,8,37,F,33,B,BET_RAISE,5.7416,21.7521,22.0014
5,4,15,b3fa6da5,1,b09a54c9,8,37,F,33,B,BET_RAISE,6.6253,21.7598,21.1253
6,4,15,16ad502a,1,b09a54c9,8,37,F,33,B,BET_RAISE,8.6169,24.1265,21.5006
7,4,15,92006cc8,6,b09a54c9,8,37,F,33,B,BET_RAISE,8.4955,22.8797,20.3751
8,4,15,21ad4edc,2,b09a54c9,8,37,F,33,B,BET_RAISE,5.5034,19.6377,20.1252
9,4,15,d2949d27,2,b09a54c9,8,37,F,33,B,BET_RAISE,8.1201,22.5043,20.3752
0,5,15,ac1aa527,4,d9a09aa2,2,37,F,33,B,BET_RAISE,4.7464,21.0080,19.8752
1,5,15,6ab6d301,1,d9a09aa2,2,37,F,33,B,BET_RAISE,4.6183,22.1301,21.1254
2,5,15,c89e73e6,3,d9a09aa2,2,37,F,33,B,BET_RAISE,4.3722,21.1338,20.3752
3,5,15,7a6f46ad,5,d9a09aa2,2,37,F,33,B,BET_RAISE,6.2412,22.8778,20.2501
4,5,15,470a3633,2,d9a09aa2,2,37,F,33,B,BET_RAISE,3.6139,22.0017,22.0014
5,5,15,b3fa6da5,1,d9a09aa2,2,37,F,33,B,BET_RAISE,4.3687,22.1306,21.3756
6,5,15,16ad502a,1,d9a09aa2,2,37,F,33,B,BET_RAISE,6.1138,24.0009,21.5007
7,5,15,92006cc8,6,d9a09aa2,2,37,F,33,B,BET_RAISE,6.6156,23.5022,20.5001
8,5,15,21ad4edc,2,d9a09aa2,2,37,F,33,B,BET_RAISE,3.3709,19.8828,20.1255
9,5,15,d2949d27,2,d9a09aa2,2,37,F,33,B,BET_RAISE,6.2400,23.3768,20.7503
0,6,15,ac1aa527,4,f217583d,7,37,F,33,B,BET_RAISE,6.4819,19.7612,19.6252
1,6,15,6ab6d301,1,f217583d,7,37,F,33,B,BET_RAISE,7.1013,21.8808,21.1253
2,6,15,c89e73e6,3,f217583d,7,37,F,33,B,BET_RAISE,6.4811,20.2604,20.1252
3,6,15,7a6f46ad,5,f217583d,7,37,F,33,B,BET_RAISE,8.1002,21.8794,20.1251
4,6,15,470a3633,2,f217583d,7,37,F,33,B,BET_RAISE,5.7217,21.3770,22.0012
5,6,15,b3fa6da5,1,f217583d,7,37,F,33,B,BET_RAISE,6.8524,21.7572,21.2506
6,6,15,16ad502a,1,f217583d,7,37,F,33,B,BET_RAISE,8.7213,24.0010,21.6257
7,6,15,92006cc8,6,f217583d,7,37,F,33,B,BET_RAISE,8.4742,22.6285,20.5001
8,6,15,21ad4edc,2,f217583d,7,37,F,33,B,BET_RAISE,5.9775,19.8819,20.2503
9,6,15,d2949d27,2,f217583d,7,37,F,33,B,BET_RAISE,8.0986,22.3780,20.6253
0,7,15,ac1aa527,4,2a6f0913,5,37,F,33,B,BET_RAISE,4.8755,19.7623,19.8752
1,7,15,6ab6d301,1,2a6f0913,5,37,F,33,B,BET_RAISE,5.4951,21.6322,21.1253
2,7,15,c89e73e6,3,2a6f0913,5,37,F,33,B,BET_RAISE,4.5026,19.8895,20.3752
3,7,15,7a6f46ad,5,2a6f0913,5,37,F,33,B,BET_RAISE,6.7418,22.1286,20.3751
4,7,15,470a3633,2,2a6f0913,5,37,F,33,B,BET_RAISE,4.2390,21.5018,22.2511
5,7,15,b3fa6da5,1,2a6f0913,5,37,F,33,B,BET_RAISE,5.2449,21.6321,21.3755
6,7,15,16ad502a,1,2a6f0913,5,37,F,33,B,BET_RAISE,7.1139,23.7513,21.6257
7,7,15,92006cc8,6,2a6f0913,5,37,F,33,B,BET_RAISE,7.2410,22.8778,20.6251
8,7,15,21ad4edc,2,2a6f0913,5,37,F,33,B,BET_RAISE,4.1241,19.3863,20.2504
9,7,15,d2949d27,2,2a6f0913,5,37,F,33,B,BET_RAISE,6.6160,22.3780,20.7503
0,8,15,ac1aa527,4,64b4174c,5,37,F,33,B,BET_RAISE,4.6277,20.1361,20.0002
1,8,15,6ab6d301,1,64b4174c,5,37,F,33,B,BET_RAISE,4.9994,21.8830,21.3754
2,8,15,c89e73e6,3,64b4174c,5,37,F,33,B,BET_RAISE,4.3811,20.2645,20.3753
3,8,15,7a6f46ad,5,64b4174c,5,37,F,33,B,BET_RAISE,6.6202,22.5036,20.3752
4,8,15,470a3633,2,64b4174c,5,37,F,33,B,BET_RAISE,3.7422,21.7517,22.5013
5,8,15,b3fa6da5,1,64b4174c,5,37,F,33,B,BET_RAISE,4.8741,21.8829,21.5007
6,8,15,16ad502a,1,64b4174c,5,37,F,33,B,BET_RAISE,6.7422,24.0014,21.7511
7,8,15,92006cc8,6,64b4174c,5,37,F,33,B,BET_RAISE,7.1194,23.2527,20.6252
8,8,15,21ad4edc,2,64b4174c,5,37,F,33,B,BET_RAISE,4.0006,19.7594,20.2507
9,8,15,d2949d27,2,64b4174c,5,37,F,33,B,BET_RAISE,6.4944,22.7529,20.7504
0,9,15,ac1aa527,4,48304b9c,7,37,F,33,B,BET_RAISE,4.6189,19.6380,19.8752
1,9,15,6ab6d301,1,48304b9c,7,37,F,33,B,BET_RAISE,5.3638,21.7582,21.2504
2,9,15,c89e73e6,3,48304b9c,7,37,F,33,B,BET_RAISE,4.6179,20.0121,20.2503
3,9,15,7a6f46ad,5,48304b9c,7,37,F,33,B,BET_RAISE,6.6116,21.8807,20.1251
4,9,15,470a3633,2,48304b9c,7,37,F,33,B,BET_RAISE,4.2321,21.3774,22.0014
5,9,15,b3fa6da5,1,48304b9c,7,37,F,33,B,BET_RAISE,5.2385,21.7582,21.3757
6,9,15,16ad502a,1,48304b9c,7,37,F,33,B,BET_RAISE,7.1065,23.8763,21.6258
7,9,15,92006cc8,6,48304b9c,7,37,F,33,B,BET_RAISE,6.9853,22.6294,20.5001
8,9,15,21ad4edc,2,48304b9c,7,37,F,33,B,BET_RAISE,4.4873,20.0068,20.3755
9,9,15,d2949d27,2,48304b9c,7,37,F,33,B,BET_RAISE,6.2346,22.2539,20.8754
0,10,15,ac1aa527,4,41c34167,8,37,F,33,B,BET_RAISE,4.0040,20.0144,19.8752
1,10,15,6ab6d301,1,41c34167,8,37,F,33,B,BET_RAISE,4.6223,22.0078,21.2503
2,10,15,c89e73e6,3,41c34167,8,37,F,33,B,BET_RAISE,3.7556,20.2660,20.3752
3,10,15,7a6f46ad,5,41c34167,8,37,F,33,B,BET_RAISE,5.6201,22.1305,20.3751
4,10,15,470a3633,2,41c34167,8,37,F,33,B,BET_RAISE,3.6157,21.6273,21.8763
5,10,15,b3fa6da5,1,41c34167,8,37,F,33,B,BET_RAISE,4.4971,22.0078,21.3755
6,10,15,16ad502a,1,41c34167,8,37,F,33,B,BET_RAISE,6.3655,24.0014,21.5007
7,10,15,92006cc8,6,41c34167,8,37,F,33,B,BET_RAISE,6.2434,23.0038,20.6251
8,10,15,21ad4edc,2,41c34167,8,37,F,33,B,BET_RAISE,3.1249,19.7605,20.5003
9,10,15,d2949d27,2,41c34167,8,37,F,33,B,BET_RAISE,5.6181,22.5036,20.7503
0,11,15,ac1aa527,4,62394b29,7,37,F,33,B,BET_RAISE,4.4918,20.1338,20.0002
1,11,15,6ab6d301,1,62394b29,7,37,F,33,B,BET_RAISE,5.3622,22.1294,21.1253
2,11,15,c89e73e6,3,62394b29,7,37,F,33,B,BET_RAISE,4.4908,20.5079,20.3752
3,11,15,7a6f46ad,5,62394b29,7,37,F,33,B,BET_RAISE,6.2368,22.1287,20.2501
4,11,15,470a3633,2,62394b29,7,37,F,33,B,BET_RAISE,3.7343,21.5025,22.1264
5,11,15,b3fa6da5,1,62394b29,7,37,F,33,B,BET_RAISE,5.2374,22.1297,21.2505
6,11,15,16ad502a,1,62394b29,7,37,F,33,B,BET_RAISE,6.9834,24.1259,21.5007
7,11,15,92006cc8,6,62394b29,7,37,F,33,B,BET_RAISE,6.6107,22.8776,20.6251
8,11,15,21ad4edc,2,62394b29,7,37,F,33,B,BET_RAISE,3.9887,20.1309,20.5003
9,11,15,d2949d27,2,62394b29,7,37,F,33,B,BET_RAISE,6.1107,22.5028,20.7503
0,12,15,ac1aa527,4,5bcc20ac,5,37,F,33,B,BET_RAISE,6.2443,19.7624,20.0002
