source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,85421bf9,4,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,12.6019,28.0008,19.5002
1,0,15,c8df24e8,9,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,11.7274,27.6265,20.0003
2,0,15,9b41aa48,8,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,9.8575,27.1317,21.3755
3,0,15,182bb9aa,1,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,11.8536,28.0025,20.2501
4,0,15,01a3359a,1,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,11.3533,27.8772,20.6252
5,0,15,67b92c33,4,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,8.1048,26.5041,22.5006
6,0,15,fff03fc4,4,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,12.3521,27.8760,19.6252
7,0,15,656734e1,4,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,8.4774,27.3765,23.0004
8,0,15,38d875bd,1,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,12.4774,28.0013,19.6251
9,0,15,4fa83642,4,b38644ac,4,37,F,35616,CHECK,CHECK_CALL,12.8521,27.8760,19.1252
0,1,15,85421bf9,4,0a746947,3,37,F,35616,CHECK,CHECK_CALL,18.3878,28.0013,20.5001
1,1,15,c8df24e8,9,0a746947,3,37,F,35616,CHECK,CHECK_CALL,17.3883,27.7519,21.2502
2,1,15,9b41aa48,8,0a746947,3,37,F,35616,CHECK,CHECK_CALL,16.1422,27.3809,22.1253
3,1,15,182bb9aa,1,0a746947,3,37,F,35616,CHECK,CHECK_CALL,18.0137,27.8772,20.7501
4,1,15,01a3359a,1,0a746947,3,37,F,35616,CHECK,CHECK_CALL,17.3884,27.8769,21.3751
5,1,15,67b92c33,4,0a746947,3,37,F,35616,CHECK,CHECK_CALL,14.0158,26.7547,23.6254
6,1,15,fff03fc4,4,0a746947,3,37,F,35616,CHECK,CHECK_CALL,18.1381,27.8767,20.6251
7,1,15,656734e1,4,0a746947,3,37,F,35616,CHECK,CHECK_CALL,13.7627,27.3764,24.5002
8,1,15,38d875bd,1,0a746947,3,37,F,35616,CHECK,CHECK_CALL,18.5125,28.0010,20.3751
9,1,15,4fa83642,4,0a746947,3,37,F,35616,CHECK,CHECK_CALL,18.7629,27.8765,20.0001
0,2,15,85421bf9,4,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,13.2017,27.8759,18.8751
1,2,15,c8df24e8,9,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,12.3271,27.6265,19.5002
2,2,15,9b41aa48,8,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,10.3331,27.1326,21.0003
3,2,15,182bb9aa,1,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,12.5786,27.8778,19.5001
4,2,15,01a3359a,1,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,12.0782,27.8775,20.0001
5,2,15,67b92c33,4,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,8.7050,26.6297,22.1255
6,2,15,fff03fc4,4,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,13.0768,27.8760,19.0001
7,2,15,656734e1,4,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,9.0771,27.5015,22.6253
8,2,15,38d875bd,1,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,13.2023,27.8765,18.8751
9,2,15,4fa83642,4,dbdfd588,7,37,F,35616,CHECK,CHECK_CALL,13.3269,27.7512,18.6251
