source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,2a80505f,2,05730d44,5,37,F,35616,CHECK,CHECK_CALL,5.2524,25.1362,24.1257
1,0,14,47c15827,5,05730d44,5,37,F,35616,CHECK,CHECK_CALL,6.8713,26.1303,23.5010
2,0,14,656734e1,7,05730d44,5,37,F,35616,CHECK,CHECK_CALL,6.3821,24.1413,22.0012
3,0,14,03f6b4e0,2,05730d44,5,37,F,37,F,FOLD,3.8713,24.0049,24.3755
4,0,14,a3b5822c,1,05730d44,5,37,F,35616,CHECK,CHECK_CALL,5.7472,26.0060,24.5007
5,0,14,cb990b57,2,05730d44,5,37,F,35616,CHECK,CHECK_CALL,5.6262,25.2599,23.8756
6,0,14,82f96209,2,05730d44,5,37,F,35616,CHECK,CHECK_CALL,10.1209,27.2546,21.3757
7,0,14,d45f9ca6,2,05730d44,5,37,F,35616,CHECK,CHECK_CALL,5.4998,24.2589,23.0011
8,0,14,50280a1e,7,05730d44,5,37,F,35616,CHECK,CHECK_CALL,6.5070,25.7661,23.5011
9,0,14,a1974af2,5,05730d44,5,37,F,35616,CHECK,CHECK_CALL,7.8666,27.0001,23.3754
0,1,14,2a80505f,2,9b41aa48,9,37,F,37,F,FOLD,8.4519,23.6549,25.6252
1,1,14,47c15827,5,9b41aa48,9,37,F,37,F,FOLD,10.1982,25.1514,25.3753
2,1,14,656734e1,7,9b41aa48,9,37,F,37,F,FOLD,9.2418,23.0703,24.2505
3,1,14,03f6b4e0,2,9b41aa48,9,37,F,37,F,FOLD,6.5633,21.7663,25.6251
4,1,14,a3b5822c,1,9b41aa48,9,37,F,37,F,FOLD,9.1926,24.8957,26.1252
5,1,14,cb990b57,2,9b41aa48,9,37,F,37,F,FOLD,8.8203,23.8984,25.5002
6,1,14,82f96209,2,9b41aa48,9,37,F,35616,CHECK,CHECK_CALL,14.0648,26.8932,23.2505
7,1,14,d45f9ca6,2,9b41aa48,9,37,F,37,F,FOLD,8.9484,23.4016,24.8754
8,1,14,50280a1e,7,9b41aa48,9,37,F,37,F,FOLD,9.9705,24.7987,25.2504
9,1,14,a1974af2,5,9b41aa48,9,37,F,37,F,FOLD,10.0473,25.3753,25.7501
0,2,14,2a80505f,2,5d4312d7,7,37,F,37,F,FOLD,6.1119,24.2684,24.6255
1,2,14,47c15827,5,5d4312d7,7,37,F,35616,CHECK,CHECK_CALL,7.3596,25.3912,24.5007
2,2,14,656734e1,7,5d4312d7,7,37,F,33,B,BET_RAISE,7.0115,23.2934,22.7510
3,2,14,03f6b4e0,2,5d4312d7,7,37,F,37,F,FOLD,4.6038,23.0101,24.8753
4,2,14,a3b5822c,1,5d4312d7,7,37,F,35616,CHECK,CHECK_CALL,6.6097,25.2662,25.1255
5,2,14,cb990b57,2,5d4312d7,7,37,F,37,F,FOLD,6.4848,24.5162,24.5005
6,2,14,82f96209,2,5d4312d7,7,37,F,35616,CHECK,CHECK_CALL,11.1044,26.8861,22.2507
7,2,14,d45f9ca6,2,5d4312d7,7,37,F,37,F,FOLD,6.4868,23.6435,23.6258
8,2,14,50280a1e,7,5d4312d7,7,37,F,35616,CHECK,CHECK_CALL,7.1234,25.1549,24.5006
9,2,14,a1974af2,5,5d4312d7,7,37,F,35616,CHECK,CHECK_CALL,7.3441,25.8752,25.0002
0,3,14,2a80505f,2,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,4.5178,24.4049,24.2507
1,3,14,47c15827,5,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,6.2582,25.6456,23.7510
2,3,14,656734e1,7,c9aa58f5,7,37,F,33,B,BET_RAISE,5.4110,23.4239,22.3765
3,3,14,03f6b4e0,2,c9aa58f5,7,37,F,37,F,FOLD,3.1244,23.2613,24.5004
4,3,14,a3b5822c,1,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,5.2642,25.4014,24.5008
5,3,14,cb990b57,2,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,4.8893,24.6515,24.1257
6,3,14,82f96209,2,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,9.7538,26.8911,21.5008
7,3,14,d45f9ca6,2,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,4.5085,23.7709,23.6259
8,3,14,50280a1e,7,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,5.9057,25.2931,23.7510
9,3,14,a1974af2,5,c9aa58f5,7,37,F,35616,CHECK,CHECK_CALL,6.4885,26.3752,24.2503
0,4,14,2a80505f,2,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,4.9688,25.5126,22.2507
1,4,14,47c15827,5,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,7.4653,26.5087,20.7503
2,4,14,656734e1,7,7c403c86,7,37,F,33,B,BET_RAISE,5.1082,24.1516,20.7503
3,4,14,03f6b4e0,2,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,1.8414,24.0100,23.8755
4,4,14,a3b5822c,1,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,6.9642,26.6327,21.3754
5,4,14,cb990b57,2,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,5.2161,25.6349,22.1257
6,4,14,82f96209,2,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,9.9636,27.5067,19.2501
7,4,14,d45f9ca6,2,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,3.4674,24.2614,22.5009
8,4,14,50280a1e,7,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,6.8496,26.2682,21.1256
9,4,14,a1974af2,5,7c403c86,7,37,F,35616,CHECK,CHECK_CALL,8.4567,27.3751,20.6253
0,5,14,2a80505f,2,4cae328b,7,37,F,37,F,FOLD,6.1138,24.2684,24.5005
1,5,14,47c15827,5,4cae328b,7,37,F,35616,CHECK,CHECK_CALL,7.6094,25.5143,24.2508
2,5,14,656734e1,7,4cae328b,7,37,F,33,B,BET_RAISE,7.0188,23.2990,22.6261
3,5,14,03f6b4e0,2,4cae328b,7,37,F,37,F,FOLD,4.4806,23.0101,24.8753
4,5,14,a3b5822c,1,4cae328b,7,37,F,35616,CHECK,CHECK_CALL,6.6115,25.2662,25.0006
5,5,14,cb990b57,2,4cae328b,7,37,F,37,F,FOLD,6.3661,24.3957,24.3755
6,5,14,82f96209,2,4cae328b,7,37,F,35616,CHECK,CHECK_CALL,10.9826,26.7626,22.1258
7,5,14,d45f9ca6,2,4cae328b,7,37,F,37,F,FOLD,6.2411,23.6459,23.7507
8,5,14,50280a1e,7,4cae328b,7,37,F,35616,CHECK,CHECK_CALL,7.1251,25.1549,24.3757
9,5,14,a1974af2,5,4cae328b,7,37,F,35616,CHECK,CHECK_CALL,7.5959,26.0002,24.7502
0,6,14,2a80505f,2,15c953f8,5,37,F,37,F,FOLD,4.8740,24.3862,24.5005
1,6,14,47c15827,5,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,6.1202,25.5077,24.3758
2,6,14,656734e1,7,15c953f8,5,37,F,33,B,BET_RAISE,5.1387,23.2767,23.1262
3,6,14,03f6b4e0,2,15c953f8,5,37,F,37,F,FOLD,3.2435,23.0055,24.7503
4,6,14,a3b5822c,1,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,5.3695,25.3818,25.0006
5,6,14,cb990b57,2,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,5.1227,24.5099,24.3755
6,6,14,82f96209,2,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,9.4934,26.8810,22.3758
7,6,14,d45f9ca6,2,15c953f8,5,37,F,37,F,FOLD,4.7465,23.6340,23.8758
8,6,14,50280a1e,7,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,5.7558,25.1433,24.3757
9,6,14,a1974af2,5,15c953f8,5,37,F,35616,CHECK,CHECK_CALL,6.6132,26.1252,24.5003
0,7,14,2a80505f,2,9140c045,5,37,F,37,F,FOLD,4.5056,24.5144,24.5006
1,7,14,47c15827,5,9140c045,5,37,F,35616,CHECK,CHECK_CALL,5.9997,25.7587,24.2509
2,7,14,656734e1,7,9140c045,5,37,F,33,B,BET_RAISE,4.6393,23.2736,23.1262
3,7,14,03f6b4e0,2,9140c045,5,37,F,37,F,FOLD,2.8720,23.1305,24.7504
4,7,14,a3b5822c,1,9140c045,5,37,F,35616,CHECK,CHECK_CALL,5.2489,25.6327,24.8757
5,7,14,cb990b57,2,9140c045,5,37,F,35616,CHECK,CHECK_CALL,4.7556,24.6393,24.3756
6,7,14,82f96209,2,9140c045,5,37,F,35616,CHECK,CHECK_CALL,9.6227,27.0067,21.8759
7,7,14,d45f9ca6,2,9140c045,5,37,F,37,F,FOLD,4.3750,23.7590,23.8759
8,7,14,50280a1e,7,9140c045,5,37,F,35616,CHECK,CHECK_CALL,5.7592,25.3933,24.1259
9,7,14,a1974af2,5,9140c045,5,37,F,35616,CHECK,CHECK_CALL,6.4917,26.3752,24.3754
0,8,14,2a80505f,2,480671b8,7,37,F,35616,CHECK,CHECK_CALL,5.2686,24.5382,24.1257
1,8,14,47c15827,5,480671b8,7,37,F,35616,CHECK,CHECK_CALL,6.5035,25.6484,24.0008
2,8,14,656734e1,7,480671b8,7,37,F,33,B,BET_RAISE,5.6840,23.3293,22.5013
3,8,14,03f6b4e0,2,480671b8,7,37,F,37,F,FOLD,3.3741,23.1435,24.6254
4,8,14,a3b5822c,1,480671b8,7,37,F,35616,CHECK,CHECK_CALL,5.7641,25.4088,24.5007
5,8,14,cb990b57,2,480671b8,7,37,F,35616,CHECK,CHECK_CALL,5.5142,24.6588,24.0007
6,8,14,82f96209,2,480671b8,7,37,F,35616,CHECK,CHECK_CALL,9.7483,26.7682,21.8759
7,8,14,d45f9ca6,2,480671b8,7,37,F,35616,CHECK,CHECK_CALL,5.1390,23.6590,23.3761
8,8,14,50280a1e,7,480671b8,7,37,F,35616,CHECK,CHECK_CALL,6.4038,25.2987,23.7510
9,8,14,a1974af2,5,480671b8,7,37,F,35616,CHECK,CHECK_CALL,6.3561,26.1253,24.6252
0,9,14,2a80505f,2,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,4.7573,24.8933,24.0007
1,9,14,47c15827,5,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,6.3725,26.0087,23.5010
2,9,14,656734e1,7,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,5.2768,23.7883,22.3763
3,9,14,03f6b4e0,2,5072e5b1,8,37,F,37,F,FOLD,2.8743,23.5100,24.5004
4,9,14,a3b5822c,1,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,5.3739,25.8848,24.3757
5,9,14,cb990b57,2,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,4.8803,25.0162,24.0007
6,9,14,82f96209,2,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,9.3708,27.1317,21.6257
7,9,14,d45f9ca6,2,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,4.3824,24.0185,23.5009
8,9,14,50280a1e,7,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,6.0093,25.6456,23.5011
9,9,14,a1974af2,5,5072e5b1,8,37,F,35616,CHECK,CHECK_CALL,6.7396,26.6251,23.7503
0,10,14,2a80505f,2,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,4.6374,24.4050,24.1258
1,10,14,47c15827,5,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,6.1277,25.5207,23.7511
2,10,14,656734e1,7,fcf59a93,7,37,F,33,B,BET_RAISE,5.0441,23.3124,22.6265
3,10,14,03f6b4e0,2,fcf59a93,7,37,F,37,F,FOLD,2.9955,23.2628,24.6255
4,10,14,a3b5822c,1,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,5.1372,25.2799,24.5008
5,10,14,cb990b57,2,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,4.8809,24.6484,24.1257
6,10,14,82f96209,2,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,9.2465,26.7642,21.8759
7,10,14,d45f9ca6,2,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,4.5088,23.7767,23.6261
8,10,14,50280a1e,7,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,5.7752,25.1681,23.7511
9,10,14,a1974af2,5,fcf59a93,7,37,F,35616,CHECK,CHECK_CALL,6.1081,26.1252,24.3753
0,11,14,2a80505f,2,977d33da,5,37,F,37,F,FOLD,5.8694,24.5127,25.1254
1,11,14,47c15827,5,977d33da,5,37,F,35616,CHECK,CHECK_CALL,7.4891,25.7577,24.7507
2,11,14,656734e1,7,977d33da,5,37,F,33,B,BET_RAISE,6.1298,23.3986,23.7509
3,11,14,03f6b4e0,2,977d33da,5,37,F,37,F,FOLD,3.8631,22.6313,25.2502
4,11,14,a3b5822c,1,977d33da,5,37,F,35616,CHECK,CHECK_CALL,6.6144,25.6327,25.5005
