source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,14,residual,,8f9b67e0,4,2faf1217,7,37,F,37,F,FOLD,6.7373,24.8957,24.8755,20.1270
1,0,14,residual,,74b820aa,2,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,11.8574,26.7661,21.6258,19.8776
2,0,14,residual,,41c34167,4,2faf1217,7,37,F,37,F,FOLD,5.7551,23.2884,24.2504,21.5030
3,0,14,residual,,ac1aa527,1,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,11.8597,27.1432,22.0006,18.0073
4,0,14,residual,,aacd55bf,5,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,9.9742,26.8826,23.6255,18.5047
5,0,14,residual,,1b334027,9,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,10.4712,26.8796,23.1255,18.1316
6,0,14,residual,,80a6c584,9,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,7.7464,25.5298,24.5005,18.6319
7,0,14,residual,,7dac81de,2,2faf1217,7,37,F,37,F,FOLD,6.7328,24.5162,24.5005,20.1279
8,0,14,residual,,dc01946e,2,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,6.8542,23.7629,23.6258,23.2516
9,0,14,residual,,44c8e017,2,2faf1217,7,37,F,35616,CHECK,CHECK_CALL,6.8599,24.6433,24.5005,21.1264
0,0,14,attn,,8f9b67e0,4,2faf1217,7,37,F,37,F,FOLD,3.8532,23.1363,26.0002,20.1266
1,0,14,attn,,74b820aa,2,2faf1217,7,37,F,37,F,FOLD,5.2280,24.3862,25.8753,19.8770
2,0,14,attn,,41c34167,4,2faf1217,7,37,F,37,F,FOLD,3.0010,21.6591,25.3752,20.3783
3,0,14,attn,,ac1aa527,1,2faf1217,7,37,F,37,F,FOLD,4.9780,24.3862,26.1252,19.2530
4,0,14,attn,,aacd55bf,5,2faf1217,7,37,F,37,F,FOLD,5.0996,24.6328,26.2502,18.7537
