source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,14,residual,,8f9b67e0,9,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.8480,25.2799,24.5002,18.6338
1,0,14,residual,,1433e1ec,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.9930,25.7598,25.1252,18.3843
2,0,14,residual,,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-9.8736,25.3792,25.6251,19.7529
3,0,14,residual,,34fad49d,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.1181,25.5099,24.0003,20.0045
4,0,14,residual,,eb733b96,1,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-6.4919,26.3861,23.2503,18.1408
5,0,14,residual,,d88880ea,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.2322,25.2707,24.8752,18.8840
6,0,14,residual,,470a3633,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.3741,25.3787,25.1252,21.1266
7,0,14,residual,,6bd743e1,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-7.9942,25.6337,24.0003,19.3823
8,0,14,residual,,b3fa6da5,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.4916,25.7611,25.6251,18.0094
9,0,14,residual,,406596da,7,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-7.7418,25.7612,23.8753,18.8846
0,0,14,attn,,8f9b67e0,9,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.9982,26.7547,20.1252,18.2668
1,0,14,attn,,1433e1ec,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.3750,27.0028,19.7502,18.8867
2,0,14,attn,,65bab71a,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-3.2511,26.8767,20.5002,20.2539
3,0,14,attn,,34fad49d,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-3.3742,26.6286,20.3752,19.3842
4,0,14,attn,,eb733b96,1,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.9992,27.0036,19.3752,18.3934
5,0,14,attn,,d88880ea,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.9982,26.7547,20.1252,18.5179
6,0,14,attn,,470a3633,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-5.1250,26.6279,22.1252,20.1289
