source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,14,residual,,a668df07,2,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,6.6161,25.1337,24.7505,19.1301
1,0,14,residual,,50795d65,4,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,10.3591,27.3767,23.2504,17.8813
2,0,14,residual,,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,3.8667,22.1345,24.5007,24.0002
3,0,14,residual,,e0434ef1,4,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,7.1080,25.6254,24.7503,19.3777
4,0,14,residual,,fd1cdbf0,1,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,12.1120,27.5046,21.6254,17.0118
5,0,14,residual,,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,5.2403,24.0079,25.0004,21.3757
6,0,14,residual,,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,6.2386,25.6310,25.6252,18.8777
7,0,14,residual,,50795d65,1,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,10.4892,27.0067,22.7504,17.0115
8,0,14,residual,,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,6.1185,23.6365,23.7508,23.3764
9,0,14,residual,,27529d8e,5,29a1aa4a,8,37,F,35616,CHECK,CHECK_CALL,7.9919,26.0098,24.2507,20.3766
0,0,14,attn,,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,4.4887,23.8812,25.6253,20.0021
1,0,14,attn,,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,5.2349,25.0023,26.0002,19.5020
2,0,14,attn,,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,2.2443,21.3867,25.3753,22.5004
3,0,14,attn,,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,5.1084,24.5008,25.6252,19.6270
4,0,14,attn,,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,4.9856,24.8779,26.1252,19.6267
5,0,14,attn,,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,3.6177,22.8851,25.5002,20.6263
6,0,14,attn,,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,4.4853,24.5026,26.2502,19.3770
7,0,14,attn,,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,5.2359,25.0033,26.0002,19.1275
8,0,14,attn,,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,3.8665,22.7591,25.1254,22.1260
9,0,14,attn,,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,5.3618,24.8792,25.7503,20.0016
0,0,14,mlp,,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.2473,19.2700,25.7501,22.6261
1,0,14,mlp,,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,-1.1262,19.0161,26.3751,22.7506
2,0,14,mlp,,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,0.2510,19.7683,25.7502,22.2508
3,0,14,mlp,,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,-0.4996,19.5176,26.2501,23.0005
4,0,14,mlp,,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,-0.3817,19.3856,26.0001,23.2504
5,0,14,mlp,,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,0.4982,20.0155,25.7501,22.1262
6,0,14,mlp,,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,0.3708,19.8882,25.7502,24.2503
7,0,14,mlp,,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,-1.0008,18.8914,26.1251,23.5003
8,0,14,mlp,,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,0.0024,19.3947,25.6251,22.0013
9,0,14,mlp,,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,-0.8744,18.8928,26.0001,22.2508
0,0,14,head,0,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.3660,19.4012,26.0001,21.6257
1,0,14,head,0,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,-0.3689,19.3984,26.0001,21.5008
2,0,14,head,0,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,-0.2465,19.6457,26.1251,21.5007
3,0,14,head,0,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,-0.3690,19.3983,26.0001,21.5008
4,0,14,head,0,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,-0.3689,19.3983,26.0001,21.5007
5,0,14,head,0,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001,21.7507
6,0,14,head,0,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,-0.2466,19.6456,26.1251,21.5008
7,0,14,head,0,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,-0.3660,19.4012,26.0001,21.5007
8,0,14,head,0,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,-0.4940,19.3983,26.1251,21.3758
9,0,14,head,0,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001,21.7507
0,0,14,head,1,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,0.3723,20.0146,25.8752,22.6256
1,0,14,head,1,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,0.4943,20.1366,25.8752,22.5005
2,0,14,head,1,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,0.1250,19.8923,26.0002,22.3756
3,0,14,head,1,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,0.3740,20.0164,25.8752,22.5006
4,0,14,head,1,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,0.3700,20.1373,26.0002,22.6255
5,0,14,head,1,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,0.1251,19.8924,26.0002,22.2506
6,0,14,head,1,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,0.2482,20.0156,26.0002,22.5006
7,0,14,head,1,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,0.3708,20.0131,25.8752,22.7505
8,0,14,head,1,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,0.7456,20.2630,25.7502,22.7505
9,0,14,head,1,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,0.2473,19.8897,25.8752,22.5005
0,0,14,head,2,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,0.7499,20.3922,25.8752,22.0007
1,0,14,head,2,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,0.6321,20.3994,26.0002,22.1257
2,0,14,head,2,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,0.1272,19.7696,25.8752,22.2506
3,0,14,head,2,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,0.8749,20.3923,25.7502,22.0007
4,0,14,head,2,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,0.7601,20.4024,25.8752,22.0008
5,0,14,head,2,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,0.3795,20.1468,26.0001,22.1257
6,0,14,head,2,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,0.5102,20.1525,25.8751,21.7507
7,0,14,head,2,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,0.8850,20.5273,25.8751,21.8758
8,0,14,head,2,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,0.6270,20.2694,25.8752,22.1257
9,0,14,head,2,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,0.6294,20.2718,25.8752,22.1257
0,0,14,head,3,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.3629,19.2794,25.8751,21.1260
