source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,887e6eb7,9,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.0056,25.2628,24.5003
1,0,14,2f1d0ad9,15,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,0.1229,24.6413,23.7503
2,0,14,49af9f35,15,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,0.1194,24.7628,23.8753
3,0,14,ed90af99,12,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.5056,25.1378,24.8752
4,0,14,dd59cbed,9,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.1306,25.2628,24.6253
5,0,14,9052244f,14,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.2583,25.3850,24.8752
6,0,14,aad8002c,14,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.2583,25.3850,24.8752
7,0,14,3bfd2a28,9,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.1271,25.1413,24.5003
8,0,14,9bbd7f6b,15,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,0.1194,24.7628,23.8753
9,0,14,babc5dab,9,3efa2fec,17,37,F,35616,CHECK,CHECK_CALL,-0.0021,25.1413,24.3753
0,1,14,887e6eb7,9,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,-0.0070,25.1363,24.7503
1,1,14,2f1d0ad9,15,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,0.1194,24.5128,24.0003
2,1,14,49af9f35,15,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,0.2429,24.6363,24.0004
3,1,14,ed90af99,12,aad8002c,17,37,F,37,F,FOLD,-0.3833,25.0100,25.0003
4,1,14,dd59cbed,9,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,-0.0071,25.1363,24.7503
5,1,14,9052244f,14,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,-0.1345,25.2588,25.0003
6,1,14,aad8002c,14,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,-0.1345,25.2588,25.0003
7,1,14,3bfd2a28,9,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,0.1194,25.1378,24.6253
8,1,14,9bbd7f6b,15,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,0.2444,24.6378,24.0004
9,1,14,babc5dab,9,aad8002c,17,37,F,35616,CHECK,CHECK_CALL,-0.0039,25.0144,24.6253
0,2,14,887e6eb7,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2500,25.6413,25.5003
1,2,14,2f1d0ad9,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2545,25.1458,25.0003
2,2,14,49af9f35,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3770,25.2684,25.0004
3,2,14,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.1250,25.3913,25.6253
4,2,14,dd59cbed,9,512a5162,12,37,F,37,F,FOLD,0.1271,25.5184,25.5003
5,2,14,9052244f,14,512a5162,12,37,F,37,F,FOLD,0.1231,25.6394,25.6253
6,2,14,aad8002c,14,512a5162,12,37,F,37,F,FOLD,0.1215,25.6377,25.6253
7,2,14,3bfd2a28,9,512a5162,12,37,F,37,F,FOLD,0.1295,25.5208,25.5003
8,2,14,9bbd7f6b,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3770,25.2684,25.0004
9,2,14,babc5dab,9,512a5162,12,37,F,37,F,FOLD,0.1322,25.3985,25.3753
0,3,14,887e6eb7,9,9c62ad4f,12,37,F,37,F,FOLD,0.3771,25.6434,25.6253
1,3,14,2f1d0ad9,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5071,25.2735,25.1253
2,3,14,49af9f35,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5044,25.2708,25.1253
3,3,14,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,-0.1229,25.3934,25.8752
4,3,14,dd59cbed,9,9c62ad4f,12,37,F,37,F,FOLD,0.3771,25.6434,25.6253
5,3,14,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.1250,25.6413,25.8752
6,3,14,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,0.2481,25.6394,25.7502
7,3,14,3bfd2a28,9,9c62ad4f,12,37,F,37,F,FOLD,0.3794,25.6458,25.6253
8,3,14,9bbd7f6b,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5045,25.2708,25.1253
9,3,14,babc5dab,9,9c62ad4f,12,37,F,37,F,FOLD,0.2572,25.5235,25.6253
0,4,14,887e6eb7,9,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,0.1155,25.3863,24.6253
1,4,14,2f1d0ad9,15,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,0.2420,24.7628,23.8753
2,4,14,49af9f35,15,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,0.2405,24.8863,24.0003
3,4,14,ed90af99,12,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.2608,25.2600,24.8753
4,4,14,dd59cbed,9,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.0080,25.2628,24.6253
5,4,14,9052244f,14,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.1357,25.3850,24.8752
6,4,14,aad8002c,14,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.1358,25.3850,24.8753
7,4,14,3bfd2a28,9,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.0064,25.2644,24.6253
8,4,14,9bbd7f6b,15,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,0.2405,24.8863,24.0003
9,4,14,babc5dab,9,cb1990e0,17,37,F,35616,CHECK,CHECK_CALL,-0.0045,25.1413,24.5003
0,5,14,887e6eb7,9,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,0.1179,25.2613,24.5003
1,5,14,2f1d0ad9,15,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,0.1194,24.6378,23.8753
2,5,14,49af9f35,15,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,0.2429,24.7613,23.8753
3,5,14,ed90af99,12,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.3820,25.1363,24.8753
4,5,14,dd59cbed,9,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.0056,25.1378,24.5003
5,5,14,9052244f,14,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.2570,25.2613,24.8752
6,5,14,aad8002c,14,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.1345,25.3838,24.8753
7,5,14,3bfd2a28,9,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.0040,25.1394,24.5003
8,5,14,9bbd7f6b,15,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,0.2416,24.8850,24.0003
9,5,14,babc5dab,9,530d2a2f,17,37,F,35616,CHECK,CHECK_CALL,-0.0021,25.0163,24.3754
0,6,14,887e6eb7,9,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.2550,25.6485,25.3753
1,6,14,2f1d0ad9,15,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.3831,25.2766,24.8753
2,6,14,49af9f35,15,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.2581,25.2766,25.0003
3,6,14,ed90af99,12,c50bd169,14,37,F,37,F,FOLD,-0.1226,25.5207,25.6252
4,6,14,dd59cbed,9,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.2550,25.6485,25.3753
5,6,14,9052244f,14,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.1301,25.6484,25.5003
6,6,14,aad8002c,14,c50bd169,14,37,F,37,F,FOLD,0.0024,25.6458,25.6252
7,6,14,3bfd2a28,9,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.1366,25.5300,25.3753
8,6,14,9bbd7f6b,15,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.2581,25.2766,25.0003
9,6,14,babc5dab,9,c50bd169,14,37,F,35616,CHECK,CHECK_CALL,0.1405,25.5339,25.3753
0,7,14,887e6eb7,9,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.0049,25.2613,24.7503
1,7,14,2f1d0ad9,15,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,0.1215,24.6378,24.0003
2,7,14,49af9f35,15,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,0.2437,24.7600,24.0003
3,7,14,ed90af99,12,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.3812,25.1350,25.0002
4,7,14,dd59cbed,9,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.0062,25.2600,24.7503
5,7,14,9052244f,14,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.1324,25.3838,25.0002
6,7,14,aad8002c,14,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.1334,25.3828,25.0002
7,7,14,3bfd2a28,9,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.0035,25.1378,24.6253
8,7,14,9bbd7f6b,15,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,0.1201,24.7613,24.1253
9,7,14,babc5dab,9,ce8eca80,17,37,F,35616,CHECK,CHECK_CALL,-0.0035,25.1378,24.6253
0,8,14,887e6eb7,9,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.0056,25.2628,24.7503
1,8,14,2f1d0ad9,15,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,0.1211,24.6395,24.0003
2,8,14,49af9f35,15,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,0.1194,24.7628,24.1253
3,8,14,ed90af99,12,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.3820,25.1363,25.0003
4,8,14,dd59cbed,9,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.0056,25.2628,24.7503
5,8,14,9052244f,14,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.1320,25.3863,25.0002
6,8,14,aad8002c,14,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.1333,25.3850,25.0002
7,8,14,3bfd2a28,9,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.0021,25.1413,24.6253
8,8,14,9bbd7f6b,15,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,0.1194,24.7628,24.1253
9,8,14,babc5dab,9,0ca4fbfb,15,37,F,35616,CHECK,CHECK_CALL,-0.0021,25.1413,24.6253
0,9,14,887e6eb7,9,d4c6b40a,17,37,F,35616,CHECK,CHECK_CALL,0.1155,25.2613,24.5003
1,9,14,2f1d0ad9,15,d4c6b40a,17,37,F,35616,CHECK,CHECK_CALL,0.1170,24.6378,23.8753
2,9,14,49af9f35,15,d4c6b40a,17,37,F,35616,CHECK,CHECK_CALL,0.2405,24.7613,23.8753
3,9,14,ed90af99,12,d4c6b40a,17,37,F,35616,CHECK,CHECK_CALL,-0.3844,25.1363,24.8752
