source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,8,887e6eb7,9,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
1,0,8,2f1d0ad9,15,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
2,0,8,49af9f35,15,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
3,0,8,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.1250,25.3913,25.6253
4,0,8,dd59cbed,9,512a5162,12,37,F,37,F,FOLD,-0.2478,25.3934,25.7502
5,0,8,9052244f,14,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
6,0,8,aad8002c,14,512a5162,12,37,F,37,F,FOLD,-0.2499,25.3913,25.7502
7,0,8,3bfd2a28,9,512a5162,12,37,F,37,F,FOLD,0.0000,25.5163,25.6253
8,0,8,9bbd7f6b,15,512a5162,12,37,F,37,F,FOLD,-0.0018,25.5144,25.6252
9,0,8,babc5dab,9,512a5162,12,37,F,37,F,FOLD,-0.1229,25.3934,25.6253
0,0,10,887e6eb7,9,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
1,0,10,2f1d0ad9,15,512a5162,12,37,F,37,F,FOLD,0.0021,25.3934,25.5003
2,0,10,49af9f35,15,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
3,0,10,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.0018,25.5144,25.6252
4,0,10,dd59cbed,9,512a5162,12,37,F,37,F,FOLD,-0.1229,25.3934,25.6253
5,0,10,9052244f,14,512a5162,12,37,F,37,F,FOLD,-0.0000,25.5162,25.6253
6,0,10,aad8002c,14,512a5162,12,37,F,37,F,FOLD,-0.0000,25.5162,25.6253
7,0,10,3bfd2a28,9,512a5162,12,37,F,37,F,FOLD,0.0000,25.5163,25.6253
8,0,10,9bbd7f6b,15,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
9,0,10,babc5dab,9,512a5162,12,37,F,37,F,FOLD,-0.1228,25.3934,25.6252
0,0,12,887e6eb7,9,512a5162,12,37,F,37,F,FOLD,-0.1285,25.5127,25.7502
1,0,12,2f1d0ad9,15,512a5162,12,37,F,37,F,FOLD,0.1352,25.2766,25.2503
2,0,12,49af9f35,15,512a5162,12,37,F,37,F,FOLD,0.0103,25.2766,25.3753
3,0,12,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.2499,25.3913,25.7502
4,0,12,dd59cbed,9,512a5162,12,37,F,37,F,FOLD,-0.1268,25.5144,25.7502
5,0,12,9052244f,14,512a5162,12,37,F,37,F,FOLD,-0.1250,25.3913,25.6253
6,0,12,aad8002c,14,512a5162,12,37,F,37,F,FOLD,-0.0019,25.5144,25.6253
7,0,12,3bfd2a28,9,512a5162,12,37,F,37,F,FOLD,-0.2499,25.3913,25.7502
8,0,12,9bbd7f6b,15,512a5162,12,37,F,37,F,FOLD,0.0103,25.2766,25.3753
9,0,12,babc5dab,9,512a5162,12,37,F,37,F,FOLD,-0.1268,25.5144,25.7502
0,0,14,887e6eb7,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2500,25.6413,25.5003
1,0,14,2f1d0ad9,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2545,25.1458,25.0003
2,0,14,49af9f35,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3770,25.2684,25.0004
3,0,14,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.1250,25.3913,25.6253
4,0,14,dd59cbed,9,512a5162,12,37,F,37,F,FOLD,0.1271,25.5184,25.5003
5,0,14,9052244f,14,512a5162,12,37,F,37,F,FOLD,0.1231,25.6394,25.6253
6,0,14,aad8002c,14,512a5162,12,37,F,37,F,FOLD,0.1215,25.6377,25.6253
7,0,14,3bfd2a28,9,512a5162,12,37,F,37,F,FOLD,0.1295,25.5208,25.5003
8,0,14,9bbd7f6b,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3770,25.2684,25.0004
9,0,14,babc5dab,9,512a5162,12,37,F,37,F,FOLD,0.1322,25.3985,25.3753
0,0,16,887e6eb7,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.6386,25.5300,25.0004
1,0,16,2f1d0ad9,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.6231,24.8894,24.3753
2,0,16,49af9f35,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.6214,25.0128,24.5003
3,0,16,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.0000,25.3913,25.5003
4,0,16,dd59cbed,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3887,25.4050,25.1253
5,0,16,9052244f,14,512a5162,12,37,F,37,F,FOLD,0.1295,25.5208,25.5003
6,0,16,aad8002c,14,512a5162,12,37,F,37,F,FOLD,0.0000,25.5163,25.6253
7,0,16,3bfd2a28,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5175,25.4089,25.0004
8,0,16,9bbd7f6b,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.4981,24.8894,24.5003
9,0,16,babc5dab,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.4019,25.2933,25.0004
0,0,18,887e6eb7,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.7674,25.5339,24.8755
1,0,18,2f1d0ad9,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.4936,24.8850,23.5004
2,0,18,49af9f35,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.3686,24.8850,23.6254
3,0,18,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.1204,25.2708,25.5003
4,0,18,dd59cbed,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5175,25.4089,25.0004
5,0,18,9052244f,14,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2572,25.6485,25.5003
6,0,18,aad8002c,14,512a5162,12,37,F,37,F,FOLD,0.1295,25.5208,25.5003
7,0,18,3bfd2a28,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.6468,25.4133,24.8755
8,0,18,9bbd7f6b,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.2449,24.8863,23.7504
9,0,18,babc5dab,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5269,25.2933,24.8754
0,0,20,887e6eb7,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.7768,25.5433,24.8754
1,0,20,2f1d0ad9,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.1200,24.7613,23.7503
2,0,20,49af9f35,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.2425,24.8839,23.7503
3,0,20,ed90af99,12,512a5162,12,37,F,37,F,FOLD,-0.1204,25.2708,25.5003
4,0,20,dd59cbed,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5269,25.4183,25.0004
5,0,20,9052244f,14,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2572,25.6485,25.5003
6,0,20,aad8002c,14,512a5162,12,37,F,37,F,FOLD,0.0045,25.5208,25.6253
7,0,20,3bfd2a28,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5388,25.3052,24.8754
8,0,20,9bbd7f6b,15,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.1187,24.8850,23.8753
9,0,20,babc5dab,9,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5325,25.2989,24.8754
0,1,8,887e6eb7,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
1,1,8,2f1d0ad9,15,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5162,25.8752
2,1,8,49af9f35,15,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
3,1,8,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
4,1,8,dd59cbed,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5162,25.8752
5,1,8,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
6,1,8,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,-0.0018,25.5144,25.8752
7,1,8,3bfd2a28,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
8,1,8,9bbd7f6b,15,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
9,1,8,babc5dab,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
0,1,10,887e6eb7,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
1,1,10,2f1d0ad9,15,9c62ad4f,12,37,F,37,F,FOLD,0.1271,25.5184,25.7502
2,1,10,49af9f35,15,9c62ad4f,12,37,F,37,F,FOLD,0.1271,25.5184,25.7502
3,1,10,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5162,25.8752
4,1,10,dd59cbed,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
5,1,10,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
6,1,10,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
7,1,10,3bfd2a28,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
8,1,10,9bbd7f6b,15,9c62ad4f,12,37,F,37,F,FOLD,0.1271,25.5184,25.7502
9,1,10,babc5dab,9,9c62ad4f,12,37,F,37,F,FOLD,0.0021,25.5184,25.8752
0,1,12,887e6eb7,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
1,1,12,2f1d0ad9,15,9c62ad4f,12,37,F,37,F,FOLD,0.0138,25.2800,25.6252
2,1,12,49af9f35,15,9c62ad4f,12,37,F,37,F,FOLD,0.1322,25.3985,25.6252
3,1,12,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
4,1,12,dd59cbed,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
5,1,12,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
6,1,12,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
7,1,12,3bfd2a28,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
8,1,12,9bbd7f6b,15,9c62ad4f,12,37,F,37,F,FOLD,0.1353,25.4015,25.6252
9,1,12,babc5dab,9,9c62ad4f,12,37,F,37,F,FOLD,0.0000,25.5163,25.8752
0,1,14,887e6eb7,9,9c62ad4f,12,37,F,37,F,FOLD,0.3771,25.6434,25.6253
1,1,14,2f1d0ad9,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5071,25.2735,25.1253
2,1,14,49af9f35,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5044,25.2708,25.1253
3,1,14,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,-0.1229,25.3934,25.8752
4,1,14,dd59cbed,9,9c62ad4f,12,37,F,37,F,FOLD,0.3771,25.6434,25.6253
5,1,14,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.1250,25.6413,25.8752
6,1,14,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,0.2481,25.6394,25.7502
7,1,14,3bfd2a28,9,9c62ad4f,12,37,F,37,F,FOLD,0.3794,25.6458,25.6253
8,1,14,9bbd7f6b,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5045,25.2708,25.1253
9,1,14,babc5dab,9,9c62ad4f,12,37,F,37,F,FOLD,0.2572,25.5235,25.6253
0,1,16,887e6eb7,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.7675,25.5339,25.1253
1,1,16,2f1d0ad9,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.8749,24.8913,24.3753
2,1,16,49af9f35,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.8731,25.0144,24.5003
3,1,16,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,0.1271,25.3934,25.6253
4,1,16,dd59cbed,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.6425,25.4089,25.1254
5,1,16,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.2572,25.5235,25.6252
6,1,16,aad8002c,14,9c62ad4f,12,37,F,37,F,FOLD,0.2521,25.5184,25.6253
7,1,16,3bfd2a28,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.6469,25.4133,25.1254
8,1,16,9bbd7f6b,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.7499,25.0163,24.6253
9,1,16,babc5dab,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.6575,25.2989,25.0004
0,1,18,887e6eb7,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,1.0218,25.5383,24.8755
1,1,18,2f1d0ad9,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,1.6199,24.8863,23.6254
2,1,18,49af9f35,15,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,1.7435,25.0100,23.6254
3,1,18,ed90af99,12,9c62ad4f,12,37,F,37,F,FOLD,0.1295,25.2708,25.5003
4,1,18,dd59cbed,9,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.7719,25.4133,25.0004
5,1,18,9052244f,14,9c62ad4f,12,37,F,37,F,FOLD,0.3852,25.5265,25.5003
