source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,185470c9,9,93364786,10,37,F,37,F,FOLD,0.0051,25.2735,25.2502
1,0,14,e4c2ed90,14,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.1332,25.2766,25.1253
2,0,14,e26fe3f2,9,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.1274,25.6458,25.5003
3,0,14,0ad9e936,1,93364786,10,37,F,35616,CHECK,CHECK_CALL,1.2072,24.8506,23.6252
4,0,14,9bc62e7c,11,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.2500,25.3934,25.1253
5,0,14,7b2c386a,14,93364786,10,37,F,37,F,FOLD,0.0082,25.2765,25.2502
6,0,14,3c1dc9d3,1,93364786,10,37,F,35616,CHECK,CHECK_CALL,1.0822,24.8506,23.7502
7,0,14,7f74d3a3,9,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.2478,25.7662,25.5003
8,0,14,ab5e9ac8,9,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.2500,25.7683,25.5003
9,0,14,10c5def4,14,93364786,10,37,F,35616,CHECK,CHECK_CALL,0.2581,25.2766,25.0003
0,1,14,185470c9,9,3a94b91f,9,37,F,37,F,FOLD,0.1315,25.1550,25.2503
1,1,14,e4c2ed90,14,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,0.3815,25.2800,25.1253
2,1,14,e26fe3f2,9,3a94b91f,9,37,F,37,F,FOLD,0.2565,25.5300,25.5003
3,1,14,0ad9e936,1,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,1.3539,24.6273,23.5002
4,1,14,9bc62e7c,11,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,0.4972,25.3958,25.1253
5,1,14,7b2c386a,14,3a94b91f,9,37,F,37,F,FOLD,0.2604,25.1589,25.1253
6,1,14,3c1dc9d3,1,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,1.3539,24.6273,23.5002
7,1,14,7f74d3a3,9,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,0.3749,25.6485,25.5003
8,1,14,ab5e9ac8,9,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,0.3750,25.6485,25.5003
9,1,14,10c5def4,14,3a94b91f,9,37,F,35616,CHECK,CHECK_CALL,0.3815,25.2800,25.1253
0,2,14,185470c9,9,793f02c6,9,37,F,37,F,FOLD,0.1281,25.0266,25.0003
1,2,14,e4c2ed90,14,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.3780,25.1516,24.8754
2,2,14,e26fe3f2,9,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.2500,25.5235,25.3753
3,2,14,0ad9e936,1,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,1.3398,24.6132,23.3752
4,2,14,9bc62e7c,11,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.3698,25.2684,25.0004
5,2,14,7b2c386a,14,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.2530,25.1516,25.0004
6,2,14,3c1dc9d3,1,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,1.2289,24.5023,23.3752
7,2,14,7f74d3a3,9,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.2473,25.5208,25.3753
8,2,14,ab5e9ac8,9,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.3698,25.6434,25.3753
9,2,14,10c5def4,14,793f02c6,9,37,F,35616,CHECK,CHECK_CALL,0.3815,25.1550,24.8754
0,3,14,185470c9,9,3c1dc9d3,9,37,F,37,F,FOLD,0.0031,25.1516,25.2503
1,3,14,e4c2ed90,14,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.2530,25.2766,25.1253
2,3,14,e26fe3f2,9,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.2499,25.6485,25.5003
3,3,14,0ad9e936,1,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,1.3398,24.7382,23.5002
4,3,14,9bc62e7c,11,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.3698,25.3934,25.1253
5,3,14,7b2c386a,14,3c1dc9d3,9,37,F,37,F,FOLD,0.1315,25.1550,25.1253
6,3,14,3c1dc9d3,1,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,1.2289,24.6273,23.5003
7,3,14,7f74d3a3,9,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.2472,25.6458,25.5003
8,3,14,ab5e9ac8,9,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.2473,25.6458,25.5003
9,3,14,10c5def4,14,3c1dc9d3,9,37,F,35616,CHECK,CHECK_CALL,0.2530,25.2766,25.1253
0,4,14,185470c9,9,1b291145,9,37,F,37,F,FOLD,0.1301,25.1485,25.1253
1,4,14,e4c2ed90,14,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.3831,25.2766,25.0003
2,4,14,e26fe3f2,9,1b291145,9,37,F,37,F,FOLD,0.1301,25.5235,25.5003
3,4,14,0ad9e936,1,1b291145,9,37,F,35616,CHECK,CHECK_CALL,1.4698,24.7382,23.3753
4,4,14,9bc62e7c,11,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.3773,25.2708,25.0004
5,4,14,7b2c386a,14,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.2581,25.2766,25.1253
6,4,14,3c1dc9d3,1,1b291145,9,37,F,35616,CHECK,CHECK_CALL,1.3590,24.6273,23.3753
7,4,14,7f74d3a3,9,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.3749,25.6434,25.3753
8,4,14,ab5e9ac8,9,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.3773,25.6458,25.3753
9,4,14,10c5def4,14,1b291145,9,37,F,35616,CHECK,CHECK_CALL,0.3831,25.2766,25.0004
