source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,be7ff698,3,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.0404,24.6953,24.0003
1,0,14,2f1d0ad9,5,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.0252,24.8053,24.1254
2,0,14,43a38d26,5,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.2633,25.0433,24.1254
3,0,14,6a0f901b,12,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.0132,24.9183,24.2504
4,0,14,13d23aa6,1,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.9913,24.6460,23.0001
5,0,14,61ab6ee0,3,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.2753,24.8052,23.8753
6,0,14,35c2496a,7,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.3883,25.1683,24.1254
7,0,14,6f352961,10,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,0.3750,25.1550,24.1254
8,0,14,245a6073,1,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,1.1163,24.6460,22.8751
9,0,14,d54737bf,1,babc5dab,9,35616,CHECK,35616,CHECK,CHECK_CALL,1.1163,24.6460,22.8751
0,1,14,be7ff698,3,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.9886,24.1413,22.7508
1,1,14,2f1d0ad9,5,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.4961,24.3839,22.5009
2,1,14,43a38d26,5,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.2471,24.5079,22.3759
3,1,14,6a0f901b,12,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.8722,24.3829,22.8759
4,1,14,13d23aa6,1,f4bd58dd,15,35616,CHECK,33,B,BET_RAISE,0.3806,24.3851,21.6254
5,1,14,61ab6ee0,3,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.9886,24.1414,22.7509
6,1,14,35c2496a,7,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.6230,24.6319,22.8758
7,1,14,6f352961,10,f4bd58dd,15,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1260,24.6288,22.3757
