source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,be7ff698,3,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.4021,24.7933,24.5003
1,0,14,2f1d0ad9,5,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.3887,25.0301,24.7504
2,0,14,43a38d26,5,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5102,25.1516,24.7504
3,0,14,6a0f901b,12,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.2637,25.0300,24.8754
4,0,14,13d23aa6,1,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.2640,24.7801,23.6252
5,0,14,61ab6ee0,3,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.4020,24.7934,24.5003
6,0,14,35c2496a,7,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.6386,25.2800,24.7504
7,0,14,6f352961,10,512a5162,12,37,F,35616,CHECK,CHECK_CALL,0.5021,25.2684,24.8753
8,0,14,245a6073,1,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.3855,24.7767,23.5002
9,0,14,d54737bf,1,512a5162,12,37,F,35616,CHECK,CHECK_CALL,1.2640,24.7801,23.6252
0,1,14,be7ff698,3,9c62ad4f,12,37,F,37,F,FOLD,0.4140,24.8053,24.7503
1,1,14,2f1d0ad9,5,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5220,25.0384,24.8754
2,1,14,43a38d26,5,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.7636,25.2800,24.8754
3,1,14,6a0f901b,12,9c62ad4f,12,37,F,37,F,FOLD,0.2720,25.0383,25.1253
4,1,14,13d23aa6,1,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,1.5178,24.9090,23.7502
5,1,14,61ab6ee0,3,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.5326,24.9239,24.7503
6,1,14,35c2496a,7,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.7676,25.2839,24.8753
7,1,14,6f352961,10,9c62ad4f,12,37,F,35616,CHECK,CHECK_CALL,0.6322,25.2735,25.0003
