source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,887e6eb7,9,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,0.0906,24.9302,24.2503
1,0,14,2f1d0ad9,15,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.0193,24.3204,23.7504
2,0,14,49af9f35,15,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.0272,24.4374,23.8753
3,0,14,dd59cbed,9,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,0.0906,24.9302,24.2503
4,0,14,9052244f,14,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.0463,25.1683,24.6253
5,0,14,aad8002c,14,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.0463,25.1683,24.6253
6,0,14,3bfd2a28,9,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,0.2156,24.9302,24.1254
7,0,14,9bbd7f6b,15,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.0272,24.4374,23.8753
8,0,14,babc5dab,9,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,0.0977,24.8124,24.1253
0,1,14,887e6eb7,9,aad8002c,1,33,B,33,B,BET_RAISE,-0.5013,25.0043,20.3753
1,1,14,2f1d0ad9,15,aad8002c,1,33,B,33,B,BET_RAISE,-1.2501,24.5055,20.6254
2,1,14,49af9f35,15,aad8002c,1,33,B,33,B,BET_RAISE,-1.0009,24.6299,20.5004
3,1,14,dd59cbed,9,aad8002c,1,33,B,33,B,BET_RAISE,-0.5018,25.0038,20.3753
4,1,14,9052244f,14,aad8002c,1,33,B,33,B,BET_RAISE,-0.3769,25.2538,20.5004
5,1,14,aad8002c,14,aad8002c,1,33,B,33,B,BET_RAISE,-0.5023,25.2534,20.6253
6,1,14,3bfd2a28,9,aad8002c,1,33,B,33,B,BET_RAISE,-0.8757,24.8799,20.6253
7,1,14,9bbd7f6b,15,aad8002c,1,33,B,33,B,BET_RAISE,-1.0008,24.6299,20.5004
8,1,14,babc5dab,9,aad8002c,1,33,B,33,B,BET_RAISE,-0.8762,24.8793,20.6252
0,2,14,887e6eb7,9,9c62ad4f,1,33,B,35616,CHECK,CHECK_CALL,-0.8781,25.2569,20.8754
1,2,14,2f1d0ad9,15,9c62ad4f,1,33,B,33,B,BET_RAISE,-1.5012,24.7589,21.0005
2,2,14,49af9f35,15,9c62ad4f,1,33,B,33,B,BET_RAISE,-1.5013,24.7589,21.0005
3,2,14,dd59cbed,9,9c62ad4f,1,33,B,33,B,BET_RAISE,-1.0030,25.1319,20.8753
4,2,14,9052244f,14,9c62ad4f,1,33,B,35616,CHECK,CHECK_CALL,-0.8782,25.3819,21.0005
5,2,14,aad8002c,14,9c62ad4f,1,33,B,35616,CHECK,CHECK_CALL,-1.0040,25.3811,21.1254
6,2,14,3bfd2a28,9,9c62ad4f,1,33,B,33,B,BET_RAISE,-1.1272,25.1328,21.0004
