source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,14,be7ff698,12,f4bd58dd,7,33,B,35616,CHECK,CHECK_CALL,-0.5002,25.5078,23.8753
1,0,14,08a48f10,12,f4bd58dd,7,33,B,35616,CHECK,CHECK_CALL,-0.6252,25.5078,24.0003
0,1,14,be7ff698,12,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.1657,24.9239,24.5003
1,1,14,08a48f10,12,f4bd58dd,3,33,B,35616,CHECK,CHECK_CALL,-0.2907,24.9239,24.6253
0,2,14,be7ff698,12,aad8002c,1,33,B,33,B,BET_RAISE,-0.7518,25.0038,20.6253
1,2,14,08a48f10,12,aad8002c,1,33,B,33,B,BET_RAISE,-0.8764,25.0043,20.7503
0,3,14,be7ff698,12,9c62ad4f,1,33,B,35616,CHECK,CHECK_CALL,-1.1289,25.2561,21.1254
1,3,14,08a48f10,12,9c62ad4f,1,33,B,35616,CHECK,CHECK_CALL,-1.3782,25.1319,21.2504
0,4,14,be7ff698,12,08a48f10,10,33,B,35616,CHECK,CHECK_CALL,0.1282,25.6338,24.0003
1,4,14,08a48f10,12,08a48f10,10,33,B,35616,CHECK,CHECK_CALL,0.0032,25.6338,24.1252
0,5,14,be7ff698,12,c50bd169,10,33,B,35616,CHECK,CHECK_CALL,-0.4988,25.1284,23.1256
1,5,14,08a48f10,12,c50bd169,10,33,B,35616,CHECK,CHECK_CALL,-0.4989,25.1284,23.1257
0,6,14,be7ff698,12,2f1d0ad9,10,33,B,35616,CHECK,CHECK_CALL,-0.6228,24.8804,23.0006
1,6,14,08a48f10,12,2f1d0ad9,10,33,B,35616,CHECK,CHECK_CALL,-0.6228,24.8804,23.0007
0,7,14,be7ff698,12,ce8eca80,7,33,B,35616,CHECK,CHECK_CALL,-0.3770,25.3820,24.1253
1,7,14,08a48f10,12,ce8eca80,7,33,B,35616,CHECK,CHECK_CALL,-0.5020,25.3819,24.2503
0,8,14,be7ff698,12,6f352961,10,33,B,35616,CHECK,CHECK_CALL,-0.6232,25.1288,23.0006
1,8,14,08a48f10,12,6f352961,10,33,B,35616,CHECK,CHECK_CALL,-0.7482,25.1288,23.1256
0,9,14,be7ff698,12,aaf24a51,7,33,B,35616,CHECK,CHECK_CALL,-0.3774,25.5078,23.7502
1,9,14,08a48f10,12,aaf24a51,7,33,B,35616,CHECK,CHECK_CALL,-0.5024,25.5078,23.8752
0,10,14,be7ff698,12,9c62ad4f,5,33,B,35616,CHECK,CHECK_CALL,-0.7512,25.1277,23.2507
1,10,14,08a48f10,12,9c62ad4f,5,33,B,35616,CHECK,CHECK_CALL,-0.8762,25.1277,23.3757
0,11,14,be7ff698,12,1f7a8514,10,33,B,35616,CHECK,CHECK_CALL,-0.8730,25.1304,22.5007
1,11,14,08a48f10,12,1f7a8514,10,33,B,35616,CHECK,CHECK_CALL,-0.9979,25.1304,22.6256
0,12,14,be7ff698,12,49af9f35,1,33,B,33,B,BET_RAISE,-1.0012,25.0043,20.7504
1,12,14,08a48f10,12,49af9f35,1,33,B,33,B,BET_RAISE,-1.1263,25.0043,20.8754
0,13,14,be7ff698,12,70382ab3,3,33,B,35616,CHECK,CHECK_CALL,-0.1523,24.9183,24.3753
1,13,14,08a48f10,12,70382ab3,3,33,B,35616,CHECK,CHECK_CALL,-0.2773,24.9184,24.5003
0,14,14,be7ff698,12,abc28a2b,10,33,B,35616,CHECK,CHECK_CALL,-0.6230,25.0054,22.6257
1,14,14,08a48f10,12,abc28a2b,10,33,B,35616,CHECK,CHECK_CALL,-0.7479,25.0054,22.7507
0,15,14,be7ff698,12,d54737bf,1,33,B,33,B,BET_RAISE,-0.7520,24.7543,20.7503
1,15,14,08a48f10,12,d54737bf,1,33,B,33,B,BET_RAISE,-0.8770,24.7543,20.8753
0,16,14,be7ff698,12,abc28a2b,1,33,B,35616,CHECK,CHECK_CALL,-1.0025,25.1304,21.1254
1,16,14,08a48f10,12,abc28a2b,1,33,B,35616,CHECK,CHECK_CALL,-1.1276,25.1304,21.2504
0,17,14,be7ff698,12,6c4f4960,3,33,B,35616,CHECK,CHECK_CALL,-0.1662,24.9134,24.5003
1,17,14,08a48f10,12,6c4f4960,3,33,B,35616,CHECK,CHECK_CALL,-0.2911,24.9134,24.6253
0,18,14,be7ff698,12,35c2496a,7,33,B,35616,CHECK,CHECK_CALL,-0.5011,25.5069,24.0003
1,18,14,08a48f10,12,35c2496a,7,33,B,35616,CHECK,CHECK_CALL,-0.6260,25.5069,24.1253
0,19,14,be7ff698,12,245a6073,12,33,B,35616,CHECK,CHECK_CALL,-0.2486,25.1378,24.2502
1,19,14,08a48f10,12,245a6073,12,33,B,35616,CHECK,CHECK_CALL,-0.2514,25.2600,24.3752
0,20,14,be7ff698,12,8cdcd749,12,33,B,35616,CHECK,CHECK_CALL,-0.1240,25.5100,24.1252
1,20,14,08a48f10,12,8cdcd749,12,33,B,35616,CHECK,CHECK_CALL,-0.2490,25.5100,24.2502
0,21,14,be7ff698,12,aad8002c,10,33,B,35616,CHECK,CHECK_CALL,-0.7479,25.0043,23.0007
1,21,14,08a48f10,12,aad8002c,10,33,B,35616,CHECK,CHECK_CALL,-0.8729,25.0043,23.1257
0,22,14,be7ff698,12,5ce111f4,3,33,B,35616,CHECK,CHECK_CALL,-0.2907,24.7990,24.3753
1,22,14,08a48f10,12,5ce111f4,3,33,B,35616,CHECK,CHECK_CALL,-0.2907,24.7990,24.3753
0,23,14,be7ff698,12,7dc6460e,7,33,B,35616,CHECK,CHECK_CALL,-0.3771,25.5069,23.6253
1,23,14,08a48f10,12,7dc6460e,7,33,B,35616,CHECK,CHECK_CALL,-0.6271,25.3819,23.7503
0,24,14,be7ff698,12,8401b13a,5,33,B,35616,CHECK,CHECK_CALL,-0.7508,25.1276,23.2508
1,24,14,08a48f10,12,8401b13a,5,33,B,35616,CHECK,CHECK_CALL,-0.8758,25.1277,23.3758
0,25,14,be7ff698,12,ec1e9b07,7,33,B,35616,CHECK,CHECK_CALL,-0.2502,25.5055,23.8752
1,25,14,08a48f10,12,ec1e9b07,7,33,B,35616,CHECK,CHECK_CALL,-0.5002,25.3805,24.0002
