source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,8f9b67e0,9,44c8e017,2,35616,CHECK,37,F,FOLD,-11.8289,23.1739,25.3751
1,0,15,1433e1ec,3,44c8e017,2,35616,CHECK,37,F,FOLD,-12.9882,22.6395,26.0001
2,0,15,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-13.3676,22.5101,26.2500
3,0,15,34fad49d,4,44c8e017,2,35616,CHECK,37,F,FOLD,-11.7364,23.0164,25.1251
4,0,15,eb733b96,1,44c8e017,2,35616,CHECK,37,F,FOLD,-10.4690,24.2839,25.1252
5,0,15,d88880ea,3,44c8e017,2,35616,CHECK,37,F,FOLD,-11.9762,23.1516,25.5001
6,0,15,470a3633,4,44c8e017,2,35616,CHECK,37,F,FOLD,-12.8649,23.0128,26.2501
7,0,15,6bd743e1,4,44c8e017,2,35616,CHECK,37,F,FOLD,-10.8634,23.6394,24.8752
8,0,15,b3fa6da5,3,44c8e017,2,35616,CHECK,37,F,FOLD,-14.6040,21.3987,26.3750
9,0,15,406596da,7,44c8e017,2,35616,CHECK,37,F,FOLD,-10.8594,23.7684,25.0002
0,1,15,8f9b67e0,9,f1019530,4,35616,CHECK,37,F,FOLD,-11.8957,22.3774,26.1251
1,1,15,1433e1ec,3,f1019530,4,35616,CHECK,37,F,FOLD,-13.8427,21.1804,26.8750
2,1,15,65bab71a,4,f1019530,4,35616,CHECK,37,F,FOLD,-13.9096,20.9885,26.7500
3,1,15,34fad49d,4,f1019530,4,35616,CHECK,37,F,FOLD,-11.4527,22.5704,25.8751
4,1,15,eb733b96,1,f1019530,4,35616,CHECK,37,F,FOLD,-10.9595,23.3136,26.1251
5,1,15,d88880ea,3,f1019530,4,35616,CHECK,37,F,FOLD,-12.2179,22.1802,26.2501
6,1,15,470a3633,4,f1019530,4,35616,CHECK,37,F,FOLD,-13.3623,21.6608,26.8750
7,1,15,6bd743e1,4,f1019530,4,35616,CHECK,37,F,FOLD,-11.0778,22.9453,25.8751
8,1,15,b3fa6da5,3,f1019530,4,35616,CHECK,37,F,FOLD,-14.9910,20.2820,27.1250
9,1,15,406596da,7,f1019530,4,35616,CHECK,37,F,FOLD,-10.9528,23.0703,25.8751
0,2,15,8f9b67e0,9,4294134d,2,35616,CHECK,37,F,FOLD,-12.8146,23.1873,25.3751
1,2,15,1433e1ec,3,4294134d,2,35616,CHECK,37,F,FOLD,-14.3532,22.3986,26.1251
2,2,15,65bab71a,4,4294134d,2,35616,CHECK,37,F,FOLD,-14.3623,22.3895,26.1250
3,2,15,34fad49d,4,4294134d,2,35616,CHECK,37,F,FOLD,-12.9783,22.8986,25.2502
4,2,15,eb733b96,1,4294134d,2,35616,CHECK,37,F,FOLD,-11.6969,24.1801,25.2502
5,2,15,d88880ea,3,4294134d,2,35616,CHECK,37,F,FOLD,-13.3336,22.9183,25.6251
6,2,15,470a3633,4,4294134d,2,35616,CHECK,37,F,FOLD,-13.9855,23.0163,26.3751
7,2,15,6bd743e1,4,4294134d,2,35616,CHECK,37,F,FOLD,-12.3561,23.3958,25.1252
8,2,15,b3fa6da5,3,4294134d,2,35616,CHECK,37,F,FOLD,-15.7216,21.4052,26.5000
9,2,15,406596da,7,4294134d,2,35616,CHECK,37,F,FOLD,-12.1004,23.5266,25.0002
0,3,15,8f9b67e0,9,58c0a3ea,4,35616,CHECK,37,F,FOLD,-14.6517,22.3509,26.1251
1,3,15,1433e1ec,3,58c0a3ea,4,35616,CHECK,37,F,FOLD,-16.7499,21.1275,27.0000
2,3,15,65bab71a,4,58c0a3ea,4,35616,CHECK,37,F,FOLD,-16.6730,21.0795,26.8750
3,3,15,34fad49d,4,58c0a3ea,4,35616,CHECK,37,F,FOLD,-14.3151,22.5624,26.0001
4,3,15,eb733b96,1,58c0a3ea,4,35616,CHECK,37,F,FOLD,-13.7787,23.3488,26.2501
5,3,15,d88880ea,3,58c0a3ea,4,35616,CHECK,37,F,FOLD,-14.9668,22.1607,26.2501
6,3,15,470a3633,4,58c0a3ea,4,35616,CHECK,37,F,FOLD,-16.0141,21.7384,26.8750
