source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,8f9b67e0,4,2faf1217,7,37,F,37,F,FOLD,0.1230,19.4060,26.0001
1,0,0,74b820aa,2,2faf1217,7,37,F,37,F,FOLD,0.0000,19.2830,26.0001
2,0,0,41c34167,4,2faf1217,7,37,F,37,F,FOLD,0.1230,19.4060,26.0001
3,0,0,ac1aa527,1,2faf1217,7,37,F,37,F,FOLD,0.1212,19.4043,26.0001
4,0,0,aacd55bf,5,2faf1217,7,37,F,37,F,FOLD,0.1212,19.4043,26.0001
5,0,0,1b334027,9,2faf1217,7,37,F,37,F,FOLD,0.1270,19.2850,25.8751
6,0,0,80a6c584,9,2faf1217,7,37,F,37,F,FOLD,0.1230,19.4060,26.0001
7,0,0,7dac81de,2,2faf1217,7,37,F,37,F,FOLD,0.1270,19.2850,25.8751
8,0,0,dc01946e,2,2faf1217,7,37,F,37,F,FOLD,0.1212,19.4043,26.0001
9,0,0,44c8e017,2,2faf1217,7,37,F,37,F,FOLD,0.1270,19.2850,25.8751
0,0,1,8f9b67e0,4,2faf1217,7,37,F,37,F,FOLD,0.2462,19.4043,25.8751
1,0,1,74b820aa,2,2faf1217,7,37,F,37,F,FOLD,0.1250,19.2830,25.8751
2,0,1,41c34167,4,2faf1217,7,37,F,37,F,FOLD,0.2462,19.4042,25.8751
3,0,1,ac1aa527,1,2faf1217,7,37,F,37,F,FOLD,0.2462,19.4043,25.8751
4,0,1,aacd55bf,5,2faf1217,7,37,F,37,F,FOLD,0.2480,19.4061,25.8751
5,0,1,1b334027,9,2faf1217,7,37,F,37,F,FOLD,0.2479,19.4060,25.8751
6,0,1,80a6c584,9,2faf1217,7,37,F,37,F,FOLD,0.1230,19.4061,26.0001
7,0,1,7dac81de,2,2faf1217,7,37,F,37,F,FOLD,0.1271,19.2851,25.8751
8,0,1,dc01946e,2,2faf1217,7,37,F,37,F,FOLD,0.1231,19.4061,26.0001
9,0,1,44c8e017,2,2faf1217,7,37,F,37,F,FOLD,0.1250,19.2830,25.8751
0,0,2,8f9b67e0,4,2faf1217,7,37,F,37,F,FOLD,0.1230,19.4061,26.0001
