source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,10,8f9b67e0,9,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
1,0,10,1433e1ec,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
2,0,10,65bab71a,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0004,27.2532,17.6252
3,0,10,34fad49d,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
4,0,10,eb733b96,1,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
5,0,10,d88880ea,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0004,27.2532,17.6252
6,0,10,470a3633,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0004,27.2532,17.6252
7,0,10,6bd743e1,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
8,0,10,b3fa6da5,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1242,27.2536,17.7502
9,0,10,406596da,7,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.0008,27.2536,17.6252
0,0,14,8f9b67e0,9,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.8480,25.2799,24.5002
1,0,14,1433e1ec,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.9930,25.7598,25.1252
2,0,14,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-9.8736,25.3792,25.6251
3,0,14,34fad49d,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-8.1181,25.5099,24.0003
4,0,14,eb733b96,1,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-6.4919,26.3861,23.2503
5,0,14,d88880ea,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.2322,25.2707,24.8752
6,0,14,470a3633,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.3741,25.3787,25.1252
7,0,14,6bd743e1,4,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-7.9942,25.6337,24.0003
8,0,14,b3fa6da5,3,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-9.4916,25.7611,25.6251
9,0,14,406596da,7,44c8e017,2,35616,CHECK,35616,CHECK,CHECK_CALL,-7.7418,25.7612,23.8753
0,0,18,8f9b67e0,9,44c8e017,2,35616,CHECK,37,F,FOLD,-14.9590,20.5437,25.8750
1,0,18,1433e1ec,3,44c8e017,2,35616,CHECK,37,F,FOLD,-15.7339,20.1438,26.2500
2,0,18,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-16.4894,19.5133,26.3750
3,0,18,34fad49d,4,44c8e017,2,35616,CHECK,37,F,FOLD,-13.4897,21.7631,25.6251
4,0,18,eb733b96,1,44c8e017,2,35616,CHECK,37,F,FOLD,-12.9688,22.5340,25.8751
5,0,18,d88880ea,3,44c8e017,2,35616,CHECK,37,F,FOLD,-14.1067,21.5210,26.0001
6,0,18,470a3633,4,44c8e017,2,35616,CHECK,37,F,FOLD,-16.8535,19.1492,26.3750
7,0,18,6bd743e1,4,44c8e017,2,35616,CHECK,37,F,FOLD,-12.7437,22.3840,25.5001
8,0,18,b3fa6da5,3,44c8e017,2,35616,CHECK,37,F,FOLD,-17.5949,18.6577,26.6250
9,0,18,406596da,7,44c8e017,2,35616,CHECK,37,F,FOLD,-12.9863,22.2665,25.6251
0,0,24,8f9b67e0,9,44c8e017,2,35616,CHECK,37,F,FOLD,-15.7878,19.8399,26.0001
1,0,24,1433e1ec,3,44c8e017,2,35616,CHECK,37,F,FOLD,-17.7977,18.4550,26.6250
2,0,24,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-18.4467,17.6810,26.5000
3,0,24,34fad49d,4,44c8e017,2,35616,CHECK,37,F,FOLD,-14.4756,21.0272,25.8751
4,0,24,eb733b96,1,44c8e017,2,35616,CHECK,37,F,FOLD,-14.1903,21.8125,26.3751
5,0,24,d88880ea,3,44c8e017,2,35616,CHECK,37,F,FOLD,-15.4320,20.4457,26.2501
6,0,24,470a3633,4,44c8e017,2,35616,CHECK,37,F,FOLD,-19.0375,17.3402,26.7500
7,0,24,6bd743e1,4,44c8e017,2,35616,CHECK,37,F,FOLD,-13.8589,21.6438,25.8751
8,0,24,b3fa6da5,3,44c8e017,2,35616,CHECK,37,F,FOLD,-19.9749,16.7778,27.1250
9,0,24,406596da,7,44c8e017,2,35616,CHECK,37,F,FOLD,-13.9639,21.5388,25.8751
0,0,30,8f9b67e0,9,44c8e017,2,35616,CHECK,37,F,FOLD,-15.6516,20.2261,26.2500
1,0,30,1433e1ec,3,44c8e017,2,35616,CHECK,37,F,FOLD,-18.2496,18.2531,26.8750
2,0,30,65bab71a,4,44c8e017,2,35616,CHECK,37,F,FOLD,-18.8952,17.6075,26.8750
3,0,30,34fad49d,4,44c8e017,2,35616,CHECK,37,F,FOLD,-14.4682,21.1595,26.0001
4,0,30,eb733b96,1,44c8e017,2,35616,CHECK,37,F,FOLD,-14.2770,21.9758,26.6251
5,0,30,d88880ea,3,44c8e017,2,35616,CHECK,37,F,FOLD,-15.7499,20.3778,26.5001
6,0,30,470a3633,4,44c8e017,2,35616,CHECK,37,F,FOLD,-19.1510,17.3517,26.8750
7,0,30,6bd743e1,4,44c8e017,2,35616,CHECK,37,F,FOLD,-13.7258,21.7770,25.8751
8,0,30,b3fa6da5,3,44c8e017,2,35616,CHECK,37,F,FOLD,-20.2527,16.6250,27.2500
9,0,30,406596da,7,44c8e017,2,35616,CHECK,37,F,FOLD,-13.7035,21.7992,25.8751
0,1,10,8f9b67e0,9,f1019530,4,35616,CHECK,35616,CHECK,CHECK_CALL,0.0027,27.1483,19.1252
