source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,eb90fd2f,4,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
1,0,0,74b820aa,7,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
2,0,0,78d8c173,7,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
3,0,0,16f55a42,1,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
4,0,0,e836c2b6,1,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
5,0,0,12422695,5,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
6,0,0,44c8e017,7,d9a09aa2,2,37,F,37,F,FOLD,-0.1237,22.0116,25.7502
7,0,0,74b820aa,4,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
8,0,0,1b334027,2,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
9,0,0,842acc10,4,d9a09aa2,2,37,F,37,F,FOLD,-0.1237,22.0116,25.7502
0,0,1,eb90fd2f,4,d9a09aa2,2,37,F,37,F,FOLD,-0.1237,22.0116,25.7502
1,0,1,74b820aa,7,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
2,0,1,78d8c173,7,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
3,0,1,16f55a42,1,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
4,0,1,e836c2b6,1,d9a09aa2,2,37,F,37,F,FOLD,-0.1237,22.0116,25.7502
5,0,1,12422695,5,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
6,0,1,44c8e017,7,d9a09aa2,2,37,F,37,F,FOLD,0.0000,22.1353,25.7502
