source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
1,0,0,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
2,0,0,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1215,19.6458,26.0001
3,0,0,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
4,0,0,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
5,0,0,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001
6,0,0,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
7,0,0,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001
8,0,0,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
9,0,0,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1203,19.6470,26.0001
0,0,1,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001
1,0,1,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001
2,0,1,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
3,0,1,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
4,0,1,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1227,19.6446,26.0001
5,0,1,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
6,0,1,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,-0.2465,19.6458,26.1251
7,0,1,50795d65,1,29a1aa4a,8,37,F,37,F,FOLD,0.0021,19.7694,26.0001
8,0,1,933deda0,2,29a1aa4a,8,37,F,37,F,FOLD,-0.1217,19.6456,26.0001
9,0,1,27529d8e,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
0,0,2,a668df07,2,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
1,0,2,50795d65,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1228,19.6445,26.0001
2,0,2,78d8dd9f,5,29a1aa4a,8,37,F,37,F,FOLD,-0.1203,19.6470,26.0001
3,0,2,e0434ef1,4,29a1aa4a,8,37,F,37,F,FOLD,-0.1227,19.6446,26.0001
4,0,2,fd1cdbf0,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6456,26.0001
5,0,2,3d0b5bd6,7,29a1aa4a,8,37,F,37,F,FOLD,-0.1216,19.6457,26.0001
6,0,2,0f095a36,1,29a1aa4a,8,37,F,37,F,FOLD,-0.1217,19.6456,26.0001
