source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,ac1aa527,4,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.2498,27.2525,17.8753
1,0,12,6ab6d301,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.6244,27.1278,18.1253
2,0,12,c89e73e6,3,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.2499,27.5022,17.6254
3,0,12,7a6f46ad,5,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.2491,27.1282,17.7503
4,0,12,470a3633,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.6244,27.1278,18.1253
5,0,12,b3fa6da5,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.4995,27.1278,18.0003
6,0,12,16ad502a,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1257,27.3765,17.8752
7,0,12,92006cc8,6,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1244,27.2528,17.7503
8,0,12,21ad4edc,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.8747,27.0025,18.2503
9,0,12,d2949d27,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.2502,27.2520,17.8752
0,0,13,ac1aa527,4,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.3739,27.7511,17.7502
1,0,13,6ab6d301,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.1227,27.0047,18.5003
2,0,13,c89e73e6,3,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,0.6242,28.0013,17.7502
3,0,13,7a6f46ad,5,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1250,27.2522,17.7503
4,0,13,470a3633,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-3.2514,26.0009,19.6254
5,0,13,b3fa6da5,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.1220,27.0053,18.5003
6,0,13,16ad502a,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1263,27.5009,18.0002
7,0,13,92006cc8,6,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1244,27.3778,17.8753
8,0,13,21ad4edc,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.0004,27.1267,18.5002
9,0,13,d2949d27,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-0.1259,27.3763,17.8753
0,0,14,ac1aa527,4,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.5012,26.1258,19.0001
1,0,14,6ab6d301,1,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-3.1262,25.6259,19.1251
2,0,14,c89e73e6,3,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.6260,26.2510,19.2501
3,0,14,7a6f46ad,5,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-2.1261,26.0010,18.5001
4,0,14,470a3633,2,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-6.0021,24.2505,20.6256
5,0,14,b3fa6da5,1,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-3.2511,25.6260,19.2501
6,0,14,16ad502a,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.5017,26.8754,18.7502
7,0,14,92006cc8,6,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.6257,26.5014,18.5001
8,0,14,21ad4edc,2,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-4.1266,24.6255,19.1251
9,0,14,d2949d27,2,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-1.6267,26.5004,18.5001
0,0,15,ac1aa527,4,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-5.7504,22.7516,18.8751
1,0,15,6ab6d301,1,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-5.1260,24.1261,19.6251
2,0,15,c89e73e6,3,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-6.0003,23.0018,19.3751
3,0,15,7a6f46ad,5,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-4.0013,24.3758,18.7501
4,0,15,470a3633,2,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-7.2519,23.1257,20.7507
5,0,15,b3fa6da5,1,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-5.2509,24.0012,19.6251
6,0,15,16ad502a,1,7dac81de,2,35616,CHECK,35616,CHECK,CHECK_CALL,-3.0019,25.8752,19.2501
7,0,15,92006cc8,6,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-3.5014,25.0006,18.8751
8,0,15,21ad4edc,2,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-6.5006,22.2515,19.1251
9,0,15,d2949d27,2,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-3.1266,25.2505,18.7501
0,0,18,ac1aa527,4,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-7.7460,20.5060,18.6250
1,0,18,6ab6d301,1,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-7.3723,22.0047,19.7501
2,0,18,c89e73e6,3,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-8.4930,20.0091,18.8751
3,0,18,7a6f46ad,5,7dac81de,2,35616,CHECK,33,B,BET_RAISE,-6.3753,22.2516,19.0000
