source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,8f9b67e0,9,ac612a61,2,33,B,33,B,BET_RAISE,0.2380,17.5295,18.8751
1,0,12,1433e1ec,3,ac612a61,2,33,B,33,B,BET_RAISE,0.2309,18.0223,19.3751
2,0,12,65bab71a,4,ac612a61,2,33,B,33,B,BET_RAISE,-0.0085,17.5329,19.1251
3,0,12,34fad49d,4,ac612a61,2,33,B,33,B,BET_RAISE,0.2350,17.7765,19.1251
4,0,12,eb733b96,1,ac612a61,2,33,B,33,B,BET_RAISE,0.1112,17.6526,19.1251
5,0,12,d88880ea,3,ac612a61,2,33,B,33,B,BET_RAISE,-0.0083,17.2831,18.8751
6,0,12,470a3633,4,ac612a61,2,33,B,33,B,BET_RAISE,-0.3722,16.7942,18.7501
7,0,12,6bd743e1,4,ac612a61,2,33,B,33,B,BET_RAISE,0.1114,17.6529,19.1251
8,0,12,b3fa6da5,3,ac612a61,2,33,B,33,B,BET_RAISE,-0.0104,17.5310,19.1251
9,0,12,406596da,7,ac612a61,2,33,B,33,B,BET_RAISE,0.1130,17.5294,19.0001
0,0,13,8f9b67e0,9,ac612a61,2,33,B,33,B,BET_RAISE,0.8467,18.8881,19.6251
1,0,13,1433e1ec,3,ac612a61,2,33,B,33,B,BET_RAISE,0.5994,19.0158,20.0001
2,0,13,65bab71a,4,ac612a61,2,33,B,33,B,BET_RAISE,0.3514,18.5178,19.7501
3,0,13,34fad49d,4,ac612a61,2,33,B,33,B,BET_RAISE,0.8460,19.0124,19.7501
4,0,13,eb733b96,1,ac612a61,2,33,B,33,B,BET_RAISE,0.7255,18.5169,19.3751
5,0,13,d88880ea,3,ac612a61,2,33,B,33,B,BET_RAISE,0.4757,18.7671,19.8751
6,0,13,470a3633,4,ac612a61,2,33,B,33,B,BET_RAISE,-0.5045,17.2870,19.3751
7,0,13,6bd743e1,4,ac612a61,2,33,B,33,B,BET_RAISE,0.9699,18.8863,19.5001
8,0,13,b3fa6da5,3,ac612a61,2,33,B,33,B,BET_RAISE,0.3503,18.8917,20.1251
9,0,13,406596da,7,ac612a61,2,33,B,33,B,BET_RAISE,0.9709,19.0123,19.6251
0,0,14,8f9b67e0,9,ac612a61,2,33,B,33,B,BET_RAISE,0.6008,22.0173,23.0002
1,0,14,1433e1ec,3,ac612a61,2,33,B,33,B,BET_RAISE,0.5942,22.3857,23.3751
2,0,14,65bab71a,4,ac612a61,2,33,B,33,B,BET_RAISE,-1.0314,20.8851,23.5001
3,0,14,34fad49d,4,ac612a61,2,33,B,33,B,BET_RAISE,1.2136,21.7550,22.1251
4,0,14,eb733b96,1,ac612a61,2,33,B,33,B,BET_RAISE,2.5898,22.5063,21.5001
5,0,14,d88880ea,3,ac612a61,2,33,B,33,B,BET_RAISE,0.4720,22.2636,23.3753
6,0,14,470a3633,4,ac612a61,2,33,B,33,B,BET_RAISE,-0.9021,20.3894,22.8752
7,0,14,6bd743e1,4,ac612a61,2,33,B,33,B,BET_RAISE,1.7126,22.1290,22.0001
8,0,14,b3fa6da5,3,ac612a61,2,33,B,33,B,BET_RAISE,-0.4029,22.1385,24.1251
9,0,14,406596da,7,ac612a61,2,33,B,33,B,BET_RAISE,1.7145,22.2559,22.1251
0,0,15,8f9b67e0,9,ac612a61,2,33,B,37,F,FOLD,-2.3268,21.5897,25.5001
1,0,15,1433e1ec,3,ac612a61,2,33,B,37,F,FOLD,-3.9857,20.6808,26.2501
2,0,15,65bab71a,4,ac612a61,2,33,B,37,F,FOLD,-4.7354,19.9310,26.2501
3,0,15,34fad49d,4,ac612a61,2,33,B,37,F,FOLD,-2.2569,21.4096,25.2502
4,0,15,eb733b96,1,ac612a61,2,33,B,37,F,FOLD,-0.6040,22.8125,25.0002
5,0,15,d88880ea,3,ac612a61,2,33,B,37,F,FOLD,-2.5957,21.4457,25.6251
6,0,15,470a3633,4,ac612a61,2,33,B,37,F,FOLD,-4.8263,19.5902,26.0001
7,0,15,6bd743e1,4,ac612a61,2,33,B,37,F,FOLD,-1.3926,22.1489,25.1252
8,0,15,b3fa6da5,3,ac612a61,2,33,B,37,F,FOLD,-5.7013,19.3401,26.6250
9,0,15,406596da,7,ac612a61,2,33,B,37,F,FOLD,-1.2612,22.2804,25.1252
0,0,18,8f9b67e0,9,ac612a61,2,33,B,37,F,FOLD,-4.4705,19.8209,25.8751
1,0,18,1433e1ec,3,ac612a61,2,33,B,37,F,FOLD,-5.5024,19.1639,26.2500
2,0,18,65bab71a,4,ac612a61,2,33,B,37,F,FOLD,-6.5106,18.2808,26.3750
3,0,18,34fad49d,4,ac612a61,2,33,B,37,F,FOLD,-3.2699,20.8965,25.7501
4,0,18,eb733b96,1,ac612a61,2,33,B,37,F,FOLD,-2.4861,21.8054,25.8751
5,0,18,d88880ea,3,ac612a61,2,33,B,37,F,FOLD,-3.8777,20.6637,26.1251
6,0,18,470a3633,4,ac612a61,2,33,B,37,F,FOLD,-6.8603,17.9311,26.3750
7,0,18,6bd743e1,4,ac612a61,2,33,B,37,F,FOLD,-2.4016,21.6398,25.6251
8,0,18,b3fa6da5,3,ac612a61,2,33,B,37,F,FOLD,-7.5990,17.5673,26.7500
9,0,18,406596da,7,ac612a61,2,33,B,37,F,FOLD,-2.5175,21.5240,25.6251
0,1,12,8f9b67e0,9,c89e73e6,3,33,B,33,B,BET_RAISE,-0.1767,18.1902,19.1250
1,1,12,1433e1ec,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.0520,18.8149,19.6250
2,1,12,65bab71a,4,c89e73e6,3,33,B,33,B,BET_RAISE,-0.1550,18.4618,19.3750
3,1,12,34fad49d,4,c89e73e6,3,33,B,33,B,BET_RAISE,0.0730,18.5649,19.2500
4,1,12,eb733b96,1,c89e73e6,3,33,B,33,B,BET_RAISE,0.0770,18.6939,19.3750
5,1,12,d88880ea,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.2846,18.2073,19.2500
6,1,12,470a3633,4,c89e73e6,3,33,B,33,B,BET_RAISE,-0.1498,18.2171,19.1250
7,1,12,6bd743e1,4,c89e73e6,3,33,B,33,B,BET_RAISE,0.0659,18.4328,19.1250
8,1,12,b3fa6da5,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.1646,18.4523,19.3750
9,1,12,406596da,7,c89e73e6,3,33,B,33,B,BET_RAISE,0.0659,18.4328,19.1250
0,1,13,8f9b67e0,9,c89e73e6,3,33,B,33,B,BET_RAISE,-0.2853,18.8316,19.8750
1,1,13,1433e1ec,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.5016,19.1153,20.3750
2,1,13,65bab71a,4,c89e73e6,3,33,B,33,B,BET_RAISE,-0.7515,18.7404,20.2500
3,1,13,34fad49d,4,c89e73e6,3,33,B,33,B,BET_RAISE,0.0724,19.4393,20.1250
4,1,13,eb733b96,1,c89e73e6,3,33,B,33,B,BET_RAISE,-0.1121,18.7548,19.6250
5,1,13,d88880ea,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.4002,19.0917,20.2500
6,1,13,470a3633,4,c89e73e6,3,33,B,33,B,BET_RAISE,-0.8092,18.4327,20.0000
7,1,13,6bd743e1,4,c89e73e6,3,33,B,33,B,BET_RAISE,0.1838,19.4257,20.0000
8,1,13,b3fa6da5,3,c89e73e6,3,33,B,33,B,BET_RAISE,-0.8623,18.7546,20.3750
9,1,13,406596da,7,c89e73e6,3,33,B,33,B,BET_RAISE,-0.0444,19.0725,19.8750
0,1,14,8f9b67e0,9,c89e73e6,3,33,B,33,B,BET_RAISE,-1.1277,21.6143,23.5001
1,1,14,1433e1ec,3,c89e73e6,3,33,B,33,B,BET_RAISE,-1.7766,21.3403,23.8751
2,1,14,65bab71a,4,c89e73e6,3,33,B,33,B,BET_RAISE,-3.4880,19.6290,23.8751
3,1,14,34fad49d,4,c89e73e6,3,33,B,33,B,BET_RAISE,-0.5815,21.1604,22.5001
4,1,14,eb733b96,1,c89e73e6,3,33,B,33,B,BET_RAISE,0.1834,21.1753,21.7500
5,1,14,d88880ea,3,c89e73e6,3,33,B,33,B,BET_RAISE,-1.0536,21.8134,23.6252
6,1,14,470a3633,4,c89e73e6,3,33,B,33,B,BET_RAISE,-3.0971,19.5199,23.3751
7,1,14,6bd743e1,4,c89e73e6,3,33,B,33,B,BET_RAISE,0.0276,21.7696,22.5001
8,1,14,b3fa6da5,3,c89e73e6,3,33,B,33,B,BET_RAISE,-2.6401,20.7269,24.1251
9,1,14,406596da,7,c89e73e6,3,33,B,33,B,BET_RAISE,0.1683,21.7852,22.3751
0,1,15,8f9b67e0,9,c89e73e6,3,33,B,37,F,FOLD,-4.0849,21.1570,26.0001
1,1,15,1433e1ec,3,c89e73e6,3,33,B,37,F,FOLD,-6.0155,19.9764,26.7500
2,1,15,65bab71a,4,c89e73e6,3,33,B,37,F,FOLD,-6.6403,19.2266,26.6250
3,1,15,34fad49d,4,c89e73e6,3,33,B,37,F,FOLD,-3.6521,21.3398,25.7501
4,1,15,eb733b96,1,c89e73e6,3,33,B,37,F,FOLD,-2.5400,22.5770,25.8751
5,1,15,d88880ea,3,c89e73e6,3,33,B,37,F,FOLD,-4.0398,21.3272,26.1251
6,1,15,470a3633,4,c89e73e6,3,33,B,37,F,FOLD,-6.6034,19.2635,26.6250
7,1,15,6bd743e1,4,c89e73e6,3,33,B,37,F,FOLD,-2.9213,21.9456,25.6251
8,1,15,b3fa6da5,3,c89e73e6,3,33,B,37,F,FOLD,-7.3535,18.8883,27.0000
9,1,15,406596da,7,c89e73e6,3,33,B,37,F,FOLD,-2.7774,22.0896,25.6251
0,1,18,8f9b67e0,9,c89e73e6,3,33,B,37,F,FOLD,-5.8903,19.6016,26.2500
1,1,18,1433e1ec,3,c89e73e6,3,33,B,37,F,FOLD,-7.5153,18.4766,26.7500
2,1,18,65bab71a,4,c89e73e6,3,33,B,37,F,FOLD,-8.2144,17.6525,26.6250
3,1,18,34fad49d,4,c89e73e6,3,33,B,37,F,FOLD,-4.3039,20.8130,25.8751
4,1,18,eb733b96,1,c89e73e6,3,33,B,37,F,FOLD,-3.9365,21.6804,26.3751
5,1,18,d88880ea,3,c89e73e6,3,33,B,37,F,FOLD,-5.1141,20.5028,26.3751
6,1,18,470a3633,4,c89e73e6,3,33,B,37,F,FOLD,-8.5616,17.3053,26.6250
7,1,18,6bd743e1,4,c89e73e6,3,33,B,37,F,FOLD,-3.5781,21.5388,25.8751
8,1,18,b3fa6da5,3,c89e73e6,3,33,B,37,F,FOLD,-9.3910,16.9759,27.1250
9,1,18,406596da,7,c89e73e6,3,33,B,37,F,FOLD,-3.5613,21.5557,25.8751
0,2,12,8f9b67e0,9,1433e1ec,1,33,B,33,B,BET_RAISE,0.1163,20.2704,18.8751
1,2,12,1433e1ec,3,1433e1ec,1,33,B,33,B,BET_RAISE,-0.2533,20.1508,19.1251
2,2,12,65bab71a,4,1433e1ec,1,33,B,33,B,BET_RAISE,-0.3781,20.1510,19.2501
3,2,12,34fad49d,4,1433e1ec,1,33,B,33,B,BET_RAISE,-0.0062,20.3979,19.1251
4,2,12,eb733b96,1,1433e1ec,1,33,B,33,B,BET_RAISE,-0.1284,20.1508,19.0001
5,2,12,d88880ea,3,1433e1ec,1,33,B,33,B,BET_RAISE,-0.1312,20.1479,19.0001
6,2,12,470a3633,4,1433e1ec,1,33,B,33,B,BET_RAISE,-0.2531,19.9010,18.8751
7,2,12,6bd743e1,4,1433e1ec,1,33,B,33,B,BET_RAISE,-0.1310,20.1481,19.0001
8,2,12,b3fa6da5,3,1433e1ec,1,33,B,33,B,BET_RAISE,-0.0035,20.2757,19.0001
9,2,12,406596da,7,1433e1ec,1,33,B,33,B,BET_RAISE,0.1162,20.3954,19.0001
0,2,13,8f9b67e0,9,1433e1ec,1,33,B,33,B,BET_RAISE,0.3621,20.8912,19.2502
1,2,13,1433e1ec,3,1433e1ec,1,33,B,33,B,BET_RAISE,0.1160,21.0201,19.6251
2,2,13,65bab71a,4,1433e1ec,1,33,B,33,B,BET_RAISE,-0.2563,20.5229,19.5001
3,2,13,34fad49d,4,1433e1ec,1,33,B,33,B,BET_RAISE,0.2371,20.8913,19.3751
