source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,ac1aa527,4,6bd743e1,4,37,F,37,F,FOLD,0.9941,22.1461,25.3752
1,0,12,6ab6d301,1,6bd743e1,4,37,F,37,F,FOLD,1.2396,22.3916,25.3751
2,0,12,c89e73e6,3,6bd743e1,4,37,F,37,F,FOLD,1.4916,22.5187,25.2502
3,0,12,7a6f46ad,5,6bd743e1,4,37,F,37,F,FOLD,1.3646,22.3916,25.2502
4,0,12,470a3633,2,6bd743e1,4,37,F,37,F,FOLD,1.2346,22.3866,25.3751
5,0,12,b3fa6da5,1,6bd743e1,4,37,F,37,F,FOLD,1.2377,22.3897,25.3752
6,0,12,16ad502a,1,6bd743e1,4,37,F,37,F,FOLD,1.2378,22.5148,25.5001
7,0,12,92006cc8,6,6bd743e1,4,37,F,37,F,FOLD,1.3645,22.5166,25.3752
8,0,12,21ad4edc,2,6bd743e1,4,37,F,37,F,FOLD,1.6096,22.6366,25.2502
9,0,12,d2949d27,2,6bd743e1,4,37,F,37,F,FOLD,1.6110,22.6380,25.2502
0,0,13,ac1aa527,4,6bd743e1,4,37,F,37,F,FOLD,2.1165,23.0186,25.1252
1,0,13,6ab6d301,1,6bd743e1,4,37,F,37,F,FOLD,1.8717,22.6488,25.0002
2,0,13,c89e73e6,3,6bd743e1,4,37,F,37,F,FOLD,2.4965,23.2737,25.0003
3,0,13,7a6f46ad,5,6bd743e1,4,37,F,37,F,FOLD,2.4875,23.0146,24.7503
4,0,13,470a3633,2,6bd743e1,4,37,F,37,F,FOLD,2.2294,22.7565,24.7502
5,0,13,b3fa6da5,1,6bd743e1,4,37,F,37,F,FOLD,1.7467,22.5238,25.0002
6,0,13,16ad502a,1,6bd743e1,4,37,F,37,F,FOLD,1.6145,22.7666,25.3752
7,0,13,92006cc8,6,6bd743e1,4,37,F,37,F,FOLD,2.4914,23.1436,24.8753
8,0,13,21ad4edc,2,6bd743e1,4,37,F,37,F,FOLD,2.4843,23.1366,24.8754
9,0,13,d2949d27,2,6bd743e1,4,37,F,37,F,FOLD,2.9857,23.5129,24.7504
0,0,14,ac1aa527,4,6bd743e1,4,37,F,33,B,BET_RAISE,3.9794,22.8824,23.1261
1,0,14,6ab6d301,1,6bd743e1,4,37,F,33,B,BET_RAISE,3.6055,23.1334,23.7510
2,0,14,c89e73e6,3,6bd743e1,4,37,F,33,B,BET_RAISE,4.7290,23.0066,22.5007
3,0,14,7a6f46ad,5,6bd743e1,4,37,F,33,B,BET_RAISE,4.7302,23.5081,23.0011
4,0,14,470a3633,2,6bd743e1,4,37,F,33,B,BET_RAISE,1.9761,22.1286,24.3756
5,0,14,b3fa6da5,1,6bd743e1,4,37,F,33,B,BET_RAISE,3.1091,22.8869,24.0010
6,0,14,16ad502a,1,6bd743e1,4,37,F,37,F,FOLD,3.3555,23.6331,24.5007
7,0,14,92006cc8,6,6bd743e1,4,37,F,33,B,BET_RAISE,4.4835,23.7616,23.5012
8,0,14,21ad4edc,2,6bd743e1,4,37,F,33,B,BET_RAISE,3.4772,22.3800,23.1259
9,0,14,d2949d27,2,6bd743e1,4,37,F,33,B,BET_RAISE,4.3501,23.6281,23.5011
0,0,15,ac1aa527,4,6bd743e1,4,37,F,33,B,BET_RAISE,4.8569,21.0089,20.3751
1,0,15,6ab6d301,1,6bd743e1,4,37,F,33,B,BET_RAISE,4.6042,22.3813,22.0002
2,0,15,c89e73e6,3,6bd743e1,4,37,F,33,B,BET_RAISE,4.7327,21.3847,20.8752
3,0,15,7a6f46ad,5,6bd743e1,4,37,F,33,B,BET_RAISE,6.3505,23.1275,21.0001
4,0,15,470a3633,2,6bd743e1,4,37,F,33,B,BET_RAISE,3.4747,22.1273,22.8758
5,0,15,b3fa6da5,1,6bd743e1,4,37,F,33,B,BET_RAISE,4.6034,22.5056,22.1253
6,0,15,16ad502a,1,6bd743e1,4,37,F,33,B,BET_RAISE,5.8490,24.2513,22.6255
7,0,15,92006cc8,6,6bd743e1,4,37,F,33,B,BET_RAISE,6.4755,23.6274,21.3751
8,0,15,21ad4edc,2,6bd743e1,4,37,F,33,B,BET_RAISE,4.2311,20.8832,20.8752
