source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,zero,0,f217583d,7,37,F,92,},OTHER,6.5711,10.1915,10.0875
0,0,13,zero,0,f217583d,7,37,F,35616,CHECK,CHECK_CALL,6.5142,11.5301,11.4830
0,0,14,zero,0,f217583d,7,37,F,5499,icient,OTHER,4.5542,5.3202,7.2331
0,0,15,zero,0,f217583d,7,37,F,330," """,OTHER,9.4659,7.6250,4.6262
0,0,18,zero,0,f217583d,7,37,F,794,""":",OTHER,4.2798,7.1330,9.3203
0,1,12,zero,0,2faf1217,7,37,F,92,},OTHER,6.3132,9.6586,10.0625
0,1,13,zero,0,2faf1217,7,37,F,330," """,OTHER,6.5756,10.4733,10.6148
0,1,14,zero,0,2faf1217,7,37,F,35865,istrar,OTHER,4.1225,5.4544,8.0489
0,1,15,zero,0,2faf1217,7,37,F,330," """,OTHER,10.8328,8.1062,3.9904
0,1,18,zero,0,2faf1217,7,37,F,794,""":",OTHER,5.1919,7.4503,8.9755
0,2,12,zero,0,41c34167,8,37,F,9388,"""}",OTHER,5.1358,10.5015,9.3554
0,2,13,zero,0,41c34167,8,37,F,35616,CHECK,CHECK_CALL,4.7895,12.5992,11.7994
0,2,14,zero,0,41c34167,8,37,F,69757,ifferential,OTHER,3.0041,5.6731,6.6587
0,2,15,zero,0,41c34167,8,37,F,330," """,OTHER,8.1203,7.4066,3.2760
0,2,18,zero,0,41c34167,8,37,F,794,""":",OTHER,2.2164,7.0397,8.8131
0,3,12,zero,0,25d11520,7,37,F,92,},OTHER,5.8896,10.9274,9.1458
0,3,13,zero,0,25d11520,7,37,F,35616,CHECK,CHECK_CALL,5.8597,14.0621,12.3105
0,3,14,zero,0,25d11520,7,37,F,5499,icient,OTHER,2.1722,6.3089,8.2448
0,3,15,zero,0,25d11520,7,37,F,330," """,OTHER,10.7511,11.0781,4.4351
0,3,18,zero,0,25d11520,7,37,F,25,:,OTHER,3.2295,7.7657,8.6442
0,4,12,zero,0,5986eec6,5,37,F,92,},OTHER,6.9128,11.3343,10.5277
0,4,13,zero,0,5986eec6,5,37,F,1,"""",OTHER,5.6454,11.4537,11.9144
0,4,14,zero,0,5986eec6,5,37,F,15685,:\/\/,OTHER,4.0589,5.5301,7.5773
0,4,15,zero,0,5986eec6,5,37,F,330," """,OTHER,10.9533,8.1645,3.3173
0,4,18,zero,0,5986eec6,5,37,F,25,:,OTHER,5.1317,6.9524,7.9268
0,5,12,zero,0,87a57361,5,37,F,92,},OTHER,5.2927,11.1640,9.4816
0,5,13,zero,0,87a57361,5,37,F,1,"""",OTHER,4.4192,11.4422,10.6333
0,5,14,zero,0,87a57361,5,37,F,5499,icient,OTHER,2.3996,6.3971,7.6077
0,5,15,zero,0,87a57361,5,37,F,330," """,OTHER,6.2141,6.3486,3.7447
0,5,18,zero,0,87a57361,5,37,F,25,:,OTHER,2.4796,7.4065,8.5371
0,6,12,zero,0,49f405a7,2,37,F,92,},OTHER,4.3586,12.5225,11.2743
0,6,13,zero,0,49f405a7,2,37,F,6,',OTHER,4.4590,12.5837,11.2352
0,6,14,zero,0,49f405a7,2,37,F,53076,ISON,OTHER,2.3672,7.2824,8.0256
0,6,15,zero,0,49f405a7,2,37,F,330," """,OTHER,7.7969,8.5249,3.8384
0,6,18,zero,0,49f405a7,2,37,F,25,:,OTHER,0.7628,7.5317,9.8793
0,7,12,zero,0,e836c2b6,7,37,F,9388,"""}",OTHER,6.8023,10.4147,9.9645
0,7,13,zero,0,e836c2b6,7,37,F,330," """,OTHER,6.8266,9.7565,9.2820
0,7,14,zero,0,e836c2b6,7,37,F,15685,:\/\/,OTHER,4.4900,4.2810,6.1430
0,7,15,zero,0,e836c2b6,7,37,F,330," """,OTHER,9.7788,7.0112,3.5844
0,7,18,zero,0,e836c2b6,7,37,F,794,""":",OTHER,5.6814,6.5887,7.2593
0,8,12,zero,0,acee5aca,7,37,F,330," """,OTHER,3.7708,11.3081,6.9030
0,8,13,zero,0,acee5aca,7,37,F,16675,/B,OTHER,0.9563,10.6949,9.1043
0,8,14,zero,0,acee5aca,7,37,F,35865,istrar,OTHER,-0.6843,5.1118,5.1619
0,8,15,zero,0,acee5aca,7,37,F,330," """,OTHER,4.7724,10.0286,4.6219
0,8,18,zero,0,acee5aca,7,37,F,794,""":",OTHER,-2.6018,6.8656,8.8331
0,9,12,zero,0,030e3470,2,37,F,92,},OTHER,7.0711,10.2280,11.6007
0,9,13,zero,0,030e3470,2,37,F,1,"""",OTHER,7.7202,10.9098,11.6334
0,9,14,zero,0,030e3470,2,37,F,35865,istrar,OTHER,5.1895,4.4827,7.7370
0,9,15,zero,0,030e3470,2,37,F,330," """,OTHER,12.7371,8.3711,4.0778
0,9,18,zero,0,030e3470,2,37,F,25,:,OTHER,5.7812,7.1522,9.8148
0,10,12,zero,0,334920bf,2,37,F,92,},OTHER,3.6597,12.7530,12.3269
0,10,13,zero,0,334920bf,2,37,F,1,"""",OTHER,4.3204,11.7445,10.6577
0,10,14,zero,0,334920bf,2,37,F,69757,ifferential,OTHER,1.2814,6.1656,8.1177
0,10,15,zero,0,334920bf,2,37,F,330," """,OTHER,7.1090,7.6958,3.8204
0,10,18,zero,0,334920bf,2,37,F,25,:,OTHER,0.6468,7.2745,9.8613
0,11,12,zero,0,2c330a79,2,37,F,92,},OTHER,3.6768,10.6625,9.3529
0,11,13,zero,0,2c330a79,2,37,F,37,F,FOLD,2.6453,12.2379,11.9598
