source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,2e8e7caf,2,102d86aa,2,1070,F,1066,B,BET_RAISE,8.1164,26.5043,23.3751
1,0,16,2181c7ce,2,102d86aa,2,1070,F,1066,B,BET_RAISE,9.1176,26.2556,22.1252
2,0,16,a86a2bba,2,102d86aa,2,1070,F,1066,B,BET_RAISE,8.4909,26.6289,23.1252
3,0,16,b89802f0,2,102d86aa,2,1070,F,1066,B,BET_RAISE,9.3675,26.3805,22.0002
4,0,16,bcd6c640,4,102d86aa,2,1070,F,1066,B,BET_RAISE,8.9919,26.2550,22.2502
5,0,16,7a9da27b,4,102d86aa,2,1070,F,1066,B,BET_RAISE,8.1159,26.7539,23.6251
6,0,16,d966fa41,2,102d86aa,2,1070,F,1066,B,BET_RAISE,8.2414,26.3793,23.1251
0,1,16,2e8e7caf,2,b9f907d9,1,1070,F,1066,B,BET_RAISE,7.3683,26.1312,23.0001
1,1,16,2181c7ce,2,b9f907d9,1,1070,F,1066,B,BET_RAISE,8.4941,25.8820,21.6252
2,1,16,a86a2bba,2,b9f907d9,1,1070,F,1066,B,BET_RAISE,7.4941,26.1321,22.8752
3,1,16,b89802f0,2,b9f907d9,1,1070,F,1066,B,BET_RAISE,8.4950,25.8829,21.6252
4,1,16,bcd6c640,4,b9f907d9,1,1070,F,1066,B,BET_RAISE,8.1191,25.7570,21.8752
5,1,16,7a9da27b,4,b9f907d9,1,1070,F,1066,B,BET_RAISE,7.1211,26.2589,23.3751
6,1,16,d966fa41,2,b9f907d9,1,1070,F,1066,B,BET_RAISE,7.6183,26.0062,22.6252
0,2,16,2e8e7caf,2,207ff361,2,1070,F,1066,B,BET_RAISE,7.7428,26.5043,23.3751
1,2,16,2181c7ce,2,207ff361,2,1070,F,1066,B,BET_RAISE,8.8684,26.3799,22.1251
2,2,16,a86a2bba,2,207ff361,2,1070,F,1066,B,BET_RAISE,8.1178,26.6294,23.1252
3,2,16,b89802f0,2,207ff361,2,1070,F,1066,B,BET_RAISE,8.8690,26.3805,22.1251
4,2,16,bcd6c640,4,207ff361,2,1070,F,1066,B,BET_RAISE,8.4934,26.2549,22.3751
5,2,16,7a9da27b,4,207ff361,2,1070,F,1066,B,BET_RAISE,7.8673,26.7539,23.5001
6,2,16,d966fa41,2,207ff361,2,1070,F,1066,B,BET_RAISE,7.8684,26.3799,23.1251
0,3,16,2e8e7caf,2,592aa918,2,1070,F,1066,B,BET_RAISE,7.6123,26.2538,23.2500
1,3,16,2181c7ce,2,592aa918,2,1070,F,1066,B,BET_RAISE,8.9873,26.2539,21.8751
2,3,16,a86a2bba,2,592aa918,2,1070,F,1066,B,BET_RAISE,8.4873,26.3789,22.5001
3,3,16,b89802f0,2,592aa918,2,1070,F,1066,B,BET_RAISE,8.8628,26.1294,21.8751
4,3,16,bcd6c640,4,592aa918,2,1070,F,1066,B,BET_RAISE,8.7373,26.1288,22.0001
5,3,16,7a9da27b,4,592aa918,2,1070,F,1066,B,BET_RAISE,8.3628,26.6293,22.8751
6,3,16,d966fa41,2,592aa918,2,1070,F,1066,B,BET_RAISE,7.8623,26.1288,22.8750
0,4,16,2e8e7caf,2,283a86f2,1,1070,F,1066,B,BET_RAISE,7.3683,26.2562,23.3751
1,4,16,2181c7ce,2,283a86f2,1,1070,F,1066,B,BET_RAISE,8.3691,25.8821,22.0002
2,4,16,a86a2bba,2,283a86f2,1,1070,F,1066,B,BET_RAISE,7.3691,26.1321,23.2502
3,4,16,b89802f0,2,283a86f2,1,1070,F,1066,B,BET_RAISE,8.4941,26.0070,22.0002
4,4,16,bcd6c640,4,283a86f2,1,1070,F,1066,B,BET_RAISE,8.1183,25.8813,22.2502
5,4,16,7a9da27b,4,283a86f2,1,1070,F,1066,B,BET_RAISE,6.9951,26.2579,23.7501
6,4,16,d966fa41,2,283a86f2,1,1070,F,1066,B,BET_RAISE,7.4933,26.0062,23.0001
0,5,16,2e8e7caf,2,19eacc75,1,1070,F,1066,B,BET_RAISE,7.1198,26.1312,23.1251
1,5,16,2181c7ce,2,19eacc75,1,1070,F,1066,B,BET_RAISE,7.9956,25.8820,22.0001
2,5,16,a86a2bba,2,19eacc75,1,1070,F,1066,B,BET_RAISE,7.2448,26.1313,23.0002
3,5,16,b89802f0,2,19eacc75,1,1070,F,1066,B,BET_RAISE,8.1215,25.8829,21.8752
4,5,16,bcd6c640,4,19eacc75,1,1070,F,1066,B,BET_RAISE,7.7456,25.7570,22.1251
5,5,16,7a9da27b,4,19eacc75,1,1070,F,1066,B,BET_RAISE,6.9975,26.2589,23.3751
6,5,16,d966fa41,2,19eacc75,1,1070,F,1066,B,BET_RAISE,7.1206,25.8820,22.8751
0,6,16,2e8e7caf,2,49af524b,7,1070,F,1066,B,BET_RAISE,8.1133,26.3799,22.7501
1,6,16,2181c7ce,2,49af524b,7,1070,F,1066,B,BET_RAISE,9.2389,26.2555,21.5001
2,6,16,a86a2bba,2,49af524b,7,1070,F,1066,B,BET_RAISE,8.7383,26.5049,22.2502
3,6,16,b89802f0,2,49af524b,7,1070,F,1066,B,BET_RAISE,9.3646,26.2563,21.3751
4,6,16,bcd6c640,4,49af524b,7,1070,F,1066,B,BET_RAISE,9.1133,26.1299,21.5001
5,6,16,7a9da27b,4,49af524b,7,1070,F,1066,B,BET_RAISE,8.4889,26.6305,22.6251
6,6,16,d966fa41,2,49af524b,7,1070,F,1066,B,BET_RAISE,8.3633,26.2549,22.3751
0,7,16,2e8e7caf,2,49af524b,5,1070,F,1066,B,BET_RAISE,8.2234,26.1329,23.1251
1,7,16,2181c7ce,2,49af524b,5,1070,F,1066,B,BET_RAISE,9.4734,26.0080,21.7502
2,7,16,a86a2bba,2,49af524b,5,1070,F,1066,B,BET_RAISE,8.7225,26.2571,22.7502
3,7,16,b89802f0,2,49af524b,5,1070,F,1066,B,BET_RAISE,9.5994,26.0090,21.6252
4,7,16,bcd6c640,4,49af524b,5,1070,F,1066,B,BET_RAISE,9.2226,25.8821,21.8752
5,7,16,7a9da27b,4,49af524b,5,1070,F,1066,B,BET_RAISE,8.4756,26.3851,23.1251
6,7,16,d966fa41,2,49af524b,5,1070,F,1066,B,BET_RAISE,8.4725,26.0070,22.7501
0,8,16,2e8e7caf,2,9529648d,1,1070,F,1066,B,BET_RAISE,7.6159,26.1305,22.8751
1,8,16,2181c7ce,2,9529648d,1,1070,F,1066,B,BET_RAISE,8.4934,25.7579,21.6252
2,8,16,a86a2bba,2,9529648d,1,1070,F,1066,B,BET_RAISE,7.6175,26.1321,22.8752
3,8,16,b89802f0,2,9529648d,1,1070,F,1066,B,BET_RAISE,8.6183,25.8829,21.6252
4,8,16,bcd6c640,4,9529648d,1,1070,F,1066,B,BET_RAISE,8.3674,25.7570,21.7502
5,8,16,7a9da27b,4,9529648d,1,1070,F,1066,B,BET_RAISE,7.2444,26.2589,23.3751
6,8,16,d966fa41,2,9529648d,1,1070,F,1066,B,BET_RAISE,7.7416,26.0062,22.6251
0,9,16,2e8e7caf,2,b653cfda,1,1070,F,1066,B,BET_RAISE,7.1183,26.1312,23.2501
1,9,16,2181c7ce,2,b653cfda,1,1070,F,1066,B,BET_RAISE,8.2450,25.8829,21.8752
2,9,16,a86a2bba,2,b653cfda,1,1070,F,1066,B,BET_RAISE,7.2442,26.1321,23.1252
3,9,16,b89802f0,2,b653cfda,1,1070,F,1066,B,BET_RAISE,8.1211,25.8839,22.0001
4,9,16,bcd6c640,4,b653cfda,1,1070,F,1066,B,BET_RAISE,7.9941,25.8820,22.1252
5,9,16,7a9da27b,4,b653cfda,1,1070,F,1066,B,BET_RAISE,6.9972,26.2601,23.5001
6,9,16,d966fa41,2,b653cfda,1,1070,F,1066,B,BET_RAISE,7.2441,25.8820,22.8751
0,10,16,2e8e7caf,2,5c6fc73c,2,1070,F,1066,B,BET_RAISE,8.1152,26.3799,23.1251
1,10,16,2181c7ce,2,5c6fc73c,2,1070,F,1066,B,BET_RAISE,9.3658,26.2556,21.7502
2,10,16,a86a2bba,2,5c6fc73c,2,1070,F,1066,B,BET_RAISE,8.4897,26.5044,22.8752
3,10,16,b89802f0,2,5c6fc73c,2,1070,F,1066,B,BET_RAISE,9.3658,26.3805,21.8752
4,10,16,bcd6c640,4,5c6fc73c,2,1070,F,1066,B,BET_RAISE,8.9908,26.1306,22.0002
5,10,16,7a9da27b,4,5c6fc73c,2,1070,F,1066,B,BET_RAISE,8.2402,26.6299,23.2502
6,10,16,d966fa41,2,5c6fc73c,2,1070,F,1066,B,BET_RAISE,8.3652,26.2549,22.7501
0,11,16,2e8e7caf,2,eec9c3b8,1,1070,F,1066,B,BET_RAISE,7.1183,26.0062,22.8751
1,11,16,2181c7ce,2,eec9c3b8,1,1070,F,1066,B,BET_RAISE,7.9950,25.7579,21.7501
2,11,16,a86a2bba,2,eec9c3b8,1,1070,F,1066,B,BET_RAISE,7.2441,26.0071,22.7502
3,11,16,b89802f0,2,eec9c3b8,1,1070,F,1066,B,BET_RAISE,8.1200,25.7579,21.6252
4,11,16,bcd6c640,4,eec9c3b8,1,1070,F,1066,B,BET_RAISE,7.7441,25.6320,21.8751
5,11,16,7a9da27b,4,eec9c3b8,1,1070,F,1066,B,BET_RAISE,6.9972,26.1351,23.1251
6,11,16,d966fa41,2,eec9c3b8,1,1070,F,1066,B,BET_RAISE,7.1191,25.7570,22.6251
0,12,16,2e8e7caf,2,a307dd17,2,1070,F,1066,B,BET_RAISE,8.1163,26.6293,23.1251
1,12,16,2181c7ce,2,a307dd17,2,1070,F,1066,B,BET_RAISE,8.9925,26.3806,22.0001
2,12,16,a86a2bba,2,a307dd17,2,1070,F,1066,B,BET_RAISE,8.3654,26.7535,23.0002
3,12,16,b89802f0,2,a307dd17,2,1070,F,1066,B,BET_RAISE,9.1169,26.5049,22.0001
4,12,16,bcd6c640,4,a307dd17,2,1070,F,1066,B,BET_RAISE,8.8669,26.3799,22.1251
5,12,16,7a9da27b,4,a307dd17,2,1070,F,1066,B,BET_RAISE,8.1154,26.8785,23.3751
