source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,14930188,1,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,12.7191,27.7529,23.1250
1,0,16,2c21cd51,4,c4d25c72,4,1070,F,1070,F,FOLD,7.7218,26.8806,27.2500
2,0,16,2819e68e,1,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,11.9740,27.5078,23.6250
3,0,16,f4aa3778,4,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,10.2275,26.8864,24.7500
4,0,16,2611db7d,1,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,12.4691,27.8779,23.5000
5,0,16,93e45095,1,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,8.7193,27.1281,26.5000
6,0,16,c8bbf3e7,4,c4d25c72,4,1070,F,7247,CH,CHECK_CALL,10.3450,27.3788,25.1250
0,1,16,14930188,1,67d572d2,1,1070,F,7247,CH,CHECK_CALL,12.9228,27.8763,23.6250
1,1,16,2c21cd51,4,67d572d2,1,1070,F,1070,F,FOLD,8.1740,27.2525,27.7500
2,1,16,2819e68e,1,67d572d2,1,1070,F,7247,CH,CHECK_CALL,12.1758,27.6293,24.1250
3,1,16,f4aa3778,4,67d572d2,1,1070,F,7247,CH,CHECK_CALL,10.4329,27.0114,25.2500
4,1,16,2611db7d,1,67d572d2,1,1070,F,7247,CH,CHECK_CALL,12.6730,28.0015,24.0000
5,1,16,93e45095,1,67d572d2,1,1070,F,7247,CH,CHECK_CALL,9.0485,27.3770,27.0000
6,1,16,c8bbf3e7,4,67d572d2,1,1070,F,7247,CH,CHECK_CALL,10.5496,27.5030,25.6250
0,2,16,14930188,1,02e4985e,4,1070,F,7247,CH,CHECK_CALL,13.0495,27.8776,23.5000
1,2,16,2c21cd51,4,02e4985e,4,1070,F,1070,F,FOLD,8.1763,27.0044,27.5000
2,2,16,2819e68e,1,02e4985e,4,1070,F,7247,CH,CHECK_CALL,12.3038,27.6319,24.0000
3,2,16,f4aa3778,4,02e4985e,4,1070,F,7247,CH,CHECK_CALL,10.5558,27.1339,25.2500
4,2,16,2611db7d,1,02e4985e,4,1070,F,7247,CH,CHECK_CALL,12.9242,28.1273,23.8750
5,2,16,93e45095,1,02e4985e,4,1070,F,7247,CH,CHECK_CALL,9.0500,27.2531,26.8750
6,2,16,c8bbf3e7,4,02e4985e,4,1070,F,7247,CH,CHECK_CALL,10.6749,27.6280,25.6250
0,3,16,14930188,1,f58c8965,1,1070,F,7247,CH,CHECK_CALL,12.9641,27.7516,23.3751
1,3,16,2c21cd51,4,f58c8965,1,1070,F,1070,F,FOLD,8.0911,27.0035,27.5000
2,3,16,2819e68e,1,f58c8965,1,1070,F,7247,CH,CHECK_CALL,12.2173,27.5048,23.8751
3,3,16,f4aa3778,4,f58c8965,1,1070,F,7247,CH,CHECK_CALL,10.6004,26.8878,24.8750
4,3,16,2611db7d,1,f58c8965,1,1070,F,7247,CH,CHECK_CALL,12.7143,27.8768,23.7500
5,3,16,93e45095,1,f58c8965,1,1070,F,7247,CH,CHECK_CALL,8.9650,27.1275,26.7500
6,3,16,c8bbf3e7,4,f58c8965,1,1070,F,7247,CH,CHECK_CALL,10.5919,27.2543,25.2500
0,4,16,14930188,1,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,12.7206,27.6292,23.1250
1,4,16,2c21cd51,4,7b7e4b8b,4,1070,F,1070,F,FOLD,7.8469,26.8806,27.2500
2,4,16,2819e68e,1,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,12.1001,27.5088,23.6250
3,4,16,f4aa3778,4,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,10.3542,26.8878,24.7500
4,4,16,2611db7d,1,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,12.4701,27.8787,23.6250
5,4,16,93e45095,1,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,8.9694,27.1281,26.3750
6,4,16,c8bbf3e7,4,7b7e4b8b,4,1070,F,7247,CH,CHECK_CALL,10.4712,27.3799,25.1250
0,5,16,14930188,1,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,12.8450,27.7537,23.1250
1,5,16,2c21cd51,4,f80f3ccb,4,1070,F,1070,F,FOLD,7.7226,26.8813,27.3750
2,5,16,2819e68e,1,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,12.2241,27.6328,23.6250
3,5,16,f4aa3778,4,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,10.4777,27.0113,24.7500
4,5,16,2611db7d,1,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,12.5946,28.0033,23.6250
5,5,16,93e45095,1,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,8.9694,27.2531,26.5000
6,5,16,c8bbf3e7,4,f80f3ccb,4,1070,F,7247,CH,CHECK_CALL,10.5951,27.5038,25.1250
0,6,16,14930188,1,77b91efe,4,1070,F,7247,CH,CHECK_CALL,12.9247,27.8783,23.3750
1,6,16,2c21cd51,4,77b91efe,4,1070,F,1070,F,FOLD,8.0509,27.1294,27.5000
2,6,16,2819e68e,1,77b91efe,4,1070,F,7247,CH,CHECK_CALL,12.1783,27.7569,24.0000
3,6,16,f4aa3778,4,77b91efe,4,1070,F,7247,CH,CHECK_CALL,10.4315,27.1350,25.1250
4,6,16,2611db7d,1,77b91efe,4,1070,F,7247,CH,CHECK_CALL,12.6740,28.1276,23.8750
5,6,16,93e45095,1,77b91efe,4,1070,F,7247,CH,CHECK_CALL,9.0489,27.3774,26.7500
6,6,16,c8bbf3e7,4,77b91efe,4,1070,F,7247,CH,CHECK_CALL,10.5498,27.6284,25.5000
0,7,16,14930188,1,a5628b82,1,1070,F,7247,CH,CHECK_CALL,12.6946,27.8763,23.6250
1,7,16,2c21cd51,4,a5628b82,1,1070,F,1070,F,FOLD,7.9462,27.1278,27.6250
2,7,16,2819e68e,1,a5628b82,1,1070,F,7247,CH,CHECK_CALL,11.9476,27.6293,24.1250
