source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,c8bbf3e7,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.4874,27.7503,23.7501
1,0,16,b4a07e99,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,5.8626,27.6255,26.2500
2,0,16,58feb24c,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.4875,27.7503,23.7501
3,0,16,101a030f,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.9873,28.0002,23.5001
4,0,16,71177592,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,6.2377,27.6255,25.8751
5,0,16,c8bbf3e7,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,6.3627,27.5006,25.6251
6,0,16,7b7e4b8b,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.9874,27.8753,23.3751
7,0,16,e3e78c75,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,7.6124,28.0003,24.8751
8,0,16,2ce07c7d,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,6.6127,27.7505,25.6251
9,0,16,2c21cd51,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,6.7378,27.3756,25.1251
0,1,16,c8bbf3e7,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.3639,27.8753,23.6251
1,1,16,b4a07e99,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,5.7391,27.7504,26.1251
2,1,16,58feb24c,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.2389,27.7503,23.6251
3,1,16,101a030f,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.7388,28.0002,23.3751
4,1,16,71177592,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,5.9892,27.7505,25.8751
5,1,16,c8bbf3e7,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,6.1143,27.5006,25.5001
6,1,16,7b7e4b8b,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.7389,27.8753,23.2501
7,1,16,e3e78c75,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,7.3639,28.1252,24.8751
8,1,16,2ce07c7d,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,6.3642,27.7505,25.5001
9,1,16,2c21cd51,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,6.4892,27.5005,25.1251
0,2,16,c8bbf3e7,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,9.4836,28.0002,23.0001
1,2,16,b4a07e99,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,6.2339,27.8754,26.1250
2,2,16,58feb24c,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,9.4836,28.0002,23.0001
3,2,16,101a030f,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,9.8586,28.2501,22.8751
4,2,16,71177592,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,6.7339,27.8755,25.6251
5,2,16,c8bbf3e7,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,6.6091,27.5006,25.3751
6,2,16,7b7e4b8b,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,10.3585,28.2502,22.3751
7,2,16,e3e78c75,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,8.3586,28.3752,24.5001
8,2,16,2ce07c7d,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,7.1089,28.0004,25.3751
9,2,16,2c21cd51,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,7.4838,27.7504,24.7501
0,3,16,c8bbf3e7,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,9.7158,27.8752,23.3751
1,3,16,b4a07e99,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,6.7161,27.6256,26.1251
2,3,16,58feb24c,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,9.7158,27.8752,23.3751
3,3,16,101a030f,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,10.0907,28.1251,23.2501
4,3,16,71177592,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,7.2161,27.7506,25.7501
5,3,16,c8bbf3e7,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,7.3413,27.3758,25.2501
6,3,16,7b7e4b8b,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,10.3407,28.0002,22.8751
7,3,16,e3e78c75,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,8.7158,28.1253,24.6251
8,3,16,2ce07c7d,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,7.5911,27.7505,25.3751
9,3,16,2c21cd51,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,7.8411,27.5005,24.8751
0,4,16,c8bbf3e7,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,8.6108,27.7503,23.5001
1,4,16,b4a07e99,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,5.9860,27.7504,26.1250
2,4,16,58feb24c,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,8.7358,27.8753,23.5001
3,4,16,101a030f,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,9.1107,28.1252,23.3751
4,4,16,71177592,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,6.2360,27.7505,25.8751
5,4,16,c8bbf3e7,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,6.4861,27.5006,25.3751
6,4,16,7b7e4b8b,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,9.2357,27.8753,23.0001
7,4,16,e3e78c75,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,7.7357,28.1252,24.7501
8,4,16,2ce07c7d,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,6.6110,27.7504,25.5001
9,4,16,2c21cd51,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,6.8610,27.5005,25.0001
0,5,16,c8bbf3e7,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.4875,27.8753,23.6251
1,5,16,b4a07e99,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,5.7376,27.7504,26.2500
2,5,16,58feb24c,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.4875,27.8753,23.6251
3,5,16,101a030f,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.8624,28.1252,23.5001
4,5,16,71177592,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,6.1127,27.7505,25.8751
5,5,16,c8bbf3e7,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,6.2378,27.5006,25.5001
6,5,16,7b7e4b8b,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.9875,27.8753,23.1251
7,5,16,e3e78c75,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,7.4874,28.1253,24.8751
8,5,16,2ce07c7d,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,6.3627,27.7505,25.6251
9,5,16,2c21cd51,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,6.6127,27.5005,25.1251
0,6,16,c8bbf3e7,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,9.6105,28.1251,23.3751
1,6,16,b4a07e99,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,6.7357,28.0003,26.1251
2,6,16,58feb24c,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,9.7355,28.1251,23.2501
3,6,16,101a030f,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,9.9854,28.3751,23.2501
4,6,16,71177592,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,7.2356,28.0003,25.6251
5,6,16,c8bbf3e7,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,7.2357,27.6254,25.2501
6,6,16,7b7e4b8b,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,10.2354,28.2501,22.8751
7,6,16,e3e78c75,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,8.7355,28.3752,24.5001
8,6,16,2ce07c7d,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,7.6106,28.0003,25.2501
9,6,16,2c21cd51,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,7.7357,27.7503,24.8751
0,7,16,c8bbf3e7,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.3625,27.7503,23.3751
1,7,16,b4a07e99,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,5.6127,27.6255,26.0000
2,7,16,58feb24c,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.3625,27.7503,23.3751
3,7,16,101a030f,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.6124,27.8752,23.2501
4,7,16,71177592,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,5.8628,27.6256,25.7501
5,7,16,c8bbf3e7,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,6.1128,27.3756,25.2501
6,7,16,7b7e4b8b,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.7374,27.7503,23.0001
7,7,16,e3e78c75,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,7.4874,28.1252,24.6251
8,7,16,2ce07c7d,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,6.3627,27.7505,25.3751
9,7,16,2c21cd51,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,6.4877,27.3756,24.8751
0,8,16,c8bbf3e7,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,9.6122,28.1251,23.1251
1,8,16,b4a07e99,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,6.7373,28.0003,25.8750
2,8,16,58feb24c,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,9.6121,28.1251,23.1251
3,8,16,101a030f,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,10.1121,28.3751,22.8751
4,8,16,71177592,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,7.2373,28.0003,25.3751
5,8,16,c8bbf3e7,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,7.3624,27.7503,25.0001
