source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,15,residual,,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,4.4898,26.7513,26.7501,23.1257
1,0,15,residual,,49af524b,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,6.4889,27.8754,25.8751,23.2505
2,0,15,residual,,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,3.2465,26.2580,27.5000,23.5006
3,0,15,residual,,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,3.6157,26.7522,27.6251,22.6262
4,0,15,residual,,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,4.4948,27.0062,27.0000,23.6255
5,0,15,residual,,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,3.3657,26.7522,27.8750,22.6263
6,0,15,residual,,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,3.6155,26.7519,27.6250,23.3758
7,0,15,residual,,10edf7bd,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,6.1169,27.5034,25.8751,23.6255
8,0,15,residual,,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,3.1185,26.2549,27.6250,22.8759
9,0,15,residual,,0a3ee396,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,6.6140,27.8754,25.7501,22.7506
0,0,15,attn,,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,1.4930,25.3795,28.3750,21.7525
1,0,15,attn,,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,2.1167,26.1281,28.5000,22.2514
2,0,15,attn,,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,0.6301,24.7665,28.6250,21.2546
3,0,15,attn,,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,0.9942,25.3806,28.8750,22.1271
4,0,15,attn,,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,0.0051,24.5165,29.0000,20.8808
5,0,15,attn,,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,1.1191,25.5056,28.8750,22.1272
6,0,15,attn,,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,1.2436,25.3800,28.6250,22.7515
7,0,15,attn,,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,0.8765,25.2629,28.8750,21.1291
8,0,15,attn,,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,0.2501,24.5115,28.7500,21.0056
9,0,15,attn,,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,1.4925,25.7539,28.7500,21.7520
0,0,15,mlp,,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,0.6199,25.1313,29.0000,21.8778
1,0,15,mlp,,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,0.4966,25.0080,29.0000,21.6284
2,0,15,mlp,,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,0.6216,25.2580,29.1250,22.6271
3,0,15,mlp,,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,0.3707,24.8821,29.0000,21.5040
4,0,15,mlp,,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,-0.0024,24.6340,29.1250,21.8780
5,0,15,mlp,,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,0.3716,24.8830,29.0000,21.5041
6,0,15,mlp,,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,-0.0024,24.5090,29.0000,21.3797
7,0,15,mlp,,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,0.4957,25.0071,29.0000,22.0025
8,0,15,mlp,,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,-0.0024,24.5090,29.0000,21.3795
9,0,15,mlp,,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,0.2476,24.8840,29.1250,21.5038
0,0,15,head,0,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6289
1,0,15,head,0,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
2,0,15,head,0,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6290
3,0,15,head,0,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.5043
4,0,15,head,0,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.6290
5,0,15,head,0,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6291
6,0,15,head,0,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.5043
7,0,15,head,0,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5043
8,0,15,head,0,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.6290
9,0,15,head,0,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6290
0,0,15,head,1,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
1,0,15,head,1,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.5045
2,0,15,head,1,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5043
3,0,15,head,1,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
4,0,15,head,1,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5043
5,0,15,head,1,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.6290
6,0,15,head,1,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
7,0,15,head,1,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.5046
8,0,15,head,1,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
9,0,15,head,1,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,-0.0013,24.7601,29.2500,21.6288
0,0,15,head,2,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5045
1,0,15,head,2,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.6365,29.2500,21.6289
2,0,15,head,2,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5043
3,0,15,head,2,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.6365,29.2500,21.6290
4,0,15,head,2,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.7614,29.3750,21.6290
5,0,15,head,2,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6290
6,0,15,head,2,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,-0.2485,24.6379,29.3750,21.5044
7,0,15,head,2,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.7614,29.3750,21.6289
8,0,15,head,2,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6290
9,0,15,head,2,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.5045
0,0,15,head,3,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
1,0,15,head,3,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.6364,29.2500,21.5044
2,0,15,head,3,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,0.0000,24.7614,29.2500,21.6290
3,0,15,head,3,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.6364,29.2500,21.5044
4,0,15,head,3,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.6364,29.2500,21.5043
5,0,15,head,3,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.5044
6,0,15,head,3,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.7614,29.3750,21.6290
7,0,15,head,3,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,-0.1235,24.6379,29.2500,21.6288
8,0,15,head,3,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,-0.1250,24.7614,29.3750,21.6290
9,0,15,head,3,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,-0.0000,24.7614,29.2500,21.6290
