source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,16,residual,,b3c594b5,2,207ff361,2,1070,F,7247,CH,CHECK_CALL,8.3637,27.6252,23.7501,22.1257
1,0,16,residual,,49af524b,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,9.1136,28.1251,23.5001,22.6256
2,0,16,residual,,0a3ee396,4,207ff361,2,1070,F,7247,CH,CHECK_CALL,7.6196,27.1312,24.0001,23.7506
3,0,16,residual,,5db85f5e,2,207ff361,2,1070,F,7247,CH,CHECK_CALL,6.6138,28.0003,25.8751,21.6266
4,0,16,residual,,5fd9af8f,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,9.5011,27.3877,22.3752,23.6255
5,0,16,residual,,39e14634,2,207ff361,2,1070,F,7247,CH,CHECK_CALL,5.6140,27.8754,26.7501,21.6268
6,0,16,residual,,d8ee7de6,2,207ff361,2,1070,F,7247,CH,CHECK_CALL,6.2388,28.0003,26.2501,22.3760
7,0,16,residual,,10edf7bd,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,10.2472,27.6338,21.8752,23.1256
8,0,16,residual,,49af524b,4,207ff361,2,1070,F,7247,CH,CHECK_CALL,5.6148,27.2512,26.1251,22.8758
9,0,16,residual,,0a3ee396,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,9.2387,28.1251,23.3751,21.7508
0,0,16,attn,,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,3.1158,27.0022,28.3750,21.1277
1,0,16,attn,,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,2.6166,26.8781,28.7500,21.3779
2,0,16,attn,,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,3.7689,26.7803,27.5000,22.5016
3,0,16,attn,,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,1.8671,26.3785,29.0000,21.1286
4,0,16,attn,,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,3.6404,26.9018,27.7500,22.0031
5,0,16,attn,,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,1.2435,26.0049,29.2500,21.0045
6,0,16,attn,,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,2.1175,26.5039,28.8750,21.1280
7,0,16,attn,,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,3.6762,26.6876,27.5000,21.5046
8,0,16,attn,,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,3.1160,27.0025,28.3750,20.8790
9,0,16,attn,,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,2.2417,26.7531,29.0000,21.1288
0,0,16,mlp,,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,1.6179,26.0043,28.8750,23.0014
1,0,16,mlp,,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,1.3698,25.8812,29.0000,23.1266
2,0,16,mlp,,0a3ee396,4,207ff361,2,1070,F,1070,F,FOLD,1.6166,26.1280,29.0000,23.3762
3,0,16,mlp,,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,1.2448,25.7562,29.0000,22.8769
4,0,16,mlp,,5fd9af8f,1,207ff361,2,1070,F,1070,F,FOLD,0.9941,25.5055,29.0000,22.7519
5,0,16,mlp,,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,1.2456,25.6320,28.8750,22.6274
6,0,16,mlp,,d8ee7de6,2,207ff361,2,1070,F,1070,F,FOLD,1.3691,25.7555,28.8750,23.0019
7,0,16,mlp,,10edf7bd,1,207ff361,2,1070,F,1070,F,FOLD,1.2435,25.7549,29.0000,23.0016
8,0,16,mlp,,49af524b,4,207ff361,2,1070,F,1070,F,FOLD,1.4929,25.8793,28.8750,22.8769
9,0,16,mlp,,0a3ee396,1,207ff361,2,1070,F,1070,F,FOLD,1.6198,26.0062,28.8750,23.1266
0,0,16,head_subset,9+15+22+24+30+31,b3c594b5,2,207ff361,2,1070,F,1070,F,FOLD,4.4894,27.7508,27.7500,21.5020
1,0,16,head_subset,9+15+22+24+30+31,49af524b,1,207ff361,2,1070,F,1070,F,FOLD,4.1147,27.5012,27.8750,22.8759
2,0,16,head_subset,9+15+22+24+30+31,0a3ee396,4,207ff361,2,1070,F,7247,CH,CHECK_CALL,4.6179,27.3794,27.2501,23.8757
3,0,16,head_subset,9+15+22+24+30+31,5db85f5e,2,207ff361,2,1070,F,1070,F,FOLD,3.6147,27.3761,28.2500,21.8767
4,0,16,head_subset,9+15+22+24+30+31,5fd9af8f,1,207ff361,2,1070,F,7247,CH,CHECK_CALL,4.8691,27.3806,27.0001,24.1257
5,0,16,head_subset,9+15+22+24+30+31,39e14634,2,207ff361,2,1070,F,1070,F,FOLD,3.4900,27.2514,28.2500,21.8768
