source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,8,2809cf20,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1250,24.3000,25.1250
1,0,8,871844af,2,2e8678e8,3,1070,F,1070,F,FOLD,0.1251,24.3001,25.1250
2,0,8,3253a8f5,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1250,24.3000,25.1250
3,0,8,458e47c3,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0000,24.3000,25.2500
4,0,8,65de9033,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1250,24.3000,25.1250
5,0,8,49c4acd6,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0000,24.3000,25.2500
6,0,8,19746ecd,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0135,24.1886,25.1250
7,0,8,11092d53,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1250,24.3000,25.1250
8,0,8,c68b67d8,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0000,24.3000,25.2500
9,0,8,eac492ba,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0001,24.3001,25.2500
0,0,10,2809cf20,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.0001,24.2999,25.2500
1,0,10,871844af,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.0000,24.3000,25.2500
2,0,10,3253a8f5,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1186,24.1814,25.2500
3,0,10,458e47c3,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0000,24.3000,25.2500
4,0,10,65de9033,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1185,24.1815,25.2500
5,0,10,49c4acd6,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1187,24.3063,25.3750
6,0,10,19746ecd,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0064,24.1814,25.1250
7,0,10,11092d53,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0064,24.1814,25.1250
8,0,10,c68b67d8,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1185,24.1815,25.2500
9,0,10,eac492ba,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0063,24.3063,25.2500
0,0,12,2809cf20,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1115,24.0635,25.1250
1,0,12,871844af,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1115,24.1885,25.2500
2,0,12,3253a8f5,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1115,24.0635,25.1250
3,0,12,458e47c3,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1115,24.1885,25.2500
4,0,12,65de9033,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1034,23.9466,25.0000
5,0,12,49c4acd6,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.2283,24.0717,25.2500
6,0,12,19746ecd,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1186,24.0564,25.1250
7,0,12,11092d53,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1115,24.0635,25.1250
8,0,12,c68b67d8,1,2e8678e8,3,1070,F,1070,F,FOLD,-0.1114,24.0636,25.1250
9,0,12,eac492ba,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.2284,24.0716,25.2500
0,0,14,2809cf20,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0134,24.3135,25.2500
1,0,14,871844af,2,2e8678e8,3,1070,F,1070,F,FOLD,0.0134,24.5634,25.5000
2,0,14,3253a8f5,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1313,24.4313,25.2500
3,0,14,458e47c3,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1036,24.4464,25.5000
4,0,14,65de9033,1,2e8678e8,3,1070,F,1070,F,FOLD,0.0134,24.3135,25.2500
5,0,14,49c4acd6,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1036,24.4464,25.5000
6,0,14,19746ecd,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1313,24.4313,25.2500
7,0,14,11092d53,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1312,24.4312,25.2500
8,0,14,c68b67d8,1,2e8678e8,3,1070,F,1070,F,FOLD,0.1312,24.4313,25.2500
9,0,14,eac492ba,2,2e8678e8,3,1070,F,1070,F,FOLD,-0.1036,24.4464,25.5000
0,0,16,2809cf20,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,0.5133,24.4383,24.8750
1,0,16,871844af,2,2e8678e8,3,1070,F,7247,CH,CHECK_CALL,1.2118,25.6368,25.3750
2,0,16,3253a8f5,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,1.1311,24.6811,24.5000
3,0,16,458e47c3,2,2e8678e8,3,1070,F,1070,F,FOLD,0.9633,25.6384,25.6250
4,0,16,65de9033,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,0.3964,24.4464,25.0000
5,0,16,49c4acd6,2,2e8678e8,3,1070,F,1070,F,FOLD,0.8420,25.3920,25.5000
6,0,16,19746ecd,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,0.8882,24.6882,24.7500
7,0,16,11092d53,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,0.7633,24.5633,24.7500
8,0,16,c68b67d8,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,0.8811,24.6812,24.7500
9,0,16,eac492ba,2,2e8678e8,3,1070,F,1070,F,FOLD,0.8384,25.5134,25.6250
0,0,18,2809cf20,1,2e8678e8,3,1070,F,1066,B,BET_RAISE,1.2440,24.6690,24.3750
1,0,18,871844af,2,2e8678e8,3,1070,F,7247,CH,CHECK_CALL,1.5844,25.7594,25.1250
