source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,7700eb4a,4,49af524b,2,7247,CH,1070,F,FOLD,-9.9944,26.6305,28.6250
1,0,16,592aa918,4,49af524b,2,7247,CH,1070,F,FOLD,-10.6149,26.1351,28.7500
2,0,16,926b7b87,1,49af524b,2,7247,CH,1070,F,FOLD,-9.6201,27.0048,28.6250
3,0,16,735cf870,1,49af524b,2,7247,CH,1070,F,FOLD,-9.8688,26.7562,28.6250
4,0,16,6119106c,1,49af524b,2,7247,CH,1070,F,FOLD,-9.6201,27.0049,28.6250
5,0,16,94d6358b,4,49af524b,2,7247,CH,1070,F,FOLD,-10.2445,26.7555,29.0000
6,0,16,4dd75087,4,49af524b,2,7247,CH,1070,F,FOLD,-9.6188,26.7562,28.3750
7,0,16,606cd446,1,49af524b,2,7247,CH,1070,F,FOLD,-9.9945,26.7555,28.7500
8,0,16,2f52fd5d,4,49af524b,2,7247,CH,1070,F,FOLD,-9.8695,26.7555,28.6250
9,0,16,c7dfe058,1,49af524b,2,7247,CH,1070,F,FOLD,-9.9938,26.8812,28.8750
0,1,16,7700eb4a,4,49af524b,1,7247,CH,1070,F,FOLD,-10.7430,26.2569,28.6250
1,1,16,592aa918,4,49af524b,1,7247,CH,1070,F,FOLD,-11.2371,25.7628,28.6250
2,1,16,926b7b87,1,49af524b,1,7247,CH,1070,F,FOLD,-9.9930,26.7569,28.3750
3,1,16,735cf870,1,49af524b,1,7247,CH,1070,F,FOLD,-10.3671,26.5078,28.5000
4,1,16,6119106c,1,49af524b,1,7247,CH,1070,F,FOLD,-10.1171,26.7578,28.5000
5,1,16,94d6358b,4,49af524b,1,7247,CH,1070,F,FOLD,-10.8680,26.3819,28.8750
6,1,16,4dd75087,4,49af524b,1,7247,CH,1070,F,FOLD,-10.2429,26.5070,28.3750
7,1,16,606cd446,1,49af524b,1,7247,CH,1070,F,FOLD,-10.4930,26.5069,28.6250
8,1,16,2f52fd5d,4,49af524b,1,7247,CH,1070,F,FOLD,-10.6179,26.3820,28.6250
9,1,16,c7dfe058,1,49af524b,1,7247,CH,1070,F,FOLD,-10.3680,26.7569,28.7500
