source_idx,target_idx,layer,component_mode,head_idx,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD,patched_GROUP_BET_RAISE
0,0,16,residual,,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,1.9918,24.7603,26.8750,24.2512
1,0,16,residual,,be0bfc4b,2,09011b3d,1,1070,F,7247,CH,CHECK_CALL,6.2321,27.5007,25.3751,22.6257
2,0,16,residual,,59aa4dbf,1,09011b3d,1,1070,F,7247,CH,CHECK_CALL,8.2318,27.6254,23.5001,22.8756
3,0,16,residual,,6c8c0ec5,2,09011b3d,1,1070,F,7247,CH,CHECK_CALL,6.4819,27.7504,25.3751,21.8761
4,0,16,residual,,3d9293c5,2,09011b3d,1,1070,F,7247,CH,CHECK_CALL,5.6071,27.5006,26.0001,22.2512
5,0,16,residual,,29d5f569,1,09011b3d,1,1070,F,7247,CH,CHECK_CALL,4.4904,26.5089,26.1250,21.5030
6,0,16,residual,,ce144861,1,09011b3d,1,1070,F,7247,CH,CHECK_CALL,8.3568,27.7504,23.5001,22.8756
7,0,16,residual,,be0bfc4b,1,09011b3d,1,1070,F,7247,CH,CHECK_CALL,8.9816,28.0002,23.1251,21.5012
8,0,16,residual,,7de89d78,2,09011b3d,1,1070,F,7247,CH,CHECK_CALL,6.8569,27.6255,24.8751,21.5018
9,0,16,residual,,2b40f56b,1,09011b3d,1,1070,F,7247,CH,CHECK_CALL,8.2318,27.5004,23.3751,23.0006
0,0,16,attn,,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,1.2501,25.3937,28.2500,24.5013
1,0,16,attn,,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,2.6135,26.6320,28.1250,21.2528
2,0,16,attn,,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,2.9877,27.0062,28.1250,21.3780
3,0,16,attn,,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,2.1144,26.5079,28.5000,21.2532
4,0,16,attn,,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,1.4904,26.1340,28.7500,21.3782
5,0,16,attn,,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,1.0117,25.5302,28.6250,21.1292
6,0,16,attn,,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,2.7394,26.8829,28.2500,21.5029
7,0,16,attn,,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,2.6144,26.8829,28.3750,21.3784
8,0,16,attn,,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,2.2394,26.5079,28.3750,21.1289
9,0,16,attn,,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,2.9877,27.0062,28.1250,21.3782
0,0,16,mlp,,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.1308,25.1378,29.3750,21.1289
1,0,16,mlp,,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,1.1165,25.8850,28.8750,21.3789
2,0,16,mlp,,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,1.3678,26.1363,28.8750,22.1276
3,0,16,mlp,,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,1.1178,25.8863,28.8750,21.8781
4,0,16,mlp,,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.9928,25.7613,28.8750,21.8779
5,0,16,mlp,,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.9943,25.5128,28.6250,20.8808
6,0,16,mlp,,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,1.1192,26.0127,29.0000,22.0030
7,0,16,mlp,,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,1.2442,26.1377,29.0000,22.0028
8,0,16,mlp,,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,1.2415,26.0100,28.8750,22.1278
9,0,16,mlp,,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,1.3692,26.1377,28.8750,22.0030
0,0,16,head,0,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3795
1,0,16,head,0,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3793
2,0,16,head,0,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.5041
3,0,16,head,0,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0021,25.2664,29.3750,21.5038
4,0,16,head,0,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.5037
5,0,16,head,0,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,-0.2500,25.0185,29.3750,21.3792
6,0,16,head,0,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3794
7,0,16,head,0,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.5037
8,0,16,head,0,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5040
9,0,16,head,0,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1250,25.1435,29.3750,21.3793
0,0,16,head,1,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.6286
1,0,16,head,1,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.5038
2,0,16,head,1,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.5038
3,0,16,head,1,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3792
4,0,16,head,1,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3791
5,0,16,head,1,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5038
6,0,16,head,1,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3792
7,0,16,head,1,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3792
8,0,16,head,1,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3792
9,0,16,head,1,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.5038
0,0,16,head,2,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.6282
1,0,16,head,2,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.3710,25.3895,29.1250,21.7531
2,0,16,head,2,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.2478,25.3914,29.2500,21.6284
3,0,16,head,2,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5038
4,0,16,head,2,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.2479,25.2664,29.1250,21.5039
5,0,16,head,2,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.1210,25.2645,29.2500,21.5035
6,0,16,head,2,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.2478,25.3914,29.2500,21.6285
7,0,16,head,2,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.3728,25.3914,29.1250,21.6286
8,0,16,head,2,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.2479,25.2664,29.1250,21.6286
9,0,16,head,2,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.2478,25.3913,29.2500,21.6286
0,0,16,head,3,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.3791
1,0,16,head,3,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3790
2,0,16,head,3,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3789
3,0,16,head,3,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3790
4,0,16,head,3,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3791
5,0,16,head,3,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3792
6,0,16,head,3,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3790
7,0,16,head,3,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3791
8,0,16,head,3,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3791
9,0,16,head,3,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.0000,25.1435,29.2500,21.3791
0,0,16,head,4,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.0024,25.0210,29.1250,21.6291
1,0,16,head,4,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.1435,29.1250,21.3792
2,0,16,head,4,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.1435,29.1250,21.5038
3,0,16,head,4,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,0.2479,25.2664,29.1250,21.5040
4,0,16,head,4,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5038
5,0,16,head,4,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.1274,25.1459,29.1250,21.5039
6,0,16,head,4,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.1435,29.1250,21.5038
7,0,16,head,4,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5039
8,0,16,head,4,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.2479,25.2664,29.1250,21.5041
9,0,16,head,4,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.1435,29.1250,21.5037
0,0,16,head,5,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.5039
1,0,16,head,5,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.0024,25.1459,29.2500,21.6285
2,0,16,head,5,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.6286
3,0,16,head,5,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,0.0024,25.1459,29.2500,21.6286
4,0,16,head,5,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.0024,25.1459,29.2500,21.5039
5,0,16,head,5,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.3789
6,0,16,head,5,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.6286
7,0,16,head,5,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.6287
8,0,16,head,5,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5040
9,0,16,head,5,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.6285
0,0,16,head,6,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.1435,29.1250,21.6289
1,0,16,head,6,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5038
2,0,16,head,6,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5037
3,0,16,head,6,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5039
4,0,16,head,6,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.2524,25.2709,29.1250,21.5039
5,0,16,head,6,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.1250,25.2685,29.2500,21.5043
6,0,16,head,6,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5036
7,0,16,head,6,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5038
8,0,16,head,6,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.2524,25.2709,29.1250,21.5039
9,0,16,head,6,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.2500,25.2685,29.1250,21.5037
0,0,16,head,7,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.1414,29.1250,21.3792
1,0,16,head,7,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.3789
2,0,16,head,7,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.5036
3,0,16,head,7,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.6284
4,0,16,head,7,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.6283
5,0,16,head,7,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1250,25.0185,29.2500,21.2542
6,0,16,head,7,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.5037
7,0,16,head,7,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.1210,25.2645,29.2500,21.6283
8,0,16,head,7,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.2645,29.3750,21.6283
9,0,16,head,7,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.2443,25.3878,29.2500,21.5036
0,0,16,head,8,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0021,25.1414,29.2500,21.3789
1,0,16,head,8,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,-0.1250,25.0185,29.2500,21.2546
2,0,16,head,8,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1226,25.0209,29.2500,21.3790
3,0,16,head,8,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3791
4,0,16,head,8,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3790
5,0,16,head,8,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3791
6,0,16,head,8,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1226,25.0209,29.2500,21.2546
7,0,16,head,8,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1226,25.0209,29.2500,21.3793
8,0,16,head,8,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0000,25.1435,29.2500,21.3791
9,0,16,head,8,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,-0.1226,25.0209,29.2500,21.2545
0,0,16,head,9,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,0.3729,25.3914,29.1250,21.7532
1,0,16,head,9,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,0.4978,25.5164,29.1250,21.7532
2,0,16,head,9,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.6209,25.6395,29.1250,21.8780
3,0,16,head,9,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,0.6193,25.6378,29.1250,21.6285
4,0,16,head,9,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,0.4978,25.5164,29.1250,21.6285
5,0,16,head,9,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.4979,25.5164,29.1250,21.6287
6,0,16,head,9,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.4960,25.5145,29.1250,21.7532
7,0,16,head,9,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.6209,25.6395,29.1250,21.7532
8,0,16,head,9,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,0.4960,25.5145,29.1250,21.7531
9,0,16,head,9,2b40f56b,1,09011b3d,1,1070,F,1070,F,FOLD,0.6210,25.6395,29.1250,21.8779
0,0,16,head,10,75a732e5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.1271,25.0164,29.2500,21.3792
1,0,16,head,10,be0bfc4b,2,09011b3d,1,1070,F,1070,F,FOLD,-0.2540,25.0145,29.3750,21.2543
2,0,16,head,10,59aa4dbf,1,09011b3d,1,1070,F,1070,F,FOLD,0.1229,25.2664,29.2500,21.5038
3,0,16,head,10,6c8c0ec5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0021,25.1414,29.2500,21.2546
4,0,16,head,10,3d9293c5,2,09011b3d,1,1070,F,1070,F,FOLD,-0.1290,25.1395,29.3750,21.3791
5,0,16,head,10,29d5f569,1,09011b3d,1,1070,F,1070,F,FOLD,0.3750,25.3935,29.1250,21.8781
6,0,16,head,10,ce144861,1,09011b3d,1,1070,F,1070,F,FOLD,0.2460,25.3895,29.2500,21.5040
7,0,16,head,10,be0bfc4b,1,09011b3d,1,1070,F,1070,F,FOLD,0.2460,25.3895,29.2500,21.5038
8,0,16,head,10,7de89d78,2,09011b3d,1,1070,F,1070,F,FOLD,-0.0040,25.1395,29.2500,21.2544
