source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,1478a6ae,2,04058f4b,2,1070,F,7247,CH,CHECK_CALL,8.3637,27.6252,23.8751
1,0,16,2c21cd51,1,04058f4b,2,1070,F,7247,CH,CHECK_CALL,9.1137,28.1251,23.6251
2,0,16,c8bbf3e7,4,04058f4b,2,1070,F,7247,CH,CHECK_CALL,7.7439,27.2555,24.1251
3,0,16,71177592,2,04058f4b,2,1070,F,7247,CH,CHECK_CALL,6.6138,28.0003,26.0001
4,0,16,2819e68e,1,04058f4b,2,1070,F,7247,CH,CHECK_CALL,9.7484,27.5099,22.3752
5,0,16,e5edcc03,2,04058f4b,2,1070,F,7247,CH,CHECK_CALL,5.6141,27.8755,26.8751
6,0,16,b4a07e99,2,04058f4b,2,1070,F,7247,CH,CHECK_CALL,6.3639,28.0003,26.2501
7,0,16,2611db7d,1,04058f4b,2,1070,F,7247,CH,CHECK_CALL,10.2472,27.6338,22.0002
8,0,16,2c21cd51,4,04058f4b,2,1070,F,7247,CH,CHECK_CALL,5.8648,27.2512,26.0001
9,0,16,c8bbf3e7,1,04058f4b,2,1070,F,7247,CH,CHECK_CALL,9.2387,28.1251,23.5001
0,1,16,1478a6ae,2,bf115a43,2,1070,F,7247,CH,CHECK_CALL,8.3587,27.6252,23.8751
1,1,16,2c21cd51,1,bf115a43,2,1070,F,7247,CH,CHECK_CALL,9.3586,28.1251,23.3751
2,1,16,c8bbf3e7,4,bf115a43,2,1070,F,7247,CH,CHECK_CALL,8.2396,27.2562,23.6251
3,1,16,71177592,2,bf115a43,2,1070,F,7247,CH,CHECK_CALL,7.2337,28.1253,25.5001
4,1,16,2819e68e,1,bf115a43,2,1070,F,7247,CH,CHECK_CALL,10.2433,27.5100,21.8752
5,1,16,e5edcc03,2,bf115a43,2,1070,F,7247,CH,CHECK_CALL,6.1089,28.0004,26.5000
6,1,16,b4a07e99,2,bf115a43,2,1070,F,7247,CH,CHECK_CALL,6.7338,28.0003,25.8750
7,1,16,2611db7d,1,bf115a43,2,1070,F,7247,CH,CHECK_CALL,10.4895,27.7561,21.8751
8,1,16,2c21cd51,4,bf115a43,2,1070,F,7247,CH,CHECK_CALL,6.1098,27.2514,25.7501
9,1,16,c8bbf3e7,1,bf115a43,2,1070,F,7247,CH,CHECK_CALL,9.4836,28.1251,23.2501
0,2,16,1478a6ae,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,7.7375,27.3753,24.1251
1,2,16,2c21cd51,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.4875,27.7503,23.7501
2,2,16,c8bbf3e7,4,db2072cf,1,1070,F,7247,CH,CHECK_CALL,7.1306,26.7685,24.1251
3,2,16,71177592,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,6.2377,27.6255,25.8751
4,2,16,2819e68e,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,9.1504,26.9134,22.2502
5,2,16,e5edcc03,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,5.2380,27.5008,26.7501
6,2,16,b4a07e99,2,db2072cf,1,1070,F,7247,CH,CHECK_CALL,5.8626,27.6255,26.2500
7,2,16,2611db7d,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,9.9003,27.0383,21.6252
8,2,16,2c21cd51,4,db2072cf,1,1070,F,7247,CH,CHECK_CALL,5.3652,27.0030,26.1251
9,2,16,c8bbf3e7,1,db2072cf,1,1070,F,7247,CH,CHECK_CALL,8.4874,27.7503,23.7501
0,3,16,1478a6ae,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,7.4889,27.5003,24.1251
1,3,16,2c21cd51,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.2389,27.8753,23.7501
2,3,16,c8bbf3e7,4,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,7.0095,26.7709,23.8751
3,3,16,71177592,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,5.9892,27.7505,25.8751
4,3,16,2819e68e,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,9.1474,27.0339,22.0002
5,3,16,e5edcc03,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,4.9894,27.6257,26.7501
6,3,16,b4a07e99,2,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,5.7391,27.7504,26.1251
7,3,16,2611db7d,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,9.6474,27.1589,21.6252
8,3,16,2c21cd51,4,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,4.9917,27.0030,26.1250
9,3,16,c8bbf3e7,1,9a4eeeb3,1,1070,F,7247,CH,CHECK_CALL,8.3639,27.8753,23.6251
0,4,16,1478a6ae,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,8.3587,27.5003,23.6251
1,4,16,2c21cd51,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,9.3586,28.0002,23.1251
2,4,16,c8bbf3e7,4,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,7.8340,26.6006,23.2501
3,4,16,71177592,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,6.7339,27.8755,25.6251
4,4,16,2819e68e,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,10.0838,26.9755,21.3752
5,4,16,e5edcc03,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,5.3593,27.7509,26.8750
6,4,16,b4a07e99,2,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,6.2339,27.8754,26.1250
7,4,16,2611db7d,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,10.7883,27.0550,20.7502
8,4,16,2c21cd51,4,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,5.6127,27.0043,25.8751
9,4,16,c8bbf3e7,1,2c21cd51,7,1070,F,7247,CH,CHECK_CALL,9.4836,28.0002,23.0001
0,5,16,1478a6ae,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,8.8409,27.2503,23.6251
1,5,16,2c21cd51,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,9.5908,27.8752,23.5001
2,5,16,c8bbf3e7,4,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,8.1262,26.4107,23.5001
3,5,16,71177592,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,7.2161,27.7506,25.7501
4,5,16,2819e68e,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,10.5010,26.7856,21.5003
5,5,16,e5edcc03,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,5.9665,27.6259,26.8750
6,5,16,b4a07e99,2,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,6.7161,27.6256,26.1251
7,5,16,2611db7d,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,11.0927,26.8773,21.0003
8,5,16,2c21cd51,4,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,6.3454,26.8798,25.7501
9,5,16,c8bbf3e7,1,2c21cd51,5,1070,F,7247,CH,CHECK_CALL,9.7158,27.8752,23.3751
0,6,16,1478a6ae,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,7.9858,27.5003,23.8751
1,6,16,2c21cd51,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,8.7358,27.8753,23.5001
2,6,16,c8bbf3e7,4,6b19857b,1,1070,F,7247,CH,CHECK_CALL,7.5018,26.8913,23.7501
3,6,16,71177592,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,6.2360,27.7505,25.8751
4,6,16,2819e68e,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,9.5193,27.0339,21.8752
5,6,16,e5edcc03,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,5.2363,27.6257,26.7500
6,6,16,b4a07e99,2,6b19857b,1,1070,F,7247,CH,CHECK_CALL,5.9860,27.7504,26.1250
7,6,16,2611db7d,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,10.1442,27.1589,21.3752
8,6,16,2c21cd51,4,6b19857b,1,1070,F,7247,CH,CHECK_CALL,5.3636,27.0030,26.0001
9,6,16,c8bbf3e7,1,6b19857b,1,1070,F,7247,CH,CHECK_CALL,8.6108,27.7503,23.5001
0,7,16,1478a6ae,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,7.6125,27.5003,24.1251
1,7,16,2c21cd51,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.3625,27.8753,23.7501
2,7,16,c8bbf3e7,4,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,7.2556,26.8934,23.8751
3,7,16,71177592,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,6.1127,27.7505,25.8751
4,7,16,2819e68e,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,9.1421,27.0300,22.1252
5,7,16,e5edcc03,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,4.9879,27.6257,26.8750
6,7,16,b4a07e99,2,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,5.7376,27.7504,26.2500
7,7,16,2611db7d,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,9.7709,27.1589,21.6252
8,7,16,2c21cd51,4,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,5.1156,27.0034,26.1250
9,7,16,c8bbf3e7,1,b05bb2b8,1,1070,F,7247,CH,CHECK_CALL,8.4875,27.8753,23.6251
0,8,16,1478a6ae,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,8.7355,27.6252,23.7501
1,8,16,2c21cd51,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,9.6105,28.1251,23.3751
2,8,16,c8bbf3e7,4,9a0def85,2,1070,F,7247,CH,CHECK_CALL,8.2431,27.1329,23.7502
3,8,16,71177592,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,7.2356,28.0003,25.6251
4,8,16,2819e68e,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,10.1265,27.2663,22.0002
5,8,16,e5edcc03,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,5.9858,27.8755,26.7501
6,8,16,b4a07e99,2,9a0def85,2,1070,F,7247,CH,CHECK_CALL,6.7357,28.0003,26.1251
7,8,16,2611db7d,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,10.6215,27.5112,21.7502
8,8,16,2c21cd51,4,9a0def85,2,1070,F,7247,CH,CHECK_CALL,6.2369,27.2515,25.8751
9,8,16,c8bbf3e7,1,9a0def85,2,1070,F,7247,CH,CHECK_CALL,9.6105,28.1251,23.3751
0,9,16,1478a6ae,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,7.4875,27.3753,23.8751
1,9,16,2c21cd51,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.2375,27.6254,23.3751
2,9,16,c8bbf3e7,4,bdf70500,1,1070,F,7247,CH,CHECK_CALL,7.1330,26.7709,23.6251
3,9,16,71177592,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,5.8628,27.6256,25.7501
4,9,16,2819e68e,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,9.1504,26.9134,21.7502
5,9,16,e5edcc03,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,4.9879,27.6257,26.6250
6,9,16,b4a07e99,2,bdf70500,1,1070,F,7247,CH,CHECK_CALL,5.6127,27.6255,26.0000
7,9,16,2611db7d,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,9.6503,27.0383,21.3752
8,9,16,2c21cd51,4,bdf70500,1,1070,F,7247,CH,CHECK_CALL,4.8660,26.8788,26.0000
9,9,16,c8bbf3e7,1,bdf70500,1,1070,F,7247,CH,CHECK_CALL,8.3625,27.7503,23.3751
0,10,16,1478a6ae,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,8.8622,27.6252,23.3751
1,10,16,2c21cd51,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,9.6121,28.1251,23.1251
2,10,16,c8bbf3e7,4,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,7.9931,27.2561,23.8751
3,10,16,71177592,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,7.2373,28.0003,25.3751
4,10,16,2819e68e,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,9.9982,27.3863,22.0002
5,10,16,e5edcc03,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,6.1125,28.0004,26.5001
6,10,16,b4a07e99,2,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,6.7373,28.0003,25.8750
7,10,16,2611db7d,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,10.4938,27.6319,21.7501
8,10,16,2c21cd51,4,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,6.2381,27.3761,25.7501
9,10,16,c8bbf3e7,1,c04ef18b,2,1070,F,7247,CH,CHECK_CALL,9.6122,28.1251,23.1251
0,11,16,1478a6ae,2,05484cb3,2,1070,F,7247,CH,CHECK_CALL,8.9836,27.5002,23.5001
1,11,16,2c21cd51,1,05484cb3,2,1070,F,7247,CH,CHECK_CALL,9.9836,28.0001,23.0001
2,11,16,c8bbf3e7,4,05484cb3,2,1070,F,7247,CH,CHECK_CALL,8.3653,27.1319,23.7501
3,11,16,71177592,2,05484cb3,2,1070,F,7247,CH,CHECK_CALL,7.6087,27.8753,25.2501
4,11,16,2819e68e,1,05484cb3,2,1070,F,7247,CH,CHECK_CALL,10.2477,27.2644,22.0002
5,11,16,e5edcc03,2,05484cb3,2,1070,F,7247,CH,CHECK_CALL,6.4839,27.8754,26.3751
6,11,16,b4a07e99,2,05484cb3,2,1070,F,7247,CH,CHECK_CALL,7.1088,27.8753,25.7501
7,11,16,2611db7d,1,05484cb3,2,1070,F,7247,CH,CHECK_CALL,10.7421,27.5088,21.7502
8,11,16,2c21cd51,4,05484cb3,2,1070,F,7247,CH,CHECK_CALL,6.4848,27.1264,25.6251
9,11,16,c8bbf3e7,1,05484cb3,2,1070,F,7247,CH,CHECK_CALL,9.8586,28.0001,23.1251
0,12,16,1478a6ae,2,02976b6c,1,1070,F,7247,CH,CHECK_CALL,7.1124,27.5003,24.0001
1,12,16,2c21cd51,1,02976b6c,1,1070,F,7247,CH,CHECK_CALL,8.1124,27.8752,23.3751
2,12,16,c8bbf3e7,4,02976b6c,1,1070,F,7247,CH,CHECK_CALL,6.8785,26.8913,23.6251
3,12,16,71177592,2,02976b6c,1,1070,F,7247,CH,CHECK_CALL,5.9875,27.8753,25.5001
