source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,7700eb4a,4,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.3750,27.7501,20.1252
1,0,12,592aa918,4,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.3750,27.6252,20.0002
2,0,12,926b7b87,1,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7502,20.0002
3,0,12,735cf870,1,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7502,20.0002
4,0,12,6119106c,1,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,20.0002
5,0,12,94d6358b,4,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,20.0002
6,0,12,4dd75087,4,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.3750,27.7501,20.1252
7,0,12,606cd446,1,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,20.0002
8,0,12,2f52fd5d,4,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,20.0002
9,0,12,c7dfe058,1,49af524b,2,7247,CH,7247,CH,CHECK_CALL,-0.3750,27.7502,20.1252
0,0,16,7700eb4a,4,49af524b,2,7247,CH,1070,F,FOLD,-10.1187,26.5062,28.6250
1,0,16,592aa918,4,49af524b,2,7247,CH,1070,F,FOLD,-10.7386,26.0114,28.7500
2,0,16,926b7b87,1,49af524b,2,7247,CH,1070,F,FOLD,-9.7445,26.8805,28.6250
3,0,16,735cf870,1,49af524b,2,7247,CH,1070,F,FOLD,-9.8688,26.7562,28.6250
4,0,16,6119106c,1,49af524b,2,7247,CH,1070,F,FOLD,-9.6195,27.0055,28.6250
5,0,16,94d6358b,4,49af524b,2,7247,CH,1070,F,FOLD,-10.2445,26.7555,29.0000
6,0,16,4dd75087,4,49af524b,2,7247,CH,1070,F,FOLD,-9.7437,26.6312,28.3750
7,0,16,606cd446,1,49af524b,2,7247,CH,1070,F,FOLD,-9.9945,26.7555,28.7500
8,0,16,2f52fd5d,4,49af524b,2,7247,CH,1070,F,FOLD,-9.8695,26.7555,28.6250
9,0,16,c7dfe058,1,49af524b,2,7247,CH,1070,F,FOLD,-9.8701,27.0049,28.8750
0,0,20,7700eb4a,4,49af524b,2,7247,CH,1070,F,FOLD,-12.5909,24.1591,28.7500
1,0,20,592aa918,4,49af524b,2,7247,CH,1070,F,FOLD,-12.5908,24.1591,28.7500
2,0,20,926b7b87,1,49af524b,2,7247,CH,1070,F,FOLD,-11.7199,25.1551,28.8750
3,0,20,735cf870,1,49af524b,2,7247,CH,1070,F,FOLD,-11.8449,25.0301,28.8750
4,0,20,6119106c,1,49af524b,2,7247,CH,1070,F,FOLD,-11.5983,25.2766,28.8750
5,0,20,94d6358b,4,49af524b,2,7247,CH,1070,F,FOLD,-12.3514,24.6486,29.0000
6,0,20,4dd75087,4,49af524b,2,7247,CH,1070,F,FOLD,-12.0815,24.5435,28.6250
7,0,20,606cd446,1,49af524b,2,7247,CH,1070,F,FOLD,-11.9698,24.9051,28.8750
8,0,20,2f52fd5d,4,49af524b,2,7247,CH,1070,F,FOLD,-12.4733,24.4017,28.8750
9,0,20,c7dfe058,1,49af524b,2,7247,CH,1070,F,FOLD,-11.8483,25.1516,29.0000
0,0,26,7700eb4a,4,49af524b,2,7247,CH,1070,F,FOLD,-15.2736,21.9764,29.2500
1,0,26,592aa918,4,49af524b,2,7247,CH,1070,F,FOLD,-15.2467,22.0033,29.2500
2,0,26,926b7b87,1,49af524b,2,7247,CH,1070,F,FOLD,-14.4202,22.9548,29.3750
3,0,26,735cf870,1,49af524b,2,7247,CH,1070,F,FOLD,-14.6487,22.7263,29.3750
4,0,26,6119106c,1,49af524b,2,7247,CH,1070,F,FOLD,-14.2850,23.0899,29.3750
5,0,26,94d6358b,4,49af524b,2,7247,CH,1070,F,FOLD,-15.2850,22.3399,29.6250
6,0,26,4dd75087,4,49af524b,2,7247,CH,1070,F,FOLD,-14.7466,22.3783,29.1250
7,0,26,606cd446,1,49af524b,2,7247,CH,1070,F,FOLD,-14.6487,22.7262,29.3750
8,0,26,2f52fd5d,4,49af524b,2,7247,CH,1070,F,FOLD,-15.1600,22.2149,29.3750
9,0,26,c7dfe058,1,49af524b,2,7247,CH,1070,F,FOLD,-14.5451,22.9548,29.5000
0,0,30,7700eb4a,4,49af524b,2,7247,CH,1070,F,FOLD,-15.9809,21.3941,29.3750
1,0,30,592aa918,4,49af524b,2,7247,CH,1070,F,FOLD,-15.8185,21.4314,29.2500
2,0,30,926b7b87,1,49af524b,2,7247,CH,1070,F,FOLD,-15.2738,22.2262,29.5000
3,0,30,735cf870,1,49af524b,2,7247,CH,1070,F,FOLD,-15.4968,22.0031,29.5000
4,0,30,6119106c,1,49af524b,2,7247,CH,1070,F,FOLD,-15.2609,22.2391,29.5000
5,0,30,94d6358b,4,49af524b,2,7247,CH,1070,F,FOLD,-15.8718,21.7532,29.6250
6,0,30,4dd75087,4,49af524b,2,7247,CH,1070,F,FOLD,-15.3380,21.7870,29.1250
7,0,30,606cd446,1,49af524b,2,7247,CH,1070,F,FOLD,-15.7310,21.8939,29.6250
8,0,30,2f52fd5d,4,49af524b,2,7247,CH,1070,F,FOLD,-15.7468,21.6281,29.3750
9,0,30,c7dfe058,1,49af524b,2,7247,CH,1070,F,FOLD,-15.5109,22.1140,29.6250
0,1,12,7700eb4a,4,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,19.6252
1,1,12,592aa918,4,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.6251,19.3753
2,1,12,926b7b87,1,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.8751,19.7502
3,1,12,735cf870,1,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,19.6252
4,1,12,6119106c,1,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,19.6253
5,1,12,94d6358b,4,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,19.6253
6,1,12,4dd75087,4,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,19.6252
7,1,12,606cd446,1,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,19.6253
8,1,12,2f52fd5d,4,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,19.6253
9,1,12,c7dfe058,1,49af524b,1,7247,CH,7247,CH,CHECK_CALL,-0.2500,27.7501,19.6253
0,1,16,7700eb4a,4,49af524b,1,7247,CH,1070,F,FOLD,-10.7429,26.2570,28.6250
1,1,16,592aa918,4,49af524b,1,7247,CH,1070,F,FOLD,-11.2371,25.7628,28.6250
2,1,16,926b7b87,1,49af524b,1,7247,CH,1070,F,FOLD,-10.1180,26.7569,28.5000
3,1,16,735cf870,1,49af524b,1,7247,CH,1070,F,FOLD,-10.3670,26.5079,28.5000
4,1,16,6119106c,1,49af524b,1,7247,CH,1070,F,FOLD,-10.1170,26.7579,28.5000
5,1,16,94d6358b,4,49af524b,1,7247,CH,1070,F,FOLD,-10.8671,26.3828,28.8750
6,1,16,4dd75087,4,49af524b,1,7247,CH,1070,F,FOLD,-10.2420,26.5079,28.3750
7,1,16,606cd446,1,49af524b,1,7247,CH,1070,F,FOLD,-10.3680,26.5069,28.5000
