source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2887,28.8750
0,0,1,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2887,28.8750
0,0,2,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.0000,24.1687,28.8750
0,0,3,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2887,28.8750
0,0,4,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.0000,24.1687,28.8750
0,0,5,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.0050,24.1637,28.8750
0,0,6,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.0000,24.1687,28.8750
0,0,7,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2887,28.8750
0,0,8,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1250,24.2937,28.8750
0,0,9,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.0051,24.2887,29.0000
0,0,10,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2887,28.8750
0,0,11,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,-0.1301,24.1637,29.0000
0,0,12,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.1199,24.2886,28.8750
0,0,13,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.2499,24.2937,28.7500
0,0,14,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,0.7555,24.5492,28.5000
0,0,15,327dacee,1,327dacee,2,1070,F,1070,F,FOLD,3.4772,26.1459,27.3750
0,0,16,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,7.4610,27.0048,24.2501
0,0,17,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,7.9595,27.0034,23.7501
0,0,18,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,8.3360,27.0048,23.3751
0,0,19,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,8.7109,27.1298,23.1251
0,0,20,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.2109,27.0048,22.5001
0,0,21,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.2109,27.0048,22.5001
0,0,22,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.4599,27.1287,22.3751
0,0,23,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.9580,27.2518,22.0001
0,0,24,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.9580,27.2518,22.0001
0,0,25,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.9578,27.2516,22.0001
0,0,26,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,10.3323,27.2511,21.6251
0,0,27,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,10.3323,27.2511,21.6252
0,0,28,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,10.0820,27.2508,21.8751
0,0,29,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.7068,27.2506,22.2501
0,0,30,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.8318,27.2506,22.1251
0,0,31,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.5819,27.1257,22.2501
0,0,32,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.4570,27.1258,22.3751
0,0,33,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.7069,27.1258,22.1251
0,0,34,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.2065,27.3753,22.8750
0,0,35,327dacee,1,327dacee,2,1070,F,7247,CH,CHECK_CALL,9.2065,27.3753,22.8750
