source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,b571799e,2,592aa918,2,1070,F,1070,F,FOLD,0.1228,24.6415,29.1250
1,0,0,49af524b,4,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
2,0,0,a4f238cd,1,592aa918,2,1070,F,1070,F,FOLD,-0.0040,24.6396,29.2500
3,0,0,0a3ee396,4,592aa918,2,1070,F,1070,F,FOLD,0.1209,24.6396,29.1250
4,0,0,5db85f5e,2,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
5,0,0,b3c594b5,2,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
6,0,0,629cf86a,1,592aa918,2,1070,F,1070,F,FOLD,-0.0000,24.5186,29.1250
7,0,0,d8ee7de6,2,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
8,0,0,a86a2bba,4,592aa918,2,1070,F,1070,F,FOLD,0.1210,24.6396,29.1250
9,0,0,cbef2e9a,2,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
0,0,1,b571799e,2,592aa918,2,1070,F,1070,F,FOLD,-0.0000,24.5186,29.1250
1,0,1,49af524b,4,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
2,0,1,a4f238cd,1,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
3,0,1,0a3ee396,4,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
4,0,1,5db85f5e,2,592aa918,2,1070,F,1070,F,FOLD,-0.0000,24.5186,29.1250
5,0,1,b3c594b5,2,592aa918,2,1070,F,1070,F,FOLD,-0.0000,24.5186,29.1250
6,0,1,629cf86a,1,592aa918,2,1070,F,1070,F,FOLD,-0.1271,24.5165,29.2500
7,0,1,d8ee7de6,2,592aa918,2,1070,F,1070,F,FOLD,-0.1271,24.5165,29.2500
8,0,1,a86a2bba,4,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
9,0,1,cbef2e9a,2,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
0,0,2,b571799e,2,592aa918,2,1070,F,1070,F,FOLD,-0.0000,24.5186,29.1250
1,0,2,49af524b,4,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
2,0,2,a4f238cd,1,592aa918,2,1070,F,1070,F,FOLD,-0.0021,24.5165,29.1250
3,0,2,0a3ee396,4,592aa918,2,1070,F,1070,F,FOLD,0.1228,24.6415,29.1250
4,0,2,5db85f5e,2,592aa918,2,1070,F,1070,F,FOLD,0.1210,24.6396,29.1250
