source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,22,b571799e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1064,27.7501,21.2501
1,0,22,49af524b,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,8.7318,27.2505,23.1251
2,0,22,a4f238cd,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.6064,28.2501,21.2501
3,0,22,0a3ee396,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.2332,27.5021,21.8752
4,0,22,5db85f5e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.3564,28.1251,22.3751
5,0,22,b3c594b5,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1064,27.5001,21.0001
6,0,22,629cf86a,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.4814,28.2501,21.3751
7,0,22,d8ee7de6,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,9.9814,27.8751,22.5001
8,0,22,a86a2bba,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1150,26.8838,20.3753
9,0,22,cbef2e9a,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.7314,27.6252,21.5001
0,0,24,b571799e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.4814,27.8751,21.0001
1,0,24,49af524b,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,9.1066,27.2504,22.7501
2,0,24,a4f238cd,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.8564,28.3751,21.1251
3,0,24,0a3ee396,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.2360,27.2548,21.6252
4,0,24,5db85f5e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.7314,28.1251,22.0001
5,0,24,b3c594b5,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.4814,27.6251,20.7501
6,0,24,629cf86a,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.7314,28.2501,21.1251
7,0,24,d8ee7de6,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.4814,28.0001,22.1251
8,0,24,a86a2bba,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1224,26.7663,20.2503
9,0,24,cbef2e9a,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.9814,27.6251,21.2501
0,0,26,b571799e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.2313,27.7501,20.1251
1,0,26,49af524b,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,9.7315,27.3753,22.2501
2,0,26,a4f238cd,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4813,28.2501,20.3751
3,0,26,0a3ee396,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1087,27.3776,20.8753
4,0,26,5db85f5e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.3564,28.1251,21.3751
5,0,26,b3c594b5,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.2313,27.6251,20.0001
6,0,26,629cf86a,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4814,28.2501,20.3751
7,0,26,d8ee7de6,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.9814,28.0001,21.6251
8,0,26,a86a2bba,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.9910,26.8850,19.5004
9,0,26,cbef2e9a,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.7314,27.6251,20.5001
0,0,28,b571799e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.2313,27.7501,20.1251
1,0,28,49af524b,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,9.4816,27.2503,22.3751
2,0,28,a4f238cd,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.3563,28.1251,20.3751
3,0,28,0a3ee396,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1091,27.3779,20.8752
4,0,28,5db85f5e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.4813,28.1251,21.2501
5,0,28,b3c594b5,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.3563,27.6251,19.8751
6,0,28,629cf86a,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.3564,28.1251,20.3751
7,0,28,d8ee7de6,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.1064,28.0001,21.5001
8,0,28,a86a2bba,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.9954,26.7644,19.3754
9,0,28,cbef2e9a,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.7314,27.6251,20.5001
0,0,30,b571799e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4813,27.8751,20.0001
1,0,30,49af524b,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,9.4816,27.2503,22.3751
2,0,30,a4f238cd,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4813,28.0001,20.1251
3,0,30,0a3ee396,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,10.7350,27.2537,21.1252
4,0,30,5db85f5e,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.6063,28.1251,21.1251
5,0,30,b3c594b5,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4813,27.6251,19.7501
6,0,30,629cf86a,1,592aa918,2,1070,F,7247,CH,CHECK_CALL,12.4813,28.0001,20.1251
7,0,30,d8ee7de6,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.2314,28.0001,21.3751
8,0,30,a86a2bba,4,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.8704,26.7644,19.5003
9,0,30,cbef2e9a,2,592aa918,2,1070,F,7247,CH,CHECK_CALL,11.9814,27.6251,20.2501
0,1,22,b571799e,2,283a86f2,1,1070,F,7247,CH,CHECK_CALL,10.4872,27.5001,21.5001
1,1,22,49af524b,4,283a86f2,1,1070,F,7247,CH,CHECK_CALL,8.1130,27.0010,23.3751
2,1,22,a4f238cd,1,283a86f2,1,1070,F,7247,CH,CHECK_CALL,10.9872,27.8751,21.3751
3,1,22,0a3ee396,4,283a86f2,1,1070,F,7247,CH,CHECK_CALL,9.8657,27.2538,21.8752
4,1,22,5db85f5e,2,283a86f2,1,1070,F,7247,CH,CHECK_CALL,9.6122,27.8751,22.7502
5,1,22,b3c594b5,2,283a86f2,1,1070,F,7247,CH,CHECK_CALL,10.3622,27.2501,21.3752
6,1,22,629cf86a,1,283a86f2,1,1070,F,7247,CH,CHECK_CALL,11.1122,27.8751,21.2501
7,1,22,d8ee7de6,2,283a86f2,1,1070,F,7247,CH,CHECK_CALL,9.4872,27.6251,22.6251
