source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,2e8e7caf,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.0000,28.0001,19.8751
1,0,12,2181c7ce,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,19.8752
2,0,12,a86a2bba,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.0000,27.8751,19.7502
3,0,12,b89802f0,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.0000,27.8751,19.7502
4,0,12,bcd6c640,4,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.8751,19.8752
5,0,12,7a9da27b,4,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.0000,27.8751,19.7502
6,0,12,d966fa41,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.0000,28.0001,19.8751
0,0,14,2e8e7caf,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.1250,28.2501,20.0002
1,0,14,2181c7ce,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.3749,28.0001,19.5003
2,0,14,a86a2bba,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,-0.3750,27.7501,20.0003
3,0,14,b89802f0,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.2499,27.8751,19.5003
4,0,14,bcd6c640,4,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.2500,28.0001,19.6253
5,0,14,7a9da27b,4,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,-0.1250,27.7501,19.7502
6,0,14,d966fa41,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.2500,28.1251,19.7502
0,0,15,2e8e7caf,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.7499,28.5002,19.6254
1,0,15,2181c7ce,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,1.1248,28.2502,19.0005
2,0,15,a86a2bba,2,c84bdcb3,2,7247,CH,7247,CH,CHECK_CALL,0.4999,28.0002,19.3754
