source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,7700eb4a,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.0000,25.5027,19.1252
1,0,12,592aa918,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1250,25.5027,19.0002
2,0,12,926b7b87,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.0003,25.6274,19.2502
3,0,12,735cf870,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1250,25.5027,19.0002
4,0,12,6119106c,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1247,25.6274,19.1252
5,0,12,94d6358b,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1247,25.6274,19.1252
6,0,12,4dd75087,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.0000,25.5027,19.1252
7,0,12,606cd446,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1247,25.6274,19.1252
8,0,12,2f52fd5d,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.0000,25.5027,19.1252
9,0,12,c7dfe058,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1247,25.6274,19.1252
0,0,14,7700eb4a,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.2483,26.3793,20.2502
1,0,14,592aa918,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.1267,26.3793,19.8752
2,0,14,926b7b87,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.3721,26.1305,20.1252
3,0,14,735cf870,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.2483,26.2543,20.1251
4,0,14,6119106c,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.3727,26.2549,20.2502
5,0,14,94d6358b,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.1228,26.6299,20.3752
6,0,14,4dd75087,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,0.0017,26.2543,19.8751
7,0,14,606cd446,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.3727,26.1299,20.1251
8,0,14,2f52fd5d,4,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.2478,26.3799,20.2502
9,0,14,c7dfe058,1,2181c7ce,2,1066,B,1066,B,BET_RAISE,-0.4978,26.3799,20.5001
0,0,15,7700eb4a,4,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.2445,26.8831,25.7501
1,0,15,592aa918,4,2181c7ce,2,1066,B,1070,F,FOLD,-6.8644,26.5131,27.0000
2,0,15,926b7b87,1,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.4923,26.8852,26.0001
3,0,15,735cf870,1,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.6173,26.8852,26.1251
4,0,15,6119106c,1,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.2435,27.0091,25.8751
5,0,15,94d6358b,4,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.1185,27.1341,25.8751
6,0,15,4dd75087,4,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.3673,26.7603,25.7501
7,0,15,606cd446,1,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.8673,26.8852,26.3751
8,0,15,2f52fd5d,4,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-4.9955,27.0071,25.6251
9,0,15,c7dfe058,1,2181c7ce,2,1066,B,7247,CH,CHECK_CALL,-5.9910,27.0115,26.6251
0,0,16,7700eb4a,4,2181c7ce,2,1066,B,1070,F,FOLD,-9.7256,25.2769,28.6250
1,0,16,592aa918,4,2181c7ce,2,1066,B,1070,F,FOLD,-10.0888,24.9137,28.6250
2,0,16,926b7b87,1,2181c7ce,2,1066,B,1070,F,FOLD,-9.1065,25.8960,28.6250
3,0,16,735cf870,1,2181c7ce,2,1066,B,1070,F,FOLD,-9.3538,25.6488,28.6250
4,0,16,6119106c,1,2181c7ce,2,1066,B,1070,F,FOLD,-8.9815,26.0210,28.6250
5,0,16,94d6358b,4,2181c7ce,2,1066,B,1070,F,FOLD,-9.7257,25.5268,28.8750
6,0,16,4dd75087,4,2181c7ce,2,1066,B,1070,F,FOLD,-9.0932,25.5343,28.2500
7,0,16,606cd446,1,2181c7ce,2,1066,B,1070,F,FOLD,-9.3565,25.6460,28.6250
8,0,16,2f52fd5d,4,2181c7ce,2,1066,B,1070,F,FOLD,-9.4787,25.5238,28.6250
9,0,16,c7dfe058,1,2181c7ce,2,1066,B,1070,F,FOLD,-9.3537,25.7738,28.7500
0,0,20,7700eb4a,4,2181c7ce,2,1066,B,1070,F,FOLD,-11.8219,23.3056,28.7500
1,0,20,592aa918,4,2181c7ce,2,1066,B,1070,F,FOLD,-11.8147,23.3128,28.7500
2,0,20,926b7b87,1,2181c7ce,2,1066,B,1070,F,FOLD,-10.9470,24.3055,28.8750
3,0,20,735cf870,1,2181c7ce,2,1066,B,1070,F,FOLD,-11.0720,24.1805,28.8750
4,0,20,6119106c,1,2181c7ce,2,1066,B,1070,F,FOLD,-10.8220,24.4305,28.8750
5,0,20,94d6358b,4,2181c7ce,2,1066,B,1070,F,FOLD,-11.6969,23.6806,29.0000
6,0,20,4dd75087,4,2181c7ce,2,1066,B,1070,F,FOLD,-11.2977,23.7048,28.6250
7,0,20,606cd446,1,2181c7ce,2,1066,B,1070,F,FOLD,-11.1970,24.0555,28.8750
8,0,20,2f52fd5d,4,2181c7ce,2,1066,B,1070,F,FOLD,-11.6969,23.5556,28.8750
9,0,20,c7dfe058,1,2181c7ce,2,1066,B,1070,F,FOLD,-11.1969,24.1806,29.0000
0,1,12,7700eb4a,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2503,25.6277,19.3752
1,1,12,592aa918,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2506,25.5030,19.2502
2,1,12,926b7b87,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.1253,25.6277,19.5002
3,1,12,735cf870,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2503,25.6277,19.3752
4,1,12,6119106c,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.1253,25.6277,19.5002
5,1,12,94d6358b,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2506,25.6280,19.3752
6,1,12,4dd75087,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2503,25.6277,19.3752
7,1,12,606cd446,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2506,25.6280,19.3752
8,1,12,2f52fd5d,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.1253,25.6277,19.5002
9,1,12,c7dfe058,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,0.2506,25.6280,19.3752
0,1,14,7700eb4a,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.4975,26.0049,20.5002
1,1,14,592aa918,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.3730,26.0043,20.3751
2,1,14,926b7b87,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.6230,26.0043,20.6251
3,1,14,735cf870,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.6224,25.8799,20.5001
4,1,14,6119106c,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.7474,26.0049,20.7501
5,1,14,94d6358b,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.4980,26.2543,20.7502
6,1,14,4dd75087,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.3730,26.0043,20.3751
7,1,14,606cd446,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.6224,25.8799,20.5001
8,1,14,2f52fd5d,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.4980,26.1293,20.6251
9,1,14,c7dfe058,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-0.7474,26.0049,20.7501
0,1,15,7700eb4a,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.2451,26.5072,25.7501
1,1,15,592aa918,4,a86a2bba,2,1066,B,1070,F,FOLD,-6.8669,26.1354,27.0000
2,1,15,926b7b87,1,a86a2bba,2,1066,B,7247,CH,CHECK_CALL,-5.3682,26.6340,26.0001
3,1,15,735cf870,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.4920,26.5103,26.0001
4,1,15,6119106c,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.3682,26.6341,26.0001
5,1,15,94d6358b,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.1192,26.7581,25.8751
6,1,15,4dd75087,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.6181,26.3842,26.0001
7,1,15,606cd446,1,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.8681,26.5091,26.3750
8,1,15,2f52fd5d,4,a86a2bba,2,1066,B,1066,B,BET_RAISE,-5.1192,26.5081,25.6251
9,1,15,c7dfe058,1,a86a2bba,2,1066,B,7247,CH,CHECK_CALL,-5.8657,26.6366,26.5001
0,1,16,7700eb4a,4,a86a2bba,2,1066,B,1070,F,FOLD,-9.6003,25.0269,28.6250
1,1,16,592aa918,4,a86a2bba,2,1066,B,1070,F,FOLD,-10.0834,24.5438,28.6250
2,1,16,926b7b87,1,a86a2bba,2,1066,B,1070,F,FOLD,-9.1062,25.6460,28.7500
3,1,16,735cf870,1,a86a2bba,2,1066,B,1070,F,FOLD,-9.2285,25.3988,28.6250
4,1,16,6119106c,1,a86a2bba,2,1066,B,1070,F,FOLD,-8.8562,25.7710,28.6250
5,1,16,94d6358b,4,a86a2bba,2,1066,B,1070,F,FOLD,-9.7219,25.1554,28.8750
6,1,16,4dd75087,4,a86a2bba,2,1066,B,1070,F,FOLD,-9.2178,25.1594,28.3750
7,1,16,606cd446,1,a86a2bba,2,1066,B,1070,F,FOLD,-9.3535,25.2738,28.6250
8,1,16,2f52fd5d,4,a86a2bba,2,1066,B,1070,F,FOLD,-9.4753,25.1519,28.6250
9,1,16,c7dfe058,1,a86a2bba,2,1066,B,1070,F,FOLD,-9.3534,25.5238,28.8750
0,1,20,7700eb4a,4,a86a2bba,2,1066,B,1070,F,FOLD,-11.5645,23.1877,28.7500
1,1,20,592aa918,4,a86a2bba,2,1066,B,1070,F,FOLD,-11.5644,23.1878,28.7500
2,1,20,926b7b87,1,a86a2bba,2,1066,B,1070,F,FOLD,-10.8218,24.1805,29.0000
3,1,20,735cf870,1,a86a2bba,2,1066,B,1070,F,FOLD,-10.9396,23.9376,28.8750
