source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,2e8e7caf,2,4dd75087,4,1070,F,1070,F,FOLD,0.4998,21.6584,29.2500
1,0,12,2181c7ce,2,4dd75087,4,1070,F,1070,F,FOLD,0.4073,21.5659,29.2500
2,0,12,a86a2bba,2,4dd75087,4,1070,F,1070,F,FOLD,0.3749,21.5334,29.2500
3,0,12,b89802f0,2,4dd75087,4,1070,F,1070,F,FOLD,0.5323,21.6908,29.2500
4,0,12,bcd6c640,4,4dd75087,4,1070,F,1070,F,FOLD,0.5323,21.6908,29.2500
5,0,12,7a9da27b,4,4dd75087,4,1070,F,1070,F,FOLD,0.1938,21.3524,29.2500
6,0,12,d966fa41,2,4dd75087,4,1070,F,1070,F,FOLD,0.2204,21.5039,29.3750
0,0,14,2e8e7caf,2,4dd75087,4,1070,F,1070,F,FOLD,3.0296,23.8131,28.8750
1,0,14,2181c7ce,2,4dd75087,4,1070,F,1070,F,FOLD,3.5471,23.8306,28.3750
2,0,14,a86a2bba,2,4dd75087,4,1070,F,1070,F,FOLD,3.2728,23.6813,28.5000
3,0,14,b89802f0,2,4dd75087,4,1070,F,1070,F,FOLD,3.7970,23.9555,28.2500
4,0,14,bcd6c640,4,4dd75087,4,1070,F,1070,F,FOLD,3.0574,23.4659,28.5000
5,0,14,7a9da27b,4,4dd75087,4,1070,F,1070,F,FOLD,2.5682,23.2267,28.7500
6,0,14,d966fa41,2,4dd75087,4,1070,F,1070,F,FOLD,2.6716,23.4552,28.8750
0,0,15,2e8e7caf,2,4dd75087,4,1070,F,1066,B,BET_RAISE,8.5979,26.8814,26.3750
1,0,15,2181c7ce,2,4dd75087,4,1070,F,1066,B,BET_RAISE,10.2228,26.7564,24.6251
2,0,15,a86a2bba,2,4dd75087,4,1070,F,1066,B,BET_RAISE,8.2206,26.8792,26.7500
3,0,15,b89802f0,2,4dd75087,4,1070,F,1066,B,BET_RAISE,10.2236,26.6322,24.5001
4,0,15,bcd6c640,4,4dd75087,4,1070,F,1066,B,BET_RAISE,10.0979,26.3814,24.3751
5,0,15,7a9da27b,4,4dd75087,4,1070,F,1070,F,FOLD,7.0979,26.3815,27.3750
6,0,15,d966fa41,2,4dd75087,4,1070,F,1066,B,BET_RAISE,8.7246,26.6331,26.0000
0,0,16,2e8e7caf,2,4dd75087,4,1070,F,1066,B,BET_RAISE,9.8486,25.7572,24.0000
1,0,16,2181c7ce,2,4dd75087,4,1070,F,1066,B,BET_RAISE,10.9736,25.7572,22.8750
2,0,16,a86a2bba,2,4dd75087,4,1070,F,1066,B,BET_RAISE,10.4729,26.0064,23.6251
3,0,16,b89802f0,2,4dd75087,4,1070,F,1066,B,BET_RAISE,10.9736,25.7572,22.8750
4,0,16,bcd6c640,4,4dd75087,4,1070,F,1066,B,BET_RAISE,10.7236,25.5072,22.8750
5,0,16,7a9da27b,4,4dd75087,4,1070,F,1066,B,BET_RAISE,9.9745,26.2581,24.3750
6,0,16,d966fa41,2,4dd75087,4,1070,F,1066,B,BET_RAISE,9.8496,25.5081,23.7500
0,0,20,2e8e7caf,2,4dd75087,4,1070,F,1066,B,BET_RAISE,11.3471,25.3807,22.1250
1,0,20,2181c7ce,2,4dd75087,4,1070,F,1066,B,BET_RAISE,12.3471,25.3807,21.1251
