source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,12,zero,0,a86a2bba,7,1070,F,1429," """,OTHER,-0.9028,8.0686,13.3318
0,0,14,zero,0,a86a2bba,7,1070,F,1429," """,OTHER,2.2585,7.9657,10.0676
0,0,15,zero,0,a86a2bba,7,1070,F,1429," """,OTHER,3.4786,8.7718,9.6536
0,0,16,zero,0,a86a2bba,7,1070,F,1429," """,OTHER,2.3144,10.7592,12.8051
0,0,20,zero,0,a86a2bba,7,1070,F,1034,"""",OTHER,8.0216,10.9556,7.2944
0,1,12,zero,0,43e31fb5,2,1070,F,1429," """,OTHER,-0.3279,8.5968,13.5369
0,1,14,zero,0,43e31fb5,2,1070,F,1429," """,OTHER,3.1695,8.8646,10.3073
0,1,15,zero,0,43e31fb5,2,1070,F,1429," """,OTHER,3.9423,9.5191,10.1890
0,1,16,zero,0,43e31fb5,2,1070,F,1429," """,OTHER,1.6853,9.4796,12.4064
0,1,20,zero,0,43e31fb5,2,1070,F,1034,"""",OTHER,7.2910,10.9537,8.2748
0,2,12,zero,0,6f403582,2,1070,F,1429," """,OTHER,-0.1858,8.3570,13.5242
0,2,14,zero,0,6f403582,2,1070,F,1429," """,OTHER,2.5276,8.5302,10.9839
0,2,15,zero,0,6f403582,2,1070,F,1429," """,OTHER,3.5659,9.7603,11.1758
0,2,16,zero,0,6f403582,2,1070,F,1429," """,OTHER,0.6399,9.0002,13.3417
0,2,20,zero,0,6f403582,2,1070,F,1034,"""",OTHER,7.7075,10.9439,8.2177
0,3,12,zero,0,aa9823da,1,1070,F,1429," """,OTHER,-0.6930,8.1566,13.0869
0,3,14,zero,0,aa9823da,1,1070,F,1429," """,OTHER,2.0838,9.3303,11.4837
0,3,15,zero,0,aa9823da,1,1070,F,1429," """,OTHER,2.6708,8.8134,10.3799
0,3,16,zero,0,aa9823da,1,1070,F,1429," """,OTHER,0.6382,9.3115,12.9105
0,3,20,zero,0,aa9823da,1,1070,F,1034,"""",OTHER,7.0945,11.0284,8.1711
0,4,12,zero,0,4fcb30df,1,1070,F,1429," """,OTHER,-0.3756,8.4881,13.3494
0,4,14,zero,0,4fcb30df,1,1070,F,1429," """,OTHER,2.5794,9.6074,11.5136
