source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,f609facc,1,a0526b79,2,37,F,33,B,BET_RAISE,22.5000,43.2500,31.2500
1,0,23,c6562698,3,a0526b79,2,37,F,33,B,BET_RAISE,15.0005,39.2505,34.7500
2,0,23,0e6ac380,2,a0526b79,2,37,F,34516,CHECK,CHECK_CALL,27.5000,50.5000,33.5000
3,0,23,41b11c37,4,a0526b79,2,37,F,33,B,BET_RAISE,22.7500,47.2500,35.0000
4,0,23,1406ef20,2,a0526b79,2,37,F,33,B,BET_RAISE,26.7500,49.2500,33.0000
5,0,23,a2d2e6ad,2,a0526b79,2,37,F,34516,CHECK,CHECK_CALL,29.3750,50.7500,31.8750
6,0,23,bf90fe40,1,a0526b79,2,37,F,33,B,BET_RAISE,23.2500,47.0000,34.2500
7,0,23,adc8f88e,4,a0526b79,2,37,F,33,B,BET_RAISE,17.2500,45.0000,38.2500
8,0,23,314ed480,3,a0526b79,2,37,F,33,B,BET_RAISE,15.0000,43.2500,38.7500
9,0,23,591b738e,12,a0526b79,2,37,F,33,B,BET_RAISE,16.2500,45.0000,39.2500
0,1,23,f609facc,1,e70ecc70,5,37,F,33,B,BET_RAISE,23.3750,44.0000,30.6250
1,1,23,c6562698,3,e70ecc70,5,37,F,33,B,BET_RAISE,15.2525,39.2525,34.0000
2,1,23,0e6ac380,2,e70ecc70,5,37,F,34516,CHECK,CHECK_CALL,27.2500,50.7500,33.5000
3,1,23,41b11c37,4,e70ecc70,5,37,F,33,B,BET_RAISE,23.0000,47.5000,34.5000
4,1,23,1406ef20,2,e70ecc70,5,37,F,33,B,BET_RAISE,27.2500,49.7500,32.5000
5,1,23,a2d2e6ad,2,e70ecc70,5,37,F,34516,CHECK,CHECK_CALL,29.5000,51.0000,31.5000
