source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,ed0e0623,1,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,29.9994,50.2500,37.5000
1,0,23,2cf4ae3a,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,31.7494,52.2500,37.7500
2,0,23,cd0a196e,1,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,34.2494,53.5000,36.5000
3,0,23,97dbb307,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,31.4994,54.0000,39.7500
4,0,23,c78ffd76,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,30.2494,53.5000,40.5000
5,0,23,ac22bbef,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,30.7494,53.0000,39.5000
6,0,23,21c1dc0d,13,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,23.7494,51.2500,44.7500
7,0,23,64b79d45,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,36.9994,52.5000,32.7500
8,0,23,5f880c4e,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,27.4994,53.0000,42.7500
9,0,23,6858f9c2,4,ceb70b2e,13,37,F,34516,CHECK,CHECK_CALL,29.2494,53.5000,41.5000
0,1,23,ed0e0623,1,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,29.9968,50.5000,39.2500
1,1,23,2cf4ae3a,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,30.7468,52.5000,40.5000
2,1,23,cd0a196e,1,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,34.7468,53.7500,37.7500
3,1,23,97dbb307,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,30.7468,53.7500,41.7500
4,1,23,c78ffd76,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,29.7468,53.2500,42.2500
5,1,23,ac22bbef,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,30.7468,53.0000,41.0000
6,1,23,21c1dc0d,13,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,21.4968,50.0000,47.2500
7,1,23,64b79d45,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,37.4968,53.0000,34.2500
8,1,23,5f880c4e,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,26.7468,52.5000,44.5000
9,1,23,6858f9c2,4,7c51dc12,4,37,F,34516,CHECK,CHECK_CALL,26.9968,52.5000,44.2500
0,2,23,ed0e0623,1,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,33.7494,51.0000,40.2500
1,2,23,2cf4ae3a,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,35.7494,52.5000,39.7500
2,2,23,cd0a196e,1,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,39.4994,54.0000,37.5000
3,2,23,97dbb307,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,36.7494,54.2500,40.5000
4,2,23,c78ffd76,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,35.4994,53.7500,41.2500
5,2,23,ac22bbef,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,36.4994,53.5000,40.0000
6,2,23,21c1dc0d,13,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,26.9994,50.7500,46.7500
7,2,23,64b79d45,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,42.4994,53.5000,34.0000
8,2,23,5f880c4e,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,31.7494,52.7500,44.0000
9,2,23,6858f9c2,4,16780ccb,4,37,F,34516,CHECK,CHECK_CALL,33.2494,53.2500,43.0000
0,3,23,ed0e0623,1,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,30.7494,50.5000,40.7500
1,3,23,2cf4ae3a,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,31.7494,52.2500,41.5000
2,3,23,cd0a196e,1,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,35.7494,53.2500,38.5000
3,3,23,97dbb307,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,31.9994,53.5000,42.5000
4,3,23,c78ffd76,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,30.4994,53.0000,43.5000
5,3,23,ac22bbef,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,31.2494,52.5000,42.2500
6,3,23,21c1dc0d,13,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,21.9994,49.5000,48.5000
7,3,23,64b79d45,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,38.7494,53.0000,35.2500
8,3,23,5f880c4e,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,27.7494,52.2500,45.5000
9,3,23,6858f9c2,4,d06e2005,4,37,F,34516,CHECK,CHECK_CALL,27.9994,52.0000,45.0000
0,4,23,ed0e0623,1,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,30.2492,51.5000,40.5000
1,4,23,2cf4ae3a,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,33.4992,53.0000,38.7500
2,4,23,cd0a196e,1,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,35.9992,54.5000,37.7500
3,4,23,97dbb307,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,33.2492,54.5000,40.5000
4,4,23,c78ffd76,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,31.9992,54.0000,41.2500
5,4,23,ac22bbef,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,32.4992,53.5000,40.2500
6,4,23,21c1dc0d,13,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,24.7492,51.2500,45.7500
7,4,23,64b79d45,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,39.7492,53.7500,33.2500
8,4,23,5f880c4e,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,29.2492,53.5000,43.5000
9,4,23,6858f9c2,4,9aee5f31,4,37,F,34516,CHECK,CHECK_CALL,30.7492,53.5000,42.0000
0,5,23,ed0e0623,1,53c32007,10,37,F,34516,CHECK,CHECK_CALL,35.4964,51.2500,38.5000
1,5,23,2cf4ae3a,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,37.2464,52.7500,38.2500
2,5,23,cd0a196e,1,53c32007,10,37,F,34516,CHECK,CHECK_CALL,39.9964,54.0000,36.7500
3,5,23,97dbb307,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,36.4964,54.2500,40.5000
4,5,23,c78ffd76,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,35.2464,54.0000,41.5000
5,5,23,ac22bbef,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,35.9964,53.5000,40.2500
6,5,23,21c1dc0d,13,53c32007,10,37,F,34516,CHECK,CHECK_CALL,26.9964,50.7500,46.5000
7,5,23,64b79d45,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,42.9964,53.0000,32.7500
8,5,23,5f880c4e,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,32.2464,53.2500,43.7500
9,5,23,6858f9c2,4,53c32007,10,37,F,34516,CHECK,CHECK_CALL,32.9964,53.0000,42.7500
0,6,23,ed0e0623,1,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,30.7459,51.5000,43.2500
1,6,23,2cf4ae3a,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,31.9959,52.5000,43.0000
2,6,23,cd0a196e,1,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,36.2459,54.2500,40.5000
3,6,23,97dbb307,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,33.2459,54.0000,43.2500
4,6,23,c78ffd76,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,31.7459,53.5000,44.2500
5,6,23,ac22bbef,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,33.2459,53.5000,42.7500
6,6,23,21c1dc0d,13,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,23.2459,49.7500,49.0000
7,6,23,64b79d45,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,40.7459,54.2500,36.0000
8,6,23,5f880c4e,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,28.4959,52.5000,46.5000
9,6,23,6858f9c2,4,767b1a49,1,37,F,34516,CHECK,CHECK_CALL,28.4959,52.2500,46.2500
0,7,23,ed0e0623,1,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,33.8872,52.0000,42.0000
1,7,23,2cf4ae3a,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,35.3872,53.2500,41.7500
2,7,23,cd0a196e,1,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,38.8872,54.5000,39.5000
3,7,23,97dbb307,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,35.8872,54.5000,42.5000
4,7,23,c78ffd76,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,34.6372,54.0000,43.2500
5,7,23,ac22bbef,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,35.8872,53.5000,41.5000
6,7,23,21c1dc0d,13,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,25.6372,50.5000,48.7500
7,7,23,64b79d45,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,42.8872,54.5000,35.5000
8,7,23,5f880c4e,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,31.1372,53.0000,45.7500
9,7,23,6858f9c2,4,ebaaf00d,1,37,F,34516,CHECK,CHECK_CALL,31.8872,53.2500,45.2500
0,8,23,ed0e0623,1,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,32.3731,52.0000,41.5000
1,8,23,2cf4ae3a,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,34.1231,53.2500,41.0000
2,8,23,cd0a196e,1,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,37.6231,54.7500,39.0000
3,8,23,97dbb307,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,34.3731,54.5000,42.0000
4,8,23,c78ffd76,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,32.8731,54.0000,43.0000
5,8,23,ac22bbef,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,34.3731,53.7500,41.2500
6,8,23,21c1dc0d,13,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,24.6231,50.7500,48.0000
7,8,23,64b79d45,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,41.6231,54.5000,34.7500
8,8,23,5f880c4e,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,29.3731,53.0000,45.5000
9,8,23,6858f9c2,4,a0f65340,1,37,F,34516,CHECK,CHECK_CALL,30.6231,53.2500,44.5000
0,9,23,ed0e0623,1,47964450,4,37,F,34516,CHECK,CHECK_CALL,30.4996,50.5000,40.7500
1,9,23,2cf4ae3a,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,31.7496,52.2500,41.2500
2,9,23,cd0a196e,1,47964450,4,37,F,34516,CHECK,CHECK_CALL,35.7496,53.2500,38.2500
3,9,23,97dbb307,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,32.2496,53.5000,42.0000
4,9,23,c78ffd76,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,30.9996,53.0000,42.7500
5,9,23,ac22bbef,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,31.9996,52.7500,41.5000
6,9,23,21c1dc0d,13,47964450,4,37,F,34516,CHECK,CHECK_CALL,22.2496,49.5000,48.0000
7,9,23,64b79d45,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,38.7496,53.0000,35.0000
8,9,23,5f880c4e,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,27.9996,52.2500,45.0000
9,9,23,6858f9c2,4,47964450,4,37,F,34516,CHECK,CHECK_CALL,28.2496,52.0000,44.5000
0,10,23,ed0e0623,1,1febd491,1,37,F,34516,CHECK,CHECK_CALL,32.3731,52.0000,41.5000
1,10,23,2cf4ae3a,4,1febd491,1,37,F,34516,CHECK,CHECK_CALL,34.3731,53.2500,40.7500
2,10,23,cd0a196e,1,1febd491,1,37,F,34516,CHECK,CHECK_CALL,37.3731,54.5000,39.0000
