source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,5da7d1a3,1,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,32.2500,54.7500,32.5000
1,0,23,32380420,2,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,29.7500,54.5000,34.7500
2,0,23,60e0d675,1,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,33.0000,55.2500,32.2500
3,0,23,01463d4b,2,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,25.2500,53.5000,38.2500
4,0,23,7af56a65,5,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,26.0000,53.2500,37.2500
5,0,23,f475f201,7,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,28.5000,54.2500,35.7500
6,0,23,dc90346f,2,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,17.0000,49.2500,42.2500
7,0,23,47548766,2,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,25.5000,54.0000,38.5000
8,0,23,91bb2f84,11,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,27.5000,54.2500,36.7500
9,0,23,f6f8c73f,5,0c9a72b5,5,37,F,34516,CHECK,CHECK_CALL,31.7500,54.5000,32.7500
0,1,23,5da7d1a3,1,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,34.5000,54.7500,34.5000
1,1,23,32380420,2,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,32.5000,54.5000,36.2500
2,1,23,60e0d675,1,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,35.2500,55.2500,34.2500
3,1,23,01463d4b,2,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,28.2500,53.5000,39.5000
4,1,23,7af56a65,5,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,28.0000,53.0000,39.2500
5,1,23,f475f201,7,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,31.2500,54.2500,37.2500
6,1,23,dc90346f,2,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,19.7500,48.7500,43.2500
7,1,23,47548766,2,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,27.5000,53.5000,40.2500
8,1,23,91bb2f84,11,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,29.7500,53.7500,38.2500
9,1,23,f6f8c73f,5,f81e2b9c,11,37,F,34516,CHECK,CHECK_CALL,34.0000,54.2500,34.5000
0,2,23,5da7d1a3,1,85942eff,7,37,F,34516,CHECK,CHECK_CALL,35.0000,55.0000,33.7500
1,2,23,32380420,2,85942eff,7,37,F,34516,CHECK,CHECK_CALL,33.2500,54.7500,35.2500
2,2,23,60e0d675,1,85942eff,7,37,F,34516,CHECK,CHECK_CALL,35.7500,55.2500,33.2500
3,2,23,01463d4b,2,85942eff,7,37,F,34516,CHECK,CHECK_CALL,29.0000,53.5000,38.2500
4,2,23,7af56a65,5,85942eff,7,37,F,34516,CHECK,CHECK_CALL,29.2500,53.2500,37.7500
5,2,23,f475f201,7,85942eff,7,37,F,34516,CHECK,CHECK_CALL,32.2500,54.5000,36.0000
6,2,23,dc90346f,2,85942eff,7,37,F,34516,CHECK,CHECK_CALL,20.5000,48.7500,42.0000
7,2,23,47548766,2,85942eff,7,37,F,34516,CHECK,CHECK_CALL,29.2500,54.0000,38.5000
8,2,23,91bb2f84,11,85942eff,7,37,F,34516,CHECK,CHECK_CALL,31.0000,54.2500,37.0000
9,2,23,f6f8c73f,5,85942eff,7,37,F,34516,CHECK,CHECK_CALL,34.5000,54.5000,33.7500
0,3,23,5da7d1a3,1,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,34.4999,55.0000,32.5000
1,3,23,32380420,2,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,32.9999,54.7500,33.7500
2,3,23,60e0d675,1,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,35.2499,55.5000,32.2500
3,3,23,01463d4b,2,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,29.9999,54.2500,36.2500
4,3,23,7af56a65,5,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,28.9999,53.2500,36.2500
5,3,23,f475f201,7,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,31.4999,54.5000,35.0000
6,3,23,dc90346f,2,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,21.2499,49.5000,40.2500
7,3,23,47548766,2,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,29.2499,54.2500,37.0000
8,3,23,91bb2f84,11,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,30.4999,54.2500,35.7500
9,3,23,f6f8c73f,5,16b3ffbb,11,37,F,34516,CHECK,CHECK_CALL,33.9999,54.5000,32.5000
0,4,23,5da7d1a3,1,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,33.5000,55.0000,32.2500
1,4,23,32380420,2,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,31.0000,55.0000,34.7500
2,4,23,60e0d675,1,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,34.0000,55.2500,32.0000
3,4,23,01463d4b,2,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,27.5000,54.0000,37.2500
4,4,23,7af56a65,5,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,27.5000,53.7500,37.0000
5,4,23,f475f201,7,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,30.2500,54.7500,35.2500
6,4,23,dc90346f,2,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,20.2500,50.2500,40.7500
7,4,23,47548766,2,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,27.0000,54.2500,38.0000
8,4,23,91bb2f84,11,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,29.0000,54.7500,36.5000
9,4,23,f6f8c73f,5,21a71b56,2,37,F,34516,CHECK,CHECK_CALL,32.5000,55.0000,33.2500
0,5,23,5da7d1a3,1,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,34.2500,55.0000,33.0000
1,5,23,32380420,2,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,31.7500,55.0000,35.5000
2,5,23,60e0d675,1,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,35.0000,55.5000,32.7500
3,5,23,01463d4b,2,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,28.2500,54.0000,38.0000
4,5,23,7af56a65,5,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,28.2500,53.5000,37.5000
5,5,23,f475f201,7,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,31.2500,54.7500,35.7500
6,5,23,dc90346f,2,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,20.7500,50.0000,41.5000
7,5,23,47548766,2,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,27.7500,54.2500,38.7500
8,5,23,91bb2f84,11,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,29.7500,54.5000,37.0000
9,5,23,f6f8c73f,5,66c0b21c,2,37,F,34516,CHECK,CHECK_CALL,33.5000,54.7500,33.5000
0,6,23,5da7d1a3,1,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,32.5000,55.0000,33.0000
1,6,23,32380420,2,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,29.7500,54.7500,35.5000
2,6,23,60e0d675,1,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,33.0000,55.2500,32.7500
3,6,23,01463d4b,2,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,26.0000,53.7500,38.2500
4,6,23,7af56a65,5,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,26.0000,53.5000,38.0000
5,6,23,f475f201,7,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,29.0000,54.7500,36.2500
6,6,23,dc90346f,2,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,18.7500,49.7500,41.5000
7,6,23,47548766,2,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,25.7500,54.0000,38.7500
8,6,23,91bb2f84,11,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,27.7500,54.5000,37.2500
9,6,23,f6f8c73f,5,5bd3634e,2,37,F,34516,CHECK,CHECK_CALL,31.5000,54.7500,33.7500
0,7,23,5da7d1a3,1,5735920e,5,37,F,34516,CHECK,CHECK_CALL,35.7500,55.0000,32.2500
1,7,23,32380420,2,5735920e,5,37,F,34516,CHECK,CHECK_CALL,33.7500,55.0000,34.2500
2,7,23,60e0d675,1,5735920e,5,37,F,34516,CHECK,CHECK_CALL,36.2500,55.2500,32.0000
3,7,23,01463d4b,2,5735920e,5,37,F,34516,CHECK,CHECK_CALL,28.7500,53.7500,38.0000
4,7,23,7af56a65,5,5735920e,5,37,F,34516,CHECK,CHECK_CALL,29.5000,53.7500,37.2500
5,7,23,f475f201,7,5735920e,5,37,F,34516,CHECK,CHECK_CALL,32.5000,54.7500,35.2500
6,7,23,dc90346f,2,5735920e,5,37,F,34516,CHECK,CHECK_CALL,21.0000,49.7500,41.7500
7,7,23,47548766,2,5735920e,5,37,F,34516,CHECK,CHECK_CALL,29.5000,54.2500,37.7500
8,7,23,91bb2f84,11,5735920e,5,37,F,34516,CHECK,CHECK_CALL,31.2500,54.5000,36.2500
9,7,23,f6f8c73f,5,5735920e,5,37,F,34516,CHECK,CHECK_CALL,35.5000,55.0000,32.5000
0,8,23,5da7d1a3,1,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,32.5000,54.7500,32.7500
1,8,23,32380420,2,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,29.7500,54.7500,35.5000
2,8,23,60e0d675,1,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,33.2500,55.2500,32.5000
3,8,23,01463d4b,2,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,26.5000,53.7500,37.7500
4,8,23,7af56a65,5,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,26.0000,53.2500,37.7500
5,8,23,f475f201,7,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,29.0000,54.5000,36.0000
6,8,23,dc90346f,2,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,19.2500,49.7500,41.0000
7,8,23,47548766,2,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,25.7500,54.0000,38.7500
8,8,23,91bb2f84,11,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,27.7500,54.5000,37.2500
9,8,23,f6f8c73f,5,e4ae865e,2,37,F,34516,CHECK,CHECK_CALL,31.5000,54.5000,33.5000
0,9,23,5da7d1a3,1,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,30.4998,54.7500,33.0000
1,9,23,32380420,2,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,28.9998,54.5000,34.2500
2,9,23,60e0d675,1,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,30.9998,55.0000,32.7500
3,9,23,01463d4b,2,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,25.7498,53.7500,36.7500
4,9,23,7af56a65,5,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,25.2498,53.0000,36.5000
5,9,23,f475f201,7,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,27.4998,54.2500,35.5000
6,9,23,dc90346f,2,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,18.2498,49.2500,39.7500
7,9,23,47548766,2,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,25.2498,53.7500,37.2500
8,9,23,91bb2f84,11,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,26.7498,54.0000,36.0000
9,9,23,f6f8c73f,5,e4f980ba,11,37,F,34516,CHECK,CHECK_CALL,29.7498,54.2500,33.2500
