source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,fe505af2,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
1,0,15,c45e331f,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
2,0,15,709c1033,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
3,0,15,d54abf74,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
4,0,15,6a3eb861,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
5,0,15,4efd009c,1,dde8fa29,4,37,F,37,F,FOLD,-0.2474,40.5067,50.2500
6,0,15,a0f1dd11,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
7,0,15,3972c8f7,1,dde8fa29,4,37,F,37,F,FOLD,-0.2474,40.5067,50.2500
8,0,15,0046d49b,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
9,0,15,ee9317a0,1,dde8fa29,4,37,F,37,F,FOLD,-0.4955,40.2586,50.2500
0,0,18,fe505af2,1,dde8fa29,4,37,F,37,F,FOLD,1.2471,42.0012,50.2500
1,0,18,c45e331f,1,dde8fa29,4,37,F,37,F,FOLD,2.2471,42.5012,49.7500
2,0,18,709c1033,1,dde8fa29,4,37,F,37,F,FOLD,2.7468,42.7509,49.5000
3,0,18,d54abf74,1,dde8fa29,4,37,F,37,F,FOLD,1.9974,42.2515,49.7500
4,0,18,6a3eb861,1,dde8fa29,4,37,F,37,F,FOLD,2.2474,42.2515,49.5000
5,0,18,4efd009c,1,dde8fa29,4,37,F,37,F,FOLD,2.4971,42.5012,49.5000
6,0,18,a0f1dd11,1,dde8fa29,4,37,F,37,F,FOLD,1.9974,42.2515,49.7500
7,0,18,3972c8f7,1,dde8fa29,4,37,F,37,F,FOLD,2.4971,42.5012,49.5000
8,0,18,0046d49b,1,dde8fa29,4,37,F,37,F,FOLD,2.7471,42.5012,49.2500
9,0,18,ee9317a0,1,dde8fa29,4,37,F,37,F,FOLD,2.2474,42.2515,49.5000
0,0,21,fe505af2,1,dde8fa29,4,37,F,33,B,BET_RAISE,11.2459,44.2500,42.5000
1,0,21,c45e331f,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,13.2459,46.0000,42.2500
2,0,21,709c1033,1,dde8fa29,4,37,F,33,B,BET_RAISE,13.2459,45.0000,41.2500
3,0,21,d54abf74,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,12.4959,45.5000,42.5000
