source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,fe505af2,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,22.2459,48.5000,35.7500
1,0,23,c45e331f,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.2500
2,0,23,709c1033,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.7459,50.5000,35.2500
3,0,23,d54abf74,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.0000,36.2500
4,0,23,6a3eb861,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.2459,49.7500,35.0000
5,0,23,4efd009c,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.2459,50.0000,35.2500
6,0,23,a0f1dd11,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,23.4959,50.7500,36.7500
7,0,23,3972c8f7,1,dde8fa29,4,37,F,33,B,BET_RAISE,23.4959,48.7500,34.7500
8,0,23,0046d49b,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,23.9959,49.5000,35.0000
9,0,23,ee9317a0,1,dde8fa29,4,37,F,34516,CHECK,CHECK_CALL,24.2459,51.2500,36.5000
0,1,23,fe505af2,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,21.7468,48.2500,36.0000
1,1,23,c45e331f,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.7468,50.7500,36.5000
2,1,23,709c1033,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,24.2468,50.2500,35.5000
3,1,23,d54abf74,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.9968,51.0000,36.5000
4,1,23,6a3eb861,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.9968,49.7500,35.2500
5,1,23,4efd009c,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.7468,49.7500,35.5000
6,1,23,a0f1dd11,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.2468,50.7500,37.0000
7,1,23,3972c8f7,1,da06e5f8,4,37,F,33,B,BET_RAISE,22.9968,48.5000,35.0000
8,1,23,0046d49b,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.4968,49.2500,35.2500
9,1,23,ee9317a0,1,da06e5f8,4,37,F,34516,CHECK,CHECK_CALL,23.9968,51.0000,36.5000
0,2,23,fe505af2,1,bd9a1555,4,37,F,34516,CHECK,CHECK_CALL,21.7459,48.5000,36.0000
1,2,23,c45e331f,1,bd9a1555,4,37,F,34516,CHECK,CHECK_CALL,23.9959,51.0000,36.2500
2,2,23,709c1033,1,bd9a1555,4,37,F,34516,CHECK,CHECK_CALL,24.2459,50.2500,35.2500
3,2,23,d54abf74,1,bd9a1555,4,37,F,34516,CHECK,CHECK_CALL,23.7459,51.0000,36.5000
4,2,23,6a3eb861,1,bd9a1555,4,37,F,34516,CHECK,CHECK_CALL,23.7459,49.5000,35.0000
