source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,7faa1a43,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-7.2500,47.2500,31.0000
1,0,23,1590a950,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-6.8750,47.7500,31.1250
2,0,23,52266f26,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-7.0000,47.5000,31.0000
3,0,23,cee2584f,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-6.5000,48.0000,31.0000
4,0,23,d6cde40b,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-7.2500,47.2500,31.0000
5,0,23,87b56598,1,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-3.7500,49.5000,29.7500
6,0,23,c7c3de85,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-7.1250,47.5000,31.1250
7,0,23,c45e331f,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-5.7500,48.7500,31.0000
8,0,23,24b70fcd,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-6.3750,48.0000,30.8750
9,0,23,f375c41f,2,ee9317a0,1,34516,CHECK,33,B,BET_RAISE,-6.1250,48.5000,31.1250
0,1,23,7faa1a43,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-7.0000,47.0000,31.2500
1,1,23,1590a950,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-7.1250,47.2500,31.6250
2,1,23,52266f26,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-6.7500,47.2500,31.2500
3,1,23,cee2584f,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-6.5000,47.5000,31.2500
4,1,23,d6cde40b,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-7.0000,47.0000,31.2500
5,1,23,87b56598,1,1590a950,1,34516,CHECK,33,B,BET_RAISE,-3.5000,49.2500,30.0000
6,1,23,c7c3de85,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-7.0000,47.0000,31.2500
7,1,23,c45e331f,2,1590a950,1,34516,CHECK,33,B,BET_RAISE,-5.6250,48.5000,31.3750
