source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,7faa1a43,2,cee2584f,4,37,F,33,B,BET_RAISE,16.9933,44.2500,37.0000
1,0,23,1590a950,2,cee2584f,4,37,F,33,B,BET_RAISE,16.9933,44.7500,37.5000
2,0,23,52266f26,2,cee2584f,4,37,F,33,B,BET_RAISE,17.2433,44.5000,37.0000
3,0,23,cee2584f,2,cee2584f,4,37,F,33,B,BET_RAISE,17.2433,44.7500,37.2500
4,0,23,d6cde40b,2,cee2584f,4,37,F,33,B,BET_RAISE,16.9933,44.2500,37.0000
5,0,23,87b56598,1,cee2584f,4,37,F,33,B,BET_RAISE,21.4933,47.2500,35.5000
6,0,23,c7c3de85,2,cee2584f,4,37,F,33,B,BET_RAISE,17.2433,44.5000,37.0000
7,0,23,c45e331f,2,cee2584f,4,37,F,33,B,BET_RAISE,18.2433,45.7500,37.2500
8,0,23,24b70fcd,2,cee2584f,4,37,F,33,B,BET_RAISE,17.4933,44.7500,37.0000
9,0,23,f375c41f,2,cee2584f,4,37,F,33,B,BET_RAISE,17.9933,45.7500,37.5000
0,1,23,7faa1a43,2,6f7b642f,4,37,F,33,B,BET_RAISE,16.9914,44.5000,37.2500
1,1,23,1590a950,2,6f7b642f,4,37,F,33,B,BET_RAISE,17.2414,45.0000,37.5000
2,1,23,52266f26,2,6f7b642f,4,37,F,33,B,BET_RAISE,17.4914,44.7500,37.0000
3,1,23,cee2584f,2,6f7b642f,4,37,F,33,B,BET_RAISE,17.4914,45.0000,37.2500
4,1,23,d6cde40b,2,6f7b642f,4,37,F,33,B,BET_RAISE,16.9914,44.5000,37.2500
5,1,23,87b56598,1,6f7b642f,4,37,F,33,B,BET_RAISE,21.7414,47.5000,35.5000
6,1,23,c7c3de85,2,6f7b642f,4,37,F,33,B,BET_RAISE,17.2414,44.7500,37.2500
7,1,23,c45e331f,2,6f7b642f,4,37,F,33,B,BET_RAISE,18.4914,46.2500,37.5000
8,1,23,24b70fcd,2,6f7b642f,4,37,F,33,B,BET_RAISE,17.4914,45.0000,37.2500
9,1,23,f375c41f,2,6f7b642f,4,37,F,33,B,BET_RAISE,18.2414,46.0000,37.5000
0,2,23,7faa1a43,2,dde8fa29,4,37,F,33,B,BET_RAISE,16.9959,44.5000,37.0000
1,2,23,1590a950,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.2459,45.0000,37.2500
2,2,23,52266f26,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.4959,44.7500,36.7500
3,2,23,cee2584f,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.7459,45.0000,36.7500
4,2,23,d6cde40b,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.2459,44.5000,36.7500
5,2,23,87b56598,1,dde8fa29,4,37,F,33,B,BET_RAISE,21.2459,47.2500,35.5000
6,2,23,c7c3de85,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.2459,44.7500,37.0000
7,2,23,c45e331f,2,dde8fa29,4,37,F,33,B,BET_RAISE,18.4959,46.2500,37.2500
8,2,23,24b70fcd,2,dde8fa29,4,37,F,33,B,BET_RAISE,17.4959,45.0000,37.0000
9,2,23,f375c41f,2,dde8fa29,4,37,F,33,B,BET_RAISE,18.2459,46.0000,37.2500
0,3,23,7faa1a43,2,da06e5f8,4,37,F,33,B,BET_RAISE,16.7468,44.2500,37.0000
1,3,23,1590a950,2,da06e5f8,4,37,F,33,B,BET_RAISE,16.7468,44.7500,37.5000
2,3,23,52266f26,2,da06e5f8,4,37,F,33,B,BET_RAISE,17.2468,44.7500,37.0000
3,3,23,cee2584f,2,da06e5f8,4,37,F,33,B,BET_RAISE,17.4968,45.0000,37.0000
4,3,23,d6cde40b,2,da06e5f8,4,37,F,33,B,BET_RAISE,16.7468,44.2500,37.0000
5,3,23,87b56598,1,da06e5f8,4,37,F,33,B,BET_RAISE,20.7468,47.0000,35.7500
6,3,23,c7c3de85,2,da06e5f8,4,37,F,33,B,BET_RAISE,16.9968,44.5000,37.0000
7,3,23,c45e331f,2,da06e5f8,4,37,F,33,B,BET_RAISE,18.2468,46.0000,37.2500
8,3,23,24b70fcd,2,da06e5f8,4,37,F,33,B,BET_RAISE,16.9968,44.7500,37.2500
9,3,23,f375c41f,2,da06e5f8,4,37,F,33,B,BET_RAISE,17.9968,45.7500,37.2500
0,4,23,7faa1a43,2,bd9a1555,4,37,F,33,B,BET_RAISE,16.7459,44.5000,37.0000
1,4,23,1590a950,2,bd9a1555,4,37,F,33,B,BET_RAISE,16.7459,44.7500,37.2500
2,4,23,52266f26,2,bd9a1555,4,37,F,33,B,BET_RAISE,17.2459,44.7500,36.7500
3,4,23,cee2584f,2,bd9a1555,4,37,F,33,B,BET_RAISE,17.4959,45.0000,36.7500
4,4,23,d6cde40b,2,bd9a1555,4,37,F,33,B,BET_RAISE,16.7459,44.5000,37.0000
5,4,23,87b56598,1,bd9a1555,4,37,F,33,B,BET_RAISE,20.7459,47.0000,35.5000
6,4,23,c7c3de85,2,bd9a1555,4,37,F,33,B,BET_RAISE,16.7459,44.5000,37.0000
7,4,23,c45e331f,2,bd9a1555,4,37,F,33,B,BET_RAISE,17.9959,46.0000,37.2500
8,4,23,24b70fcd,2,bd9a1555,4,37,F,33,B,BET_RAISE,17.2459,45.0000,37.0000
9,4,23,f375c41f,2,bd9a1555,4,37,F,33,B,BET_RAISE,17.9959,46.0000,37.2500
0,5,23,7faa1a43,2,c709b103,3,37,F,33,B,BET_RAISE,12.9997,44.2500,37.7500
1,5,23,1590a950,2,c709b103,3,37,F,33,B,BET_RAISE,13.7497,45.0000,37.7500
2,5,23,52266f26,2,c709b103,3,37,F,33,B,BET_RAISE,13.7497,44.7500,37.5000
3,5,23,cee2584f,2,c709b103,3,37,F,33,B,BET_RAISE,13.9997,45.0000,37.5000
4,5,23,d6cde40b,2,c709b103,3,37,F,33,B,BET_RAISE,13.2497,44.2500,37.5000
5,5,23,87b56598,1,c709b103,3,37,F,34516,CHECK,CHECK_CALL,18.2497,47.5000,35.7500
6,5,23,c7c3de85,2,c709b103,3,37,F,33,B,BET_RAISE,13.4997,44.5000,37.5000
7,5,23,c45e331f,2,c709b103,3,37,F,33,B,BET_RAISE,14.7497,46.0000,37.7500
8,5,23,24b70fcd,2,c709b103,3,37,F,33,B,BET_RAISE,13.7497,44.7500,37.5000
9,5,23,f375c41f,2,c709b103,3,37,F,33,B,BET_RAISE,14.4997,46.0000,38.0000
0,6,23,7faa1a43,2,52266f26,4,37,F,33,B,BET_RAISE,15.9975,44.2500,36.7500
1,6,23,1590a950,2,52266f26,4,37,F,33,B,BET_RAISE,15.9975,44.7500,37.2500
2,6,23,52266f26,2,52266f26,4,37,F,33,B,BET_RAISE,16.7475,44.7500,36.5000
3,6,23,cee2584f,2,52266f26,4,37,F,33,B,BET_RAISE,16.4975,44.7500,36.7500
4,6,23,d6cde40b,2,52266f26,4,37,F,33,B,BET_RAISE,15.9975,44.2500,36.7500
5,6,23,87b56598,1,52266f26,4,37,F,33,B,BET_RAISE,20.4975,47.2500,35.2500
6,6,23,c7c3de85,2,52266f26,4,37,F,33,B,BET_RAISE,16.2475,44.5000,36.7500
7,6,23,c45e331f,2,52266f26,4,37,F,33,B,BET_RAISE,17.2475,45.7500,37.0000
8,6,23,24b70fcd,2,52266f26,4,37,F,33,B,BET_RAISE,16.4975,44.7500,36.7500
9,6,23,f375c41f,2,52266f26,4,37,F,33,B,BET_RAISE,17.2475,45.7500,37.0000
0,7,23,7faa1a43,2,0046d49b,4,37,F,33,B,BET_RAISE,16.4959,44.2500,36.7500
1,7,23,1590a950,2,0046d49b,4,37,F,33,B,BET_RAISE,16.7459,44.7500,37.0000
2,7,23,52266f26,2,0046d49b,4,37,F,33,B,BET_RAISE,16.9959,44.7500,36.7500
3,7,23,cee2584f,2,0046d49b,4,37,F,33,B,BET_RAISE,17.2459,44.7500,36.5000
4,7,23,d6cde40b,2,0046d49b,4,37,F,33,B,BET_RAISE,16.4959,44.2500,36.7500
5,7,23,87b56598,1,0046d49b,4,37,F,33,B,BET_RAISE,20.9959,47.2500,35.2500
6,7,23,c7c3de85,2,0046d49b,4,37,F,33,B,BET_RAISE,16.7459,44.5000,36.7500
7,7,23,c45e331f,2,0046d49b,4,37,F,33,B,BET_RAISE,17.7459,45.7500,37.0000
8,7,23,24b70fcd,2,0046d49b,4,37,F,33,B,BET_RAISE,16.7459,44.5000,36.7500
9,7,23,f375c41f,2,0046d49b,4,37,F,33,B,BET_RAISE,17.4959,45.7500,37.2500
0,8,23,7faa1a43,2,6725ffbb,4,37,F,33,B,BET_RAISE,16.7433,44.2500,36.7500
1,8,23,1590a950,2,6725ffbb,4,37,F,33,B,BET_RAISE,16.7433,44.7500,37.2500
2,8,23,52266f26,2,6725ffbb,4,37,F,33,B,BET_RAISE,16.9933,44.5000,36.7500
3,8,23,cee2584f,2,6725ffbb,4,37,F,33,B,BET_RAISE,17.2433,44.7500,36.7500
4,8,23,d6cde40b,2,6725ffbb,4,37,F,33,B,BET_RAISE,16.7433,44.2500,36.7500
5,8,23,87b56598,1,6725ffbb,4,37,F,33,B,BET_RAISE,20.9933,47.2500,35.5000
6,8,23,c7c3de85,2,6725ffbb,4,37,F,33,B,BET_RAISE,16.9933,44.5000,36.7500
7,8,23,c45e331f,2,6725ffbb,4,37,F,33,B,BET_RAISE,17.9933,45.7500,37.0000
