source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,fe505af2,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,4.8750,51.0000,30.1250
1,0,23,c45e331f,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.6250,53.0000,29.3750
2,0,23,709c1033,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.5000,52.2500,28.7500
3,0,23,d54abf74,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.2500,52.7500,29.5000
4,0,23,6a3eb861,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.1250,51.7500,28.6250
5,0,23,4efd009c,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.3750,52.0000,28.6250
6,0,23,a0f1dd11,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.0000,52.7500,29.7500
7,0,23,3972c8f7,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,6.0000,50.5000,28.5000
8,0,23,0046d49b,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,6.7500,51.5000,28.7500
9,0,23,ee9317a0,1,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,7.8750,53.2500,29.3750
0,1,23,fe505af2,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,4.0000,51.0000,30.0000
1,1,23,c45e331f,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.3750,52.5000,29.1250
2,1,23,709c1033,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.6250,52.0000,28.3750
3,1,23,d54abf74,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.6250,52.7500,29.1250
4,1,23,6a3eb861,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.2500,51.5000,28.2500
5,1,23,4efd009c,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.2500,51.7500,28.5000
6,1,23,a0f1dd11,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.1250,52.5000,29.3750
7,1,23,3972c8f7,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,5.0000,50.5000,28.5000
8,1,23,0046d49b,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.0000,51.5000,28.5000
9,1,23,ee9317a0,1,da06e5f8,2,33,B,34516,CHECK,CHECK_CALL,6.8750,53.0000,29.1250
0,2,23,fe505af2,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,4.1250,51.0000,30.1250
1,2,23,c45e331f,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.7500,52.7500,29.2500
2,2,23,709c1033,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,7.1250,52.2500,28.3750
3,2,23,d54abf74,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.7500,52.7500,29.2500
4,2,23,6a3eb861,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.5000,51.7500,28.5000
5,2,23,4efd009c,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.7500,52.0000,28.5000
6,2,23,a0f1dd11,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.2500,52.7500,29.7500
7,2,23,3972c8f7,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,5.2500,50.5000,28.5000
8,2,23,0046d49b,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,6.0000,51.5000,28.7500
9,2,23,ee9317a0,1,bd9a1555,2,33,B,34516,CHECK,CHECK_CALL,7.1250,53.2500,29.3750
0,3,23,fe505af2,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,1.2500,49.2500,30.3750
1,3,23,c45e331f,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,5.0000,51.7500,29.1250
2,3,23,709c1033,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,4.7500,51.0000,28.6250
3,3,23,d54abf74,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,4.7500,51.7500,29.3750
4,3,23,6a3eb861,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,4.2500,50.5000,28.6250
5,3,23,4efd009c,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,4.5000,50.7500,28.6250
6,3,23,a0f1dd11,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,4.1250,51.5000,29.7500
7,3,23,3972c8f7,1,c709b103,1,33,B,33,B,BET_RAISE,3.2500,49.5000,28.6250
8,3,23,0046d49b,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,3.7500,50.2500,28.8750
9,3,23,ee9317a0,1,c709b103,1,33,B,34516,CHECK,CHECK_CALL,5.1250,52.0000,29.2500
0,4,23,fe505af2,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,5.5000,51.0000,29.7500
1,4,23,c45e331f,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,8.1250,52.7500,28.8750
2,4,23,709c1033,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,8.1250,52.2500,28.3750
3,4,23,d54abf74,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,8.1250,52.7500,28.8750
4,4,23,6a3eb861,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,7.5000,51.5000,28.2500
5,4,23,4efd009c,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,8.0000,52.0000,28.2500
6,4,23,a0f1dd11,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,7.7500,52.7500,29.2500
7,4,23,3972c8f7,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,6.7500,50.7500,28.2500
8,4,23,0046d49b,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,7.3750,51.5000,28.3750
9,4,23,ee9317a0,1,52266f26,2,33,B,34516,CHECK,CHECK_CALL,8.3750,53.0000,28.8750
0,5,23,fe505af2,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,4.1250,50.7500,29.8750
1,5,23,c45e331f,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.8750,52.5000,28.8750
2,5,23,709c1033,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.8750,52.0000,28.3750
3,5,23,d54abf74,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.7500,52.5000,29.0000
4,5,23,6a3eb861,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.2500,51.2500,28.2500
5,5,23,4efd009c,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.6250,51.7500,28.3750
6,5,23,a0f1dd11,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.5000,52.5000,29.2500
7,5,23,3972c8f7,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,5.5000,50.5000,28.2500
8,5,23,0046d49b,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,6.0000,51.2500,28.5000
9,5,23,ee9317a0,1,20db8697,2,33,B,34516,CHECK,CHECK_CALL,7.1250,52.7500,28.8750
0,6,23,fe505af2,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,6.0000,51.0000,29.7500
1,6,23,c45e331f,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.2500,52.5000,29.0000
2,6,23,709c1033,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.6250,52.2500,28.3750
3,6,23,d54abf74,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.3750,52.7500,29.1250
4,6,23,6a3eb861,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.0000,51.5000,28.2500
5,6,23,4efd009c,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.1250,51.7500,28.3750
6,6,23,a0f1dd11,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.1250,52.7500,29.3750
7,6,23,3972c8f7,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,7.0000,50.5000,28.2500
8,6,23,0046d49b,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,7.6250,51.2500,28.3750
9,6,23,ee9317a0,1,6725ffbb,2,33,B,34516,CHECK,CHECK_CALL,8.6250,53.0000,29.1250
0,7,23,fe505af2,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,4.6250,51.0000,29.7500
1,7,23,c45e331f,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,7.3750,52.7500,28.7500
2,7,23,709c1033,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,7.5000,52.2500,28.1250
3,7,23,d54abf74,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,7.1250,52.7500,29.0000
4,7,23,6a3eb861,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,6.6250,51.5000,28.2500
5,7,23,4efd009c,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,7.1250,52.0000,28.2500
6,7,23,a0f1dd11,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,6.8750,52.7500,29.2500
7,7,23,3972c8f7,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,5.6250,50.5000,28.2500
8,7,23,0046d49b,1,578b67d8,2,33,B,34516,CHECK,CHECK_CALL,6.5000,51.2500,28.1250
