source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,7faa1a43,4,cee2584f,2,33,B,33,B,BET_RAISE,-15.6249,43.2501,43.0000
1,0,23,1590a950,4,cee2584f,2,33,B,37,F,FOLD,-16.3750,45.0000,45.5000
2,0,23,52266f26,4,cee2584f,2,33,B,34516,CHECK,CHECK_CALL,-15.3750,45.0000,44.5000
3,0,23,cee2584f,4,cee2584f,2,33,B,37,F,FOLD,-16.6250,44.0000,44.7500
4,0,23,d6cde40b,4,cee2584f,2,33,B,37,F,FOLD,-15.8750,43.7500,43.7500
5,0,23,87b56598,3,cee2584f,2,33,B,34516,CHECK,CHECK_CALL,-12.3750,46.5000,43.0000
6,0,23,c7c3de85,4,cee2584f,2,33,B,34516,CHECK,CHECK_CALL,-15.3750,44.7500,44.2500
7,0,23,c45e331f,4,cee2584f,2,33,B,37,F,FOLD,-16.8750,43.7500,44.7500
8,0,23,24b70fcd,4,cee2584f,2,33,B,37,F,FOLD,-16.6250,43.7500,44.5000
9,0,23,f375c41f,4,cee2584f,2,33,B,37,F,FOLD,-16.8750,45.0000,46.0000
0,1,23,7faa1a43,4,6f7b642f,2,33,B,33,B,BET_RAISE,-16.0000,43.5000,43.2500
1,1,23,1590a950,4,6f7b642f,2,33,B,37,F,FOLD,-16.7500,45.2500,45.7500
2,1,23,52266f26,4,6f7b642f,2,33,B,34516,CHECK,CHECK_CALL,-15.5000,45.5000,44.7500
3,1,23,cee2584f,4,6f7b642f,2,33,B,37,F,FOLD,-16.7500,44.5000,45.0000
4,1,23,d6cde40b,4,6f7b642f,2,33,B,34516,CHECK,CHECK_CALL,-16.0000,44.2500,44.0000
5,1,23,87b56598,3,6f7b642f,2,33,B,34516,CHECK,CHECK_CALL,-12.5000,47.0000,43.2500
6,1,23,c7c3de85,4,6f7b642f,2,33,B,34516,CHECK,CHECK_CALL,-15.7500,45.0000,44.5000
7,1,23,c45e331f,4,6f7b642f,2,33,B,37,F,FOLD,-17.0000,44.2500,45.0000
8,1,23,24b70fcd,4,6f7b642f,2,33,B,37,F,FOLD,-16.7500,44.2500,44.7500
9,1,23,f375c41f,4,6f7b642f,2,33,B,37,F,FOLD,-16.7500,45.5000,46.0000
0,2,23,7faa1a43,4,dde8fa29,2,33,B,33,B,BET_RAISE,-15.7500,43.5000,43.2500
1,2,23,1590a950,4,dde8fa29,2,33,B,37,F,FOLD,-16.2500,45.5000,45.7500
2,2,23,52266f26,4,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,-15.0000,45.7500,44.7500
3,2,23,cee2584f,4,dde8fa29,2,33,B,37,F,FOLD,-16.2500,44.7500,45.0000
4,2,23,d6cde40b,4,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,-15.7500,44.5000,44.2500
5,2,23,87b56598,3,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,-11.7500,47.2500,43.0000
6,2,23,c7c3de85,4,dde8fa29,2,33,B,34516,CHECK,CHECK_CALL,-15.2500,45.2500,44.5000
7,2,23,c45e331f,4,dde8fa29,2,33,B,37,F,FOLD,-16.5000,44.5000,45.0000
