source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,23,b3844031,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.8750,48.0000,53.2500
1,0,23,9725ef71,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.3750,46.2500,51.0000
2,0,23,3859ee0f,4,9725ef71,1,34516,CHECK,37,F,FOLD,-31.8750,49.2500,51.5000
3,0,23,ce46133c,7,9725ef71,1,34516,CHECK,37,F,FOLD,-34.3750,48.7500,53.5000
4,0,23,a2111ba9,4,9725ef71,1,34516,CHECK,37,F,FOLD,-33.3750,49.0000,52.7500
5,0,23,d1f0e911,10,9725ef71,1,34516,CHECK,37,F,FOLD,-32.6250,48.7500,51.7500
6,0,23,f7ea517a,4,9725ef71,1,34516,CHECK,37,F,FOLD,-29.8750,49.5000,49.7500
7,0,23,5aea9c50,8,9725ef71,1,34516,CHECK,37,F,FOLD,-34.6250,47.0000,52.0000
8,0,23,43139c45,1,9725ef71,1,34516,CHECK,37,F,FOLD,-32.8750,47.5000,50.7500
9,0,23,4a1a54b9,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.1250,48.7500,53.2500
0,1,23,b3844031,4,f609facc,5,34516,CHECK,37,F,FOLD,-31.3750,47.5000,52.0000
1,1,23,9725ef71,4,f609facc,5,34516,CHECK,37,F,FOLD,-30.3750,45.7500,49.2500
2,1,23,3859ee0f,4,f609facc,5,34516,CHECK,37,F,FOLD,-27.8750,49.0000,50.0000
3,1,23,ce46133c,7,f609facc,5,34516,CHECK,37,F,FOLD,-30.8750,48.2500,52.2500
4,1,23,a2111ba9,4,f609facc,5,34516,CHECK,37,F,FOLD,-30.3750,48.5000,52.0000
5,1,23,d1f0e911,10,f609facc,5,34516,CHECK,37,F,FOLD,-29.3750,48.0000,50.5000
6,1,23,f7ea517a,4,f609facc,5,34516,CHECK,34516,CHECK,CHECK_CALL,-26.1250,48.7500,48.0000
7,1,23,5aea9c50,8,f609facc,5,34516,CHECK,37,F,FOLD,-31.3750,46.2500,50.7500
8,1,23,43139c45,1,f609facc,5,34516,CHECK,37,F,FOLD,-31.1250,45.7500,50.0000
9,1,23,4a1a54b9,4,f609facc,5,34516,CHECK,37,F,FOLD,-31.1250,47.7500,52.0000
0,2,23,b3844031,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-27.0000,47.7500,53.2500
1,2,23,9725ef71,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-26.2500,46.0000,50.7500
2,2,23,3859ee0f,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-24.0000,49.2500,51.7500
3,2,23,ce46133c,7,d8ec4550,10,34516,CHECK,37,F,FOLD,-27.0000,48.5000,54.0000
4,2,23,a2111ba9,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-26.0000,48.7500,53.2500
5,2,23,d1f0e911,10,d8ec4550,10,34516,CHECK,37,F,FOLD,-24.7500,48.5000,51.7500
6,2,23,f7ea517a,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-23.0000,48.5000,50.0000
7,2,23,5aea9c50,8,d8ec4550,10,34516,CHECK,37,F,FOLD,-26.7500,47.0000,52.2500
8,2,23,43139c45,1,d8ec4550,10,34516,CHECK,37,F,FOLD,-26.7500,46.5000,51.7500
9,2,23,4a1a54b9,4,d8ec4550,10,34516,CHECK,37,F,FOLD,-27.2500,48.0000,53.7500
0,3,23,b3844031,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-31.2500,48.0000,54.2500
1,3,23,9725ef71,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-31.0000,46.0000,52.0000
2,3,23,3859ee0f,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-28.2500,49.2500,52.5000
3,3,23,ce46133c,7,d196f8b2,1,34516,CHECK,37,F,FOLD,-31.5000,48.2500,54.7500
4,3,23,a2111ba9,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-30.7500,48.5000,54.2500
5,3,23,d1f0e911,10,d196f8b2,1,34516,CHECK,37,F,FOLD,-29.0000,48.7500,52.7500
6,3,23,f7ea517a,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-26.5000,49.2500,50.7500
7,3,23,5aea9c50,8,d196f8b2,1,34516,CHECK,37,F,FOLD,-31.5000,46.5000,53.0000
8,3,23,43139c45,1,d196f8b2,1,34516,CHECK,37,F,FOLD,-30.7500,47.0000,52.7500
9,3,23,4a1a54b9,4,d196f8b2,1,34516,CHECK,37,F,FOLD,-31.5000,48.0000,54.5000
0,4,23,b3844031,4,53989457,1,34516,CHECK,37,F,FOLD,-31.0000,47.7500,54.2500
1,4,23,9725ef71,4,53989457,1,34516,CHECK,37,F,FOLD,-31.0000,45.2500,51.7500
2,4,23,3859ee0f,4,53989457,1,34516,CHECK,37,F,FOLD,-28.2500,48.7500,52.5000
3,4,23,ce46133c,7,53989457,1,34516,CHECK,37,F,FOLD,-31.2500,48.0000,54.7500
4,4,23,a2111ba9,4,53989457,1,34516,CHECK,37,F,FOLD,-30.5000,48.2500,54.2500
5,4,23,d1f0e911,10,53989457,1,34516,CHECK,37,F,FOLD,-28.7500,48.5000,52.7500
6,4,23,f7ea517a,4,53989457,1,34516,CHECK,37,F,FOLD,-26.0000,49.0000,50.5000
7,4,23,5aea9c50,8,53989457,1,34516,CHECK,37,F,FOLD,-31.0000,46.2500,52.7500
8,4,23,43139c45,1,53989457,1,34516,CHECK,37,F,FOLD,-30.7500,46.5000,52.7500
9,4,23,4a1a54b9,4,53989457,1,34516,CHECK,37,F,FOLD,-31.2500,47.5000,54.2500
0,5,23,b3844031,4,480983ce,1,34516,CHECK,37,F,FOLD,-34.8750,48.0000,53.2500
1,5,23,9725ef71,4,480983ce,1,34516,CHECK,37,F,FOLD,-34.6250,46.0000,51.0000
2,5,23,3859ee0f,4,480983ce,1,34516,CHECK,37,F,FOLD,-32.1250,49.2500,51.7500
3,5,23,ce46133c,7,480983ce,1,34516,CHECK,37,F,FOLD,-34.3750,48.7500,53.5000
4,5,23,a2111ba9,4,480983ce,1,34516,CHECK,37,F,FOLD,-33.6250,49.0000,53.0000
5,5,23,d1f0e911,10,480983ce,1,34516,CHECK,37,F,FOLD,-32.6250,48.7500,51.7500
6,5,23,f7ea517a,4,480983ce,1,34516,CHECK,37,F,FOLD,-30.1250,49.2500,49.7500
7,5,23,5aea9c50,8,480983ce,1,34516,CHECK,37,F,FOLD,-34.6250,46.7500,51.7500
8,5,23,43139c45,1,480983ce,1,34516,CHECK,37,F,FOLD,-33.3750,47.2500,51.0000
9,5,23,4a1a54b9,4,480983ce,1,34516,CHECK,37,F,FOLD,-34.6250,48.5000,53.5000
0,6,23,b3844031,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-33.8750,47.0000,53.7500
1,6,23,9725ef71,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-32.3749,45.5001,50.7500
2,6,23,3859ee0f,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-30.3750,48.5000,51.7500
3,6,23,ce46133c,7,ac6bf826,4,34516,CHECK,37,F,FOLD,-34.3750,47.2500,54.5000
4,6,23,a2111ba9,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-32.8750,47.7500,53.5000
5,6,23,d1f0e911,10,ac6bf826,4,34516,CHECK,37,F,FOLD,-30.6250,48.2500,51.7500
6,6,23,f7ea517a,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-28.6247,47.5003,49.0000
7,6,23,5aea9c50,8,ac6bf826,4,34516,CHECK,37,F,FOLD,-33.8750,45.7500,52.5000
8,6,23,43139c45,1,ac6bf826,4,34516,CHECK,37,F,FOLD,-33.6249,46.0001,52.5000
9,6,23,4a1a54b9,4,ac6bf826,4,34516,CHECK,37,F,FOLD,-34.1250,47.0000,54.0000
0,7,23,b3844031,4,06e411f7,4,34516,CHECK,37,F,FOLD,-28.5000,48.0000,54.2500
1,7,23,9725ef71,4,06e411f7,4,34516,CHECK,37,F,FOLD,-27.5000,46.5000,51.7500
2,7,23,3859ee0f,4,06e411f7,4,34516,CHECK,37,F,FOLD,-25.7500,49.2500,52.7500
3,7,23,ce46133c,7,06e411f7,4,34516,CHECK,37,F,FOLD,-29.0000,48.2500,55.0000
4,7,23,a2111ba9,4,06e411f7,4,34516,CHECK,37,F,FOLD,-27.5000,48.7500,54.0000
5,7,23,d1f0e911,10,06e411f7,4,34516,CHECK,37,F,FOLD,-26.5000,48.7500,53.0000
6,7,23,f7ea517a,4,06e411f7,4,34516,CHECK,37,F,FOLD,-23.5000,49.2500,50.5000
7,7,23,5aea9c50,8,06e411f7,4,34516,CHECK,37,F,FOLD,-28.5000,47.0000,53.2500
8,7,23,43139c45,1,06e411f7,4,34516,CHECK,37,F,FOLD,-28.0000,47.0000,52.7500
9,7,23,4a1a54b9,4,06e411f7,4,34516,CHECK,37,F,FOLD,-28.7500,48.0000,54.5000
0,8,23,b3844031,4,6feeea22,7,34516,CHECK,37,F,FOLD,-35.0000,46.0000,52.0000
1,8,23,9725ef71,4,6feeea22,7,34516,CHECK,37,F,FOLD,-34.4999,43.7501,49.2500
2,8,23,3859ee0f,4,6feeea22,7,34516,CHECK,37,F,FOLD,-31.5000,47.7500,50.2500
3,8,23,ce46133c,7,6feeea22,7,34516,CHECK,37,F,FOLD,-34.5000,47.0000,52.5000
4,8,23,a2111ba9,4,6feeea22,7,34516,CHECK,37,F,FOLD,-33.5000,47.5000,52.0000
5,8,23,d1f0e911,10,6feeea22,7,34516,CHECK,37,F,FOLD,-32.7500,46.7500,50.5000
6,8,23,f7ea517a,4,6feeea22,7,34516,CHECK,37,F,FOLD,-29.5000,47.7500,48.2500
7,8,23,5aea9c50,8,6feeea22,7,34516,CHECK,37,F,FOLD,-35.2500,44.7500,51.0000
8,8,23,43139c45,1,6feeea22,7,34516,CHECK,37,F,FOLD,-34.9998,44.2502,50.2500
9,8,23,4a1a54b9,4,6feeea22,7,34516,CHECK,37,F,FOLD,-34.2500,46.7500,52.0000
0,9,23,b3844031,4,d8ec4550,13,34516,CHECK,37,F,FOLD,-27.0000,47.5000,53.2500
1,9,23,9725ef71,4,d8ec4550,13,34516,CHECK,37,F,FOLD,-25.9999,45.7501,50.5000
2,9,23,3859ee0f,4,d8ec4550,13,34516,CHECK,37,F,FOLD,-24.2500,48.7500,51.7500
