source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
1,0,0,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
2,0,0,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,0.2500,42.5000,52.7500
3,0,0,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
4,0,0,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,0.2500,42.5000,52.7500
5,0,0,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
6,0,0,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,0,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
8,0,0,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
9,0,0,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
0,0,1,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,1,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
2,0,1,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
3,0,1,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
4,0,1,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
5,0,1,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
6,0,1,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,1,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
8,0,1,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
9,0,1,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
0,0,2,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,2,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
2,0,2,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,0.2500,42.5000,52.7500
3,0,2,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
4,0,2,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
5,0,2,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
6,0,2,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,2,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
8,0,2,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
9,0,2,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
0,0,3,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
1,0,3,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
2,0,3,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
3,0,3,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
4,0,3,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
5,0,3,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
6,0,3,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,3,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
8,0,3,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,0.2500,42.5000,52.7500
9,0,3,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
0,0,4,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
1,0,4,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
2,0,4,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
3,0,4,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
4,0,4,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
5,0,4,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.5000,42.0000,53.0000
6,0,4,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
7,0,4,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
8,0,4,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
9,0,4,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
0,0,5,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,5,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
2,0,5,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
3,0,5,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
4,0,5,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
5,0,5,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
6,0,5,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,5,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
8,0,5,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
9,0,5,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
0,0,6,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,6,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
2,0,6,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
3,0,6,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
4,0,6,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
5,0,6,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
6,0,6,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
7,0,6,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
8,0,6,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,0.2500,42.5000,52.7500
9,0,6,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
0,0,7,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,7,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
2,0,7,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
3,0,7,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
4,0,7,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
5,0,7,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
6,0,7,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,7,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
8,0,7,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
9,0,7,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
0,0,8,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
1,0,8,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
2,0,8,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
3,0,8,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
4,0,8,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
5,0,8,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
6,0,8,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
7,0,8,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
8,0,8,22ae7085,2,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
9,0,8,6feeea22,14,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
0,0,9,cf42b2d6,9,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
1,0,9,c6562698,5,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
2,0,9,469e2d77,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
3,0,9,707d6378,8,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
4,0,9,5e3fe5b6,4,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
5,0,9,4a5b77ce,1,e70ecc70,5,37,F,37,F,FOLD,-0.2500,42.2500,53.0000
6,0,9,5aea9c50,2,e70ecc70,5,37,F,37,F,FOLD,0.0000,42.2500,52.7500
7,0,9,06e411f7,4,e70ecc70,5,37,F,37,F,FOLD,-0.0000,42.2500,52.7500
