source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,16,b3844031,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.6250,56.5000,26.3750
1,0,16,9725ef71,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.2500,56.5000,26.7500
2,0,16,3859ee0f,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.6250,56.5000,26.3750
3,0,16,ce46133c,7,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.7500,56.7500,26.5000
4,0,16,a2111ba9,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.3750,56.5000,26.6250
5,0,16,d1f0e911,10,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.5000,56.5000,26.5000
6,0,16,f7ea517a,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.5000,56.5000,26.5000
7,0,16,5aea9c50,8,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.1250,56.2500,26.6250
8,0,16,43139c45,1,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.3750,56.5000,26.6250
9,0,16,4a1a54b9,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,0.3750,56.5000,26.6250
0,0,20,b3844031,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.6250,55.5000,31.6250
1,0,20,9725ef71,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-4.6250,54.7500,29.8750
2,0,20,3859ee0f,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.8750,55.2500,31.6250
3,0,20,ce46133c,7,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-9.7500,54.7500,35.0000
4,0,20,a2111ba9,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.5000,55.2500,31.2500
5,0,20,d1f0e911,10,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.5000,55.2500,31.2500
6,0,20,f7ea517a,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.0000,55.2500,30.7500
7,0,20,5aea9c50,8,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-7.5000,54.7500,32.7500
8,0,20,43139c45,1,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-7.7500,54.5000,32.7500
9,0,20,4a1a54b9,4,9725ef71,1,34516,CHECK,34516,CHECK,CHECK_CALL,-5.1250,55.2500,30.8750
0,0,24,b3844031,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.7500,48.5000,53.7500
1,0,24,9725ef71,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.5000,47.0000,52.0000
2,0,24,3859ee0f,4,9725ef71,1,34516,CHECK,37,F,FOLD,-31.7500,50.0000,52.2500
3,0,24,ce46133c,7,9725ef71,1,34516,CHECK,37,F,FOLD,-34.7500,49.2500,54.5000
4,0,24,a2111ba9,4,9725ef71,1,34516,CHECK,37,F,FOLD,-33.7500,49.2500,53.5000
5,0,24,d1f0e911,10,9725ef71,1,34516,CHECK,37,F,FOLD,-32.0000,49.7500,52.2500
6,0,24,f7ea517a,4,9725ef71,1,34516,CHECK,37,F,FOLD,-31.5000,49.2500,51.2500
7,0,24,5aea9c50,8,9725ef71,1,34516,CHECK,37,F,FOLD,-34.2500,48.2500,53.0000
8,0,24,43139c45,1,9725ef71,1,34516,CHECK,37,F,FOLD,-33.7500,47.5000,51.7500
9,0,24,4a1a54b9,4,9725ef71,1,34516,CHECK,37,F,FOLD,-34.5000,48.7500,53.7500
0,0,30,b3844031,4,9725ef71,1,34516,CHECK,37,F,FOLD,-50.4991,36.5009,57.5000
1,0,30,9725ef71,4,9725ef71,1,34516,CHECK,37,F,FOLD,-47.9948,36.5052,55.0000
2,0,30,3859ee0f,4,9725ef71,1,34516,CHECK,37,F,FOLD,-47.9998,38.7502,57.2500
