source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,0,06e411f7,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
1,0,0,dae9eb14,8,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
2,0,0,72aac9ae,2,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
3,0,0,1ce81815,4,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
4,0,0,d93aa408,2,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
5,0,0,65ebed4a,10,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
6,0,0,6feeea22,11,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
7,0,0,dae9eb14,5,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
8,0,0,591b738e,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
9,0,0,320d3052,1,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
0,0,1,06e411f7,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
1,0,1,dae9eb14,8,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
2,0,1,72aac9ae,2,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
3,0,1,1ce81815,4,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
4,0,1,d93aa408,2,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
5,0,1,65ebed4a,10,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
6,0,1,6feeea22,11,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
7,0,1,dae9eb14,5,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
8,0,1,591b738e,4,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
9,0,1,320d3052,1,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
0,0,2,06e411f7,4,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
1,0,2,dae9eb14,8,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
2,0,2,72aac9ae,2,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
3,0,2,1ce81815,4,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
4,0,2,d93aa408,2,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
5,0,2,65ebed4a,10,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
6,0,2,6feeea22,11,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
7,0,2,dae9eb14,5,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
8,0,2,591b738e,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
9,0,2,320d3052,1,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
0,0,3,06e411f7,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
1,0,3,dae9eb14,8,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
2,0,3,72aac9ae,2,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
3,0,3,1ce81815,4,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
4,0,3,d93aa408,2,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
5,0,3,65ebed4a,10,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
6,0,3,6feeea22,11,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
7,0,3,dae9eb14,5,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
8,0,3,591b738e,4,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
9,0,3,320d3052,1,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
0,0,4,06e411f7,4,a3eaa604,2,37,F,37,F,FOLD,0.0000,42.5000,53.0000
1,0,4,dae9eb14,8,a3eaa604,2,37,F,37,F,FOLD,-0.2500,42.5000,53.2500
2,0,4,72aac9ae,2,a3eaa604,2,37,F,37,F,FOLD,-0.0000,42.5000,53.0000
