source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,18,f609facc,1,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,0.5000,52.5000,33.0000
1,0,18,c6562698,3,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-1.0000,51.5000,33.5000
2,0,18,0e6ac380,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,0.2500,52.0000,32.7500
3,0,18,41b11c37,4,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-1.0000,51.7500,33.7500
4,0,18,1406ef20,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,1.2500,53.0000,32.7500
5,0,18,a2d2e6ad,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,1.5000,53.5000,33.0000
6,0,18,bf90fe40,1,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,2.2500,53.7500,32.5000
7,0,18,adc8f88e,4,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-0.0000,52.0000,33.0000
8,0,18,314ed480,3,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,0.5000,52.5000,33.0000
9,0,18,591b738e,12,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-0.0000,52.0000,33.0000
0,0,20,f609facc,1,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,1.5000,52.7500,32.2500
1,0,20,c6562698,3,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-3.7500,50.7500,35.5000
2,0,20,0e6ac380,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,1.0000,52.5000,32.5000
3,0,20,41b11c37,4,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-2.7500,51.0000,34.7500
4,0,20,1406ef20,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,1.0000,53.0000,33.0000
5,0,20,a2d2e6ad,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,0.2500,52.5000,33.2500
6,0,20,bf90fe40,1,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,0.7500,53.2500,33.5000
7,0,20,adc8f88e,4,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-2.7500,50.7500,34.5000
8,0,20,314ed480,3,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-0.7500,52.5000,34.2500
9,0,20,591b738e,12,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-2.2500,51.0000,34.2500
0,0,22,f609facc,1,6feeea22,14,34516,CHECK,33,B,BET_RAISE,-0.6250,47.0000,28.6250
1,0,22,c6562698,3,6feeea22,14,34516,CHECK,33,B,BET_RAISE,-3.7499,46.2501,31.0000
2,0,22,0e6ac380,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,4.2500,52.0000,28.7500
3,0,22,41b11c37,4,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,-0.0000,49.7500,30.7500
4,0,22,1406ef20,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,4.6250,52.0000,28.3750
5,0,22,a2d2e6ad,2,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,4.8750,52.5000,28.6250
6,0,22,bf90fe40,1,6feeea22,14,34516,CHECK,34516,CHECK,CHECK_CALL,3.2500,52.0000,29.7500
