source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,18,b3844031,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.2500,45.2500,27.8750
1,0,18,9725ef71,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.8750,44.7500,28.0000
2,0,18,3859ee0f,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.0000,44.7500,28.1250
3,0,18,ce46133c,7,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.2500,44.2500,27.8750
4,0,18,a2111ba9,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.5000,45.0000,27.8750
5,0,18,d1f0e911,10,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.2500,44.5000,28.1250
6,0,18,f7ea517a,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.8750,43.7500,28.0000
7,0,18,5aea9c50,8,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.6250,43.7500,27.7500
8,0,18,43139c45,1,4d3e28cf,2,33,B,33,B,BET_RAISE,-2.0000,43.2500,27.6250
9,0,18,4a1a54b9,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.0000,44.2500,27.6250
0,0,20,b3844031,4,4d3e28cf,2,33,B,33,B,BET_RAISE,0.7500,48.2500,29.8750
1,0,20,9725ef71,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.7500,46.0000,29.1250
2,0,20,3859ee0f,4,4d3e28cf,2,33,B,33,B,BET_RAISE,1.8750,49.7500,30.2500
3,0,20,ce46133c,7,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.7500,47.5000,31.6250
4,0,20,a2111ba9,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.2500,46.7500,29.3750
5,0,20,d1f0e911,10,4d3e28cf,2,33,B,33,B,BET_RAISE,1.1250,48.7500,30.0000
6,0,20,f7ea517a,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.3750,46.7500,29.5000
7,0,20,5aea9c50,8,4d3e28cf,2,33,B,33,B,BET_RAISE,-1.3750,46.5000,30.2500
8,0,20,43139c45,1,4d3e28cf,2,33,B,33,B,BET_RAISE,-0.6250,46.5000,29.5000
9,0,20,4a1a54b9,4,4d3e28cf,2,33,B,33,B,BET_RAISE,1.7500,48.2500,28.8750
0,0,22,b3844031,4,4d3e28cf,2,33,B,37,F,FOLD,-22.1250,45.0000,49.5000
1,0,22,9725ef71,4,4d3e28cf,2,33,B,33,B,BET_RAISE,-17.6250,43.5000,43.5000
2,0,22,3859ee0f,4,4d3e28cf,2,33,B,34516,CHECK,CHECK_CALL,-16.8750,47.5000,46.7500
3,0,22,ce46133c,7,4d3e28cf,2,33,B,37,F,FOLD,-24.6250,43.0000,50.0000
