source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,18,f609facc,1,43139c45,1,37,F,37,F,FOLD,2.9660,36.2541,55.0000
1,0,18,c6562698,3,43139c45,1,37,F,37,F,FOLD,1.4687,36.5067,56.7500
2,0,18,0e6ac380,2,43139c45,1,37,F,37,F,FOLD,2.2261,36.2642,55.7500
3,0,18,41b11c37,4,43139c45,1,37,F,37,F,FOLD,1.7156,36.7536,56.7500
4,0,18,1406ef20,2,43139c45,1,37,F,37,F,FOLD,2.4644,37.5025,56.7500
5,0,18,a2d2e6ad,2,43139c45,1,37,F,37,F,FOLD,1.9644,37.5025,57.2500
6,0,18,bf90fe40,1,43139c45,1,37,F,37,F,FOLD,3.2137,37.7517,56.2500
7,0,18,adc8f88e,4,43139c45,1,37,F,37,F,FOLD,0.2151,36.5032,58.0000
8,0,18,314ed480,3,43139c45,1,37,F,37,F,FOLD,1.9656,37.0036,56.7500
9,0,18,591b738e,12,43139c45,1,37,F,37,F,FOLD,1.9706,36.7586,56.5000
0,0,20,f609facc,1,43139c45,1,37,F,37,F,FOLD,8.9620,40.2501,53.0000
1,0,20,c6562698,3,43139c45,1,37,F,37,F,FOLD,7.9687,37.7567,51.5000
2,0,20,0e6ac380,2,43139c45,1,37,F,37,F,FOLD,8.7121,40.7502,53.7500
3,0,20,41b11c37,4,43139c45,1,37,F,37,F,FOLD,8.4624,39.0005,52.2500
4,0,20,1406ef20,2,43139c45,1,37,F,37,F,FOLD,7.9621,40.7501,54.5000
5,0,20,a2d2e6ad,2,43139c45,1,37,F,37,F,FOLD,8.7120,41.0001,54.0000
6,0,20,bf90fe40,1,43139c45,1,37,F,37,F,FOLD,7.7121,39.7501,53.7500
7,0,20,adc8f88e,4,43139c45,1,37,F,37,F,FOLD,8.7160,39.0041,52.0000
8,0,20,314ed480,3,43139c45,1,37,F,37,F,FOLD,7.9623,39.5003,53.2500
9,0,20,591b738e,12,43139c45,1,37,F,37,F,FOLD,7.7139,39.0019,53.0000
0,0,22,f609facc,1,43139c45,1,37,F,33,B,BET_RAISE,25.4620,43.5000,39.7500
1,0,22,c6562698,3,43139c45,1,37,F,33,B,BET_RAISE,19.7135,41.7515,43.7500
2,0,22,0e6ac380,2,43139c45,1,37,F,34516,CHECK,CHECK_CALL,24.7120,48.5000,45.5000
3,0,22,41b11c37,4,43139c45,1,37,F,33,B,BET_RAISE,25.2120,46.2500,42.7500
4,0,22,1406ef20,2,43139c45,1,37,F,33,B,BET_RAISE,22.4620,46.7500,46.0000
5,0,22,a2d2e6ad,2,43139c45,1,37,F,34516,CHECK,CHECK_CALL,24.4620,48.5000,45.7500
6,0,22,bf90fe40,1,43139c45,1,37,F,37,F,FOLD,18.4620,45.2500,48.5000
7,0,22,adc8f88e,4,43139c45,1,37,F,37,F,FOLD,17.2120,43.0001,47.5000
8,0,22,314ed480,3,43139c45,1,37,F,37,F,FOLD,15.2120,42.7500,49.2500
9,0,22,591b738e,12,43139c45,1,37,F,37,F,FOLD,13.4620,42.2501,50.5000
0,0,24,f609facc,1,43139c45,1,37,F,33,B,BET_RAISE,25.4620,38.5000,34.7500
1,0,24,c6562698,3,43139c45,1,37,F,33,B,BET_RAISE,22.2133,37.2513,36.7500
2,0,24,0e6ac380,2,43139c45,1,37,F,34516,CHECK,CHECK_CALL,32.7120,50.2500,39.2500
3,0,24,41b11c37,4,43139c45,1,37,F,33,B,BET_RAISE,27.2120,44.5000,39.0000
4,0,24,1406ef20,2,43139c45,1,37,F,33,B,BET_RAISE,30.9620,47.7500,38.5000
5,0,24,a2d2e6ad,2,43139c45,1,37,F,34516,CHECK,CHECK_CALL,34.4620,50.2500,37.5000
6,0,24,bf90fe40,1,43139c45,1,37,F,33,B,BET_RAISE,26.2120,43.7500,39.2500
7,0,24,adc8f88e,4,43139c45,1,37,F,33,B,BET_RAISE,24.7120,44.0000,41.0000
8,0,24,314ed480,3,43139c45,1,37,F,33,B,BET_RAISE,20.7121,40.2501,41.2500
9,0,24,591b738e,12,43139c45,1,37,F,33,B,BET_RAISE,21.4620,43.0001,43.2500
0,0,30,f609facc,1,43139c45,1,37,F,33,B,BET_RAISE,27.0870,35.7500,30.3750
1,0,30,c6562698,3,43139c45,1,37,F,33,B,BET_RAISE,23.9656,33.7536,31.5000
2,0,30,0e6ac380,2,43139c45,1,37,F,33,B,BET_RAISE,39.0870,49.0000,31.6250
3,0,30,41b11c37,4,43139c45,1,37,F,33,B,BET_RAISE,29.9620,42.2500,34.0000
4,0,30,1406ef20,2,43139c45,1,37,F,33,B,BET_RAISE,35.4620,45.5000,31.7500
5,0,30,a2d2e6ad,2,43139c45,1,37,F,33,B,BET_RAISE,39.2120,48.0000,30.5000
6,0,30,bf90fe40,1,43139c45,1,37,F,33,B,BET_RAISE,30.9620,42.2500,33.0000
7,0,30,adc8f88e,4,43139c45,1,37,F,33,B,BET_RAISE,29.4620,40.2500,32.5000
8,0,30,314ed480,3,43139c45,1,37,F,33,B,BET_RAISE,22.4666,33.5046,32.7500
9,0,30,591b738e,12,43139c45,1,37,F,33,B,BET_RAISE,28.8374,38.2505,31.1250
0,1,18,f609facc,1,4a1a54b9,4,37,F,37,F,FOLD,2.2476,35.7508,58.5000
1,1,18,c6562698,3,4a1a54b9,4,37,F,37,F,FOLD,1.7490,35.5022,58.7500
2,1,18,0e6ac380,2,4a1a54b9,4,37,F,37,F,FOLD,2.2479,36.0010,58.7500
3,1,18,41b11c37,4,4a1a54b9,4,37,F,37,F,FOLD,1.7477,35.7509,59.0000
4,1,18,1406ef20,2,4a1a54b9,4,37,F,37,F,FOLD,2.4974,36.5006,59.0000
5,1,18,a2d2e6ad,2,4a1a54b9,4,37,F,37,F,FOLD,1.4972,36.2504,59.7500
6,1,18,bf90fe40,1,4a1a54b9,4,37,F,37,F,FOLD,2.7472,36.7504,59.0000
7,1,18,adc8f88e,4,4a1a54b9,4,37,F,37,F,FOLD,1.2481,35.2513,59.0000
8,1,18,314ed480,3,4a1a54b9,4,37,F,37,F,FOLD,1.9988,35.7519,58.7500
9,1,18,591b738e,12,4a1a54b9,4,37,F,37,F,FOLD,1.9990,35.7522,58.7500
0,1,20,f609facc,1,4a1a54b9,4,37,F,37,F,FOLD,10.9968,40.2500,54.2500
1,1,20,c6562698,3,4a1a54b9,4,37,F,37,F,FOLD,9.7480,37.5012,52.7500
2,1,20,0e6ac380,2,4a1a54b9,4,37,F,37,F,FOLD,6.9972,38.0003,56.0000
3,1,20,41b11c37,4,4a1a54b9,4,37,F,37,F,FOLD,7.7475,36.7507,54.0000
4,1,20,1406ef20,2,4a1a54b9,4,37,F,37,F,FOLD,6.9969,39.0001,57.0000
5,1,20,a2d2e6ad,2,4a1a54b9,4,37,F,37,F,FOLD,7.4969,38.7501,56.2500
6,1,20,bf90fe40,1,4a1a54b9,4,37,F,37,F,FOLD,7.7469,38.5000,55.7500
7,1,20,adc8f88e,4,4a1a54b9,4,37,F,37,F,FOLD,8.0035,36.5067,53.5000
8,1,20,314ed480,3,4a1a54b9,4,37,F,37,F,FOLD,9.2469,39.0001,54.7500
9,1,20,591b738e,12,4a1a54b9,4,37,F,37,F,FOLD,7.4996,37.0028,54.5000
0,1,22,f609facc,1,4a1a54b9,4,37,F,33,B,BET_RAISE,30.2468,46.0000,40.7500
1,1,22,c6562698,3,4a1a54b9,4,37,F,33,B,BET_RAISE,24.4969,44.0001,44.5000
2,1,22,0e6ac380,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,28.9968,49.0000,45.0000
3,1,22,41b11c37,4,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,30.4968,48.0000,42.5000
4,1,22,1406ef20,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,28.7468,48.2500,44.5000
5,1,22,a2d2e6ad,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,28.4968,49.0000,45.5000
6,1,22,bf90fe40,1,4a1a54b9,4,37,F,37,F,FOLD,23.9968,46.7500,47.7500
7,1,22,adc8f88e,4,4a1a54b9,4,37,F,37,F,FOLD,19.9968,43.5000,48.5000
8,1,22,314ed480,3,4a1a54b9,4,37,F,37,F,FOLD,18.9968,43.5000,49.5000
9,1,22,591b738e,12,4a1a54b9,4,37,F,37,F,FOLD,16.7468,42.5000,50.7500
0,1,24,f609facc,1,4a1a54b9,4,37,F,33,B,BET_RAISE,30.9968,41.2500,35.2500
1,1,24,c6562698,3,4a1a54b9,4,37,F,33,B,BET_RAISE,27.2473,39.0005,36.7500
2,1,24,0e6ac380,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,37.4968,50.5000,38.0000
3,1,24,41b11c37,4,4a1a54b9,4,37,F,33,B,BET_RAISE,32.4968,46.2500,38.7500
4,1,24,1406ef20,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,36.7468,49.2500,37.5000
5,1,24,a2d2e6ad,2,4a1a54b9,4,37,F,34516,CHECK,CHECK_CALL,39.2468,50.7500,36.5000
6,1,24,bf90fe40,1,4a1a54b9,4,37,F,33,B,BET_RAISE,30.9968,45.5000,39.5000
7,1,24,adc8f88e,4,4a1a54b9,4,37,F,33,B,BET_RAISE,29.4968,45.2500,40.7500
8,1,24,314ed480,3,4a1a54b9,4,37,F,33,B,BET_RAISE,25.9968,42.2500,41.2500
9,1,24,591b738e,12,4a1a54b9,4,37,F,33,B,BET_RAISE,26.7468,44.2500,42.5000
0,1,30,f609facc,1,4a1a54b9,4,37,F,33,B,BET_RAISE,30.8718,36.7500,30.8750
1,1,30,c6562698,3,4a1a54b9,4,37,F,33,B,BET_RAISE,27.0004,34.0036,32.0000
2,1,30,0e6ac380,2,4a1a54b9,4,37,F,33,B,BET_RAISE,42.2468,49.0000,31.7500
3,1,30,41b11c37,4,4a1a54b9,4,37,F,33,B,BET_RAISE,33.4968,42.7500,34.2500
4,1,30,1406ef20,2,4a1a54b9,4,37,F,33,B,BET_RAISE,39.2468,46.0000,31.7500
5,1,30,a2d2e6ad,2,4a1a54b9,4,37,F,33,B,BET_RAISE,42.4968,48.0000,30.5000
6,1,30,bf90fe40,1,4a1a54b9,4,37,F,33,B,BET_RAISE,34.4968,42.7500,33.2500
7,1,30,adc8f88e,4,4a1a54b9,4,37,F,33,B,BET_RAISE,32.4968,40.5000,33.0000
8,1,30,314ed480,3,4a1a54b9,4,37,F,33,B,BET_RAISE,25.7514,34.0046,33.2500
9,1,30,591b738e,12,4a1a54b9,4,37,F,33,B,BET_RAISE,32.3723,38.5004,31.1250
0,2,18,f609facc,1,60fe9303,13,37,F,37,F,FOLD,0.7495,40.2501,56.7500
1,2,18,c6562698,3,60fe9303,13,37,F,37,F,FOLD,-0.0000,39.0006,56.2500
2,2,18,0e6ac380,2,60fe9303,13,37,F,37,F,FOLD,-0.0004,39.7502,57.0000
3,2,18,41b11c37,4,60fe9303,13,37,F,37,F,FOLD,-0.0003,39.2503,56.5000
4,2,18,1406ef20,2,60fe9303,13,37,F,37,F,FOLD,0.2496,40.0002,57.0000
5,2,18,a2d2e6ad,2,60fe9303,13,37,F,37,F,FOLD,-0.5005,40.0001,57.7500
6,2,18,bf90fe40,1,60fe9303,13,37,F,37,F,FOLD,0.2494,40.5001,57.5000
7,2,18,adc8f88e,4,60fe9303,13,37,F,37,F,FOLD,-0.5002,39.2504,57.0000
8,2,18,314ed480,3,60fe9303,13,37,F,37,F,FOLD,-0.0001,39.2506,56.5000
9,2,18,591b738e,12,60fe9303,13,37,F,37,F,FOLD,0.2503,39.2509,56.2500
0,2,20,f609facc,1,60fe9303,13,37,F,37,F,FOLD,9.7494,44.0000,51.5000
1,2,20,c6562698,3,60fe9303,13,37,F,37,F,FOLD,5.9996,40.5003,51.7500
2,2,20,0e6ac380,2,60fe9303,13,37,F,37,F,FOLD,7.4994,43.5000,53.2500
3,2,20,41b11c37,4,60fe9303,13,37,F,37,F,FOLD,8.9994,42.5000,50.7500
4,2,20,1406ef20,2,60fe9303,13,37,F,37,F,FOLD,6.2494,43.2500,54.2500
5,2,20,a2d2e6ad,2,60fe9303,13,37,F,37,F,FOLD,5.9994,43.2500,54.5000
6,2,20,bf90fe40,1,60fe9303,13,37,F,37,F,FOLD,6.4994,43.0000,53.7500
7,2,20,adc8f88e,4,60fe9303,13,37,F,37,F,FOLD,6.2496,41.0002,52.0000
8,2,20,314ed480,3,60fe9303,13,37,F,37,F,FOLD,6.7494,42.0001,52.5000
9,2,20,591b738e,12,60fe9303,13,37,F,37,F,FOLD,5.2499,40.5006,52.5000
0,2,22,f609facc,1,60fe9303,13,37,F,33,B,BET_RAISE,22.2494,40.2500,35.2500
1,2,22,c6562698,3,60fe9303,13,37,F,33,B,BET_RAISE,17.2505,39.0012,39.0000
2,2,22,0e6ac380,2,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,27.7494,49.0000,38.5000
3,2,22,41b11c37,4,60fe9303,13,37,F,33,B,BET_RAISE,22.4994,43.7500,38.5000
4,2,22,1406ef20,2,60fe9303,13,37,F,33,B,BET_RAISE,25.4994,45.7500,37.5000
5,2,22,a2d2e6ad,2,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,28.2494,49.2500,38.2500
6,2,22,bf90fe40,1,60fe9303,13,37,F,33,B,BET_RAISE,23.7494,45.0000,38.5000
7,2,22,adc8f88e,4,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,17.4994,43.7500,43.5000
8,2,22,314ed480,3,60fe9303,13,37,F,33,B,BET_RAISE,17.2494,42.5001,42.5000
9,2,22,591b738e,12,60fe9303,13,37,F,37,F,FOLD,15.2494,44.2500,46.2500
0,2,24,f609facc,1,60fe9303,13,37,F,33,B,BET_RAISE,20.9994,38.0000,34.2500
1,2,24,c6562698,3,60fe9303,13,37,F,33,B,BET_RAISE,17.5070,35.7576,35.5000
2,2,24,0e6ac380,2,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,29.9994,49.7500,37.0000
3,2,24,41b11c37,4,60fe9303,13,37,F,33,B,BET_RAISE,23.4994,43.5000,37.2500
4,2,24,1406ef20,2,60fe9303,13,37,F,33,B,BET_RAISE,28.4994,47.2500,36.0000
5,2,24,a2d2e6ad,2,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,31.4994,49.0000,34.7500
6,2,24,bf90fe40,1,60fe9303,13,37,F,33,B,BET_RAISE,22.9994,43.2500,37.5000
7,2,24,adc8f88e,4,60fe9303,13,37,F,33,B,BET_RAISE,20.9994,42.7500,39.0000
8,2,24,314ed480,3,60fe9303,13,37,F,33,B,BET_RAISE,17.7498,39.5004,39.0000
9,2,24,591b738e,12,60fe9303,13,37,F,33,B,BET_RAISE,20.9996,42.2503,38.5000
0,2,30,f609facc,1,60fe9303,13,37,F,33,B,BET_RAISE,23.3744,36.5000,30.3750
1,2,30,c6562698,3,60fe9303,13,37,F,33,B,BET_RAISE,19.6290,34.0046,31.6250
2,2,30,0e6ac380,2,60fe9303,13,37,F,34516,CHECK,CHECK_CALL,34.6244,49.2500,31.8750
