source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,18,zero,0,9bb7b48c,5,37,F,330," """,OTHER,3.2735,8.6890,18.6654
0,0,20,zero,0,9bb7b48c,5,37,F,25,:,OTHER,5.6740,4.2884,11.8644
0,0,22,zero,0,9bb7b48c,5,37,F,504, from,OTHER,8.5283,10.6459,15.3676
0,0,24,zero,0,9bb7b48c,5,37,F,330," """,OTHER,6.0100,10.1398,17.3798
0,0,30,zero,0,9bb7b48c,5,37,F,304, in,OTHER,7.3693,5.5051,11.3857
0,1,18,zero,0,82b3b088,11,37,F,23,8,OTHER,-2.0413,7.3481,18.3892
0,1,20,zero,0,82b3b088,11,37,F,25,:,OTHER,7.8518,13.3825,14.5304
0,1,22,zero,0,82b3b088,11,37,F,65,b,OTHER,11.6195,7.9251,5.3053
0,1,24,zero,0,82b3b088,11,37,F,330," """,OTHER,4.3685,13.8361,18.4673
0,1,30,zero,0,82b3b088,11,37,F,304, in,OTHER,2.3414,7.1378,13.7962
0,2,18,zero,0,e668c466,11,37,F,330," """,OTHER,10.1378,8.1022,12.7143
0,2,20,zero,0,e668c466,11,37,F,25,:,OTHER,14.9509,11.2145,11.0136
0,2,22,zero,0,e668c466,11,37,F,279, the,OTHER,18.5008,11.2585,7.5077
0,2,24,zero,0,e668c466,11,37,F,330," """,OTHER,7.2719,11.4956,18.9737
0,2,30,zero,0,e668c466,11,37,F,304, in,OTHER,9.2501,5.5694,11.0693
0,3,18,zero,0,cf9fb677,8,37,F,330," """,OTHER,-0.0067,9.3471,21.3538
0,3,20,zero,0,cf9fb677,8,37,F,330," """,OTHER,4.0350,7.6724,15.6375
0,3,22,zero,0,cf9fb677,8,37,F,25,:,OTHER,8.2026,8.5801,12.3775
0,3,24,zero,0,cf9fb677,8,37,F,19961,fold,FOLD,0.1390,12.4658,24.3268
0,3,30,zero,0,cf9fb677,8,37,F,304, in,OTHER,7.0012,5.1965,10.1954
0,4,18,zero,0,a2111ba9,2,37,F,20,5,OTHER,11.1273,11.0532,11.1759
0,4,20,zero,0,a2111ba9,2,37,F,330," """,OTHER,5.1302,7.8671,13.9869
0,4,22,zero,0,a2111ba9,2,37,F,60757,��,OTHER,11.4914,7.7841,7.5427
0,4,24,zero,0,a2111ba9,2,37,F,330," """,OTHER,5.6292,13.6321,19.2529
0,4,30,zero,0,a2111ba9,2,37,F,304, in,OTHER,4.6889,6.2024,12.7635
0,5,18,zero,0,9bb7b48c,2,37,F,16,1,OTHER,4.8943,10.5211,17.1268
0,5,20,zero,0,9bb7b48c,2,37,F,25,:,OTHER,7.7926,9.7774,13.4848
0,5,22,zero,0,9bb7b48c,2,37,F,118281,联社,OTHER,7.5235,4.2135,8.1900
0,5,24,zero,0,9bb7b48c,2,37,F,330," """,OTHER,3.1227,9.3577,17.7349
0,5,30,zero,0,9bb7b48c,2,37,F,304, in,OTHER,5.3613,7.1797,13.3184
0,6,18,zero,0,f353cae5,2,37,F,20,5,OTHER,10.5061,9.1543,13.1482
0,6,20,zero,0,f353cae5,2,37,F,330," """,OTHER,8.7305,9.8726,15.6421
0,6,22,zero,0,f353cae5,2,37,F,25,:,OTHER,13.3503,10.9616,12.1112
0,6,24,zero,0,f353cae5,2,37,F,330," """,OTHER,12.9593,11.4562,12.9969
0,6,30,zero,0,f353cae5,2,37,F,304, in,OTHER,8.9332,5.5781,11.1449
0,7,18,zero,0,a3eaa604,2,37,F,20,5,OTHER,5.4130,8.5822,13.6692
0,7,20,zero,0,a3eaa604,2,37,F,258,in,OTHER,5.4041,9.1556,14.2515
0,7,22,zero,0,a3eaa604,2,37,F,60757,��,OTHER,6.4557,7.3296,11.3739
0,7,24,zero,0,a3eaa604,2,37,F,330," """,OTHER,7.2199,13.5023,16.7824
0,7,30,zero,0,a3eaa604,2,37,F,304, in,OTHER,5.2366,6.6844,11.9479
0,8,18,zero,0,5e8ac7f4,7,37,F,16,1,OTHER,9.4039,6.5327,11.1288
0,8,20,zero,0,5e8ac7f4,7,37,F,330," """,OTHER,6.7033,5.9924,13.2890
0,8,22,zero,0,5e8ac7f4,7,37,F,36078,_INCLUDED,OTHER,12.5437,10.1067,11.5630
