source_idx,target_idx,layer,source_hand,source_dec,target_hand,target_dec,expected_target_verb_id,expected_target_verb_tok,patched_top1_id,patched_top1_tok,patched_top1_group,delta_check_minus_fold,patched_GROUP_CHECK_CALL,patched_GROUP_FOLD
0,0,15,7315cc9d,7,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.7449,25.0113,24.5004
1,0,15,bcaae701,7,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.6199,25.0113,24.6254
2,0,15,89946a92,11,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.7464,25.1378,24.6253
3,0,15,4e3d622b,11,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.6200,25.2613,24.8753
4,0,15,4e3d622b,9,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.8699,25.2613,24.6254
5,0,15,405be240,9,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.9949,25.1363,24.3754
6,0,15,82bb9ef2,9,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.6214,25.1378,24.7503
7,0,15,82bb9ef2,7,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.7449,25.1363,24.6254
8,0,15,c084b654,9,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.6213,25.0128,24.6254
9,0,15,2ec5bfb7,11,f7c205be,11,37,F,35616,CHECK,CHECK_CALL,0.6214,25.2627,24.8753
0,1,15,7315cc9d,7,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.8764,25.2628,24.6254
1,1,15,bcaae701,7,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.2613,24.7504
2,1,15,89946a92,11,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.7549,25.2663,24.7503
3,1,15,4e3d622b,11,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.6264,25.3877,25.0003
4,1,15,4e3d622b,9,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.7514,25.3877,24.8753
5,1,15,405be240,9,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,1.0014,25.2628,24.5004
6,1,15,82bb9ef2,9,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.6281,25.2644,24.8753
7,1,15,82bb9ef2,7,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.7514,25.2628,24.7504
8,1,15,c084b654,9,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.6264,25.2628,24.8754
9,1,15,2ec5bfb7,11,86ed0640,11,37,F,35616,CHECK,CHECK_CALL,0.5031,25.3894,25.1253
0,2,15,7315cc9d,7,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.1394,24.6253
1,2,15,bcaae701,7,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.3731,25.1394,24.7503
2,2,15,89946a92,11,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.2644,24.7503
3,2,15,4e3d622b,11,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.3715,25.3877,25.0003
4,2,15,4e3d622b,9,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.2644,24.7503
5,2,15,405be240,9,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.7481,25.2644,24.5003
6,2,15,82bb9ef2,9,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.3731,25.2644,24.8753
7,2,15,82bb9ef2,7,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.2644,24.7503
8,2,15,c084b654,9,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.3749,25.1413,24.7504
9,2,15,2ec5bfb7,11,ca6dbcda,11,37,F,35616,CHECK,CHECK_CALL,0.3731,25.3894,25.0003
0,3,15,7315cc9d,7,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.7454,25.1413,24.5004
1,3,15,bcaae701,7,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.4955,25.1413,24.7503
2,3,15,89946a92,11,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.6249,25.1458,24.6254
3,3,15,4e3d622b,11,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.4976,25.2684,24.8753
4,3,15,4e3d622b,9,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.6204,25.2663,24.7504
5,3,15,405be240,9,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.7475,25.1434,24.5004
6,3,15,82bb9ef2,9,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.6226,25.2684,24.7503
7,3,15,82bb9ef2,7,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.6225,25.1434,24.6254
8,3,15,c084b654,9,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.4975,25.1434,24.7504
9,3,15,2ec5bfb7,11,a83a5ea5,11,37,F,35616,CHECK,CHECK_CALL,0.3750,25.2708,25.0003
0,4,15,7315cc9d,7,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.6170,25.2627,24.3753
1,4,15,bcaae701,7,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.3686,25.1394,24.5003
2,4,15,89946a92,11,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.4955,25.2663,24.5003
3,4,15,4e3d622b,11,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.3686,25.3894,24.7503
4,4,15,4e3d622b,9,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.6169,25.3877,24.5004
5,4,15,405be240,9,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.7436,25.2644,24.2503
6,4,15,82bb9ef2,9,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.3687,25.2644,24.6253
7,4,15,82bb9ef2,7,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.3686,25.2644,24.6253
8,4,15,c084b654,9,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.3686,25.2644,24.6254
9,4,15,2ec5bfb7,11,d6e28245,11,37,F,35616,CHECK,CHECK_CALL,0.2455,25.2663,24.7503
0,5,15,7315cc9d,7,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.1394,24.6254
1,5,15,bcaae701,7,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.1394,24.7503
2,5,15,89946a92,11,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.2663,24.7503
3,5,15,4e3d622b,11,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.5000,25.2663,24.8753
4,5,15,4e3d622b,9,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.6230,25.2644,24.7504
5,5,15,405be240,9,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.8730,25.2644,24.5004
6,5,15,82bb9ef2,9,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.5000,25.2663,24.8753
7,5,15,82bb9ef2,7,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.6230,25.2644,24.7504
8,5,15,c084b654,9,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.1413,24.7504
9,5,15,2ec5bfb7,11,47fc3472,11,37,F,35616,CHECK,CHECK_CALL,0.3771,25.2684,25.0003
0,6,15,7315cc9d,7,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.8764,25.1378,24.6254
1,6,15,bcaae701,7,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.1363,24.7504
2,6,15,89946a92,11,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.7530,25.1394,24.7504
3,6,15,4e3d622b,11,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.6264,25.2628,25.0003
4,6,15,4e3d622b,9,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.8763,25.2628,24.7504
5,6,15,405be240,9,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,1.1248,25.2613,24.5004
6,6,15,82bb9ef2,9,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.7514,25.2628,24.8753
7,6,15,82bb9ef2,7,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.8748,25.2613,24.7504
8,6,15,c084b654,9,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.6263,25.1378,24.8754
9,6,15,2ec5bfb7,11,793e80a1,11,37,F,35616,CHECK,CHECK_CALL,0.6280,25.2644,25.0003
0,7,15,7315cc9d,7,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.7480,25.1394,24.6254
1,7,15,bcaae701,7,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.6230,25.1394,24.7504
2,7,15,89946a92,11,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.7500,25.2663,24.7503
3,7,15,4e3d622b,11,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.4981,25.2644,25.0003
4,7,15,4e3d622b,9,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.7480,25.2644,24.7504
5,7,15,405be240,9,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.9980,25.2644,24.5004
6,7,15,82bb9ef2,9,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.2644,24.8753
7,7,15,82bb9ef2,7,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.6249,25.1413,24.7504
8,7,15,c084b654,9,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.1413,24.8754
9,7,15,2ec5bfb7,11,488b91cb,11,37,F,35616,CHECK,CHECK_CALL,0.5000,25.2663,25.0003
0,8,15,7315cc9d,7,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.8714,25.1378,24.5004
1,8,15,bcaae701,7,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.0144,24.6254
2,8,15,89946a92,11,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.7481,25.1394,24.6253
3,8,15,4e3d622b,11,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.6214,25.2627,24.8753
4,8,15,4e3d622b,9,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.7481,25.2644,24.7503
5,8,15,405be240,9,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.9980,25.1394,24.3754
6,8,15,82bb9ef2,9,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.1394,24.7503
7,8,15,82bb9ef2,7,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.7480,25.1394,24.6254
8,8,15,c084b654,9,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.6230,25.1394,24.7504
9,8,15,2ec5bfb7,11,2c48fc13,11,37,F,35616,CHECK,CHECK_CALL,0.6231,25.2644,24.8753
0,9,15,7315cc9d,7,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.7485,25.1363,24.3753
1,9,15,bcaae701,7,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.6235,25.1363,24.5003
2,9,15,89946a92,11,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.1378,24.3753
3,9,15,4e3d622b,11,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.2628,24.6253
4,9,15,4e3d622b,9,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.2628,24.5003
5,9,15,405be240,9,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.8750,25.1378,24.2503
6,9,15,82bb9ef2,9,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.7485,25.2613,24.5003
7,9,15,82bb9ef2,7,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.1378,24.5003
8,9,15,c084b654,9,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.1378,24.6254
9,9,15,2ec5bfb7,11,7045c9d1,11,37,F,35616,CHECK,CHECK_CALL,0.5000,25.2627,24.7503
0,10,15,7315cc9d,7,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.4876,24.7538,23.6252
1,10,15,bcaae701,7,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.2386,24.6299,23.7502
2,10,15,89946a92,11,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.4899,24.7562,23.6252
3,10,15,4e3d622b,11,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.3648,24.8812,23.8752
4,10,15,4e3d622b,9,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.4885,24.8799,23.7502
5,10,15,405be240,9,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.6131,24.7543,23.5001
6,10,15,82bb9ef2,9,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.3649,24.7562,23.7502
7,10,15,82bb9ef2,7,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.3636,24.7549,23.7502
8,10,15,c084b654,9,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.2391,24.7555,23.8752
9,10,15,2ec5bfb7,11,f7bb6b4e,9,37,F,35616,CHECK,CHECK_CALL,0.2406,24.8820,24.0002
0,11,15,7315cc9d,7,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.7482,25.0128,24.5004
1,11,15,bcaae701,7,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.6218,25.0113,24.6254
2,11,15,89946a92,11,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.0145,24.6253
3,11,15,4e3d622b,11,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.4983,25.1378,24.8753
4,11,15,4e3d622b,9,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.6232,25.1378,24.7504
5,11,15,405be240,9,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.9967,25.1363,24.3754
6,11,15,82bb9ef2,9,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.6233,25.1378,24.7503
7,11,15,82bb9ef2,7,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.7467,25.1363,24.6254
8,11,15,c084b654,9,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.4982,25.0128,24.7504
9,11,15,2ec5bfb7,11,cdedc71e,11,37,F,35616,CHECK,CHECK_CALL,0.4999,25.1394,24.8753
0,12,15,7315cc9d,7,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.6193,25.2627,24.3754
1,12,15,bcaae701,7,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.3729,25.1413,24.5004
2,12,15,89946a92,11,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.4979,25.2663,24.5003
3,12,15,4e3d622b,11,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.3729,25.3913,24.7503
4,12,15,4e3d622b,9,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.3729,25.2663,24.6254
5,12,15,405be240,9,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.7460,25.2644,24.2504
6,12,15,82bb9ef2,9,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.3729,25.2663,24.6253
7,12,15,82bb9ef2,7,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.4978,25.2663,24.5004
8,12,15,c084b654,9,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.2478,25.1413,24.6254
9,12,15,2ec5bfb7,11,d5df4dde,11,37,F,35616,CHECK,CHECK_CALL,0.1250,25.2684,24.8753
0,13,15,7315cc9d,7,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.8749,25.1363,24.5004
1,13,15,bcaae701,7,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.6264,25.0128,24.6254
2,13,15,89946a92,11,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.7530,25.1394,24.6254
3,13,15,4e3d622b,11,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.6250,25.2613,24.8753
4,13,15,4e3d622b,9,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.7499,25.2613,24.7504
5,13,15,405be240,9,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,1.0013,25.1378,24.3754
6,13,15,82bb9ef2,9,0216d54e,11,37,F,35616,CHECK,CHECK_CALL,0.6264,25.1378,24.7504
